"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","Placebo","mnwk","no","all","Male","LPM","(Intercept)",2.14653889358982e-05,1.61539294285496e-06,13.2880294115693,2.71638701760532e-40,NA,NA,3711089066
"1.1","all","Placebo","mnwk","no","all","Male","LPM","policyTRUE",-4.28797543242222e-06,6.38723827933007e-07,-6.71334815596071,1.90208568834465e-11,NA,NA,3711089066
"1.2","all","Placebo","mnwk","no","all","Male","LPM","age_grp20-24",0.000245246962629783,1.77496706639888e-06,138.16986651327,0,NA,NA,3711089066
"1.3","all","Placebo","mnwk","no","all","Male","LPM","age_grp25-34",0.000119337792979468,1.24497885972133e-06,95.8552766158452,0,NA,NA,3711089066
"1.4","all","Placebo","mnwk","no","all","Male","LPM","age_grp35-44",0.000101015657321076,1.23303440713668e-06,81.9244432567393,0,NA,NA,3711089066
"1.5","all","Placebo","mnwk","no","all","Male","LPM","age_grp45-54",6.81898459072133e-05,1.18306974435901e-06,57.6380608432843,0,NA,NA,3711089066
"1.6","all","Placebo","mnwk","no","all","Male","LPM","age_grp55-64",2.79830546289753e-05,1.20544742860137e-06,23.2138324451385,3.30108256157062e-119,NA,NA,3711089066
"1.7","all","Placebo","mnwk","no","all","Male","LPM","age_grp65-199",-3.42740443906933e-05,1.15926208839648e-06,-29.5653974487356,4.16405560897727e-192,NA,NA,3711089066
"1.8","all","Placebo","mnwk","no","all","Male","LPM","curr_pts_grp1-3",0.000806416811728959,1.69780469233089e-06,474.976194477258,0,NA,NA,3711089066
"1.9","all","Placebo","mnwk","no","all","Male","LPM","curr_pts_grp4-6",0.00145230383061885,3.83668440003074e-06,378.530960380065,0,NA,NA,3711089066
"1.10","all","Placebo","mnwk","no","all","Male","LPM","curr_pts_grp7-9",0.00196376848325416,7.07219273262224e-06,277.674627586971,0,NA,NA,3711089066
"1.11","all","Placebo","mnwk","no","all","Male","LPM","curr_pts_grp10-150",0.00287380309381631,1.05751167284215e-05,271.751430042632,0,NA,NA,3711089066
"1.12","all","Placebo","mnwk","no","all","Male","LPM","month02",4.950895844049e-05,1.62321367926942e-06,30.5005798514297,2.56029541064983e-204,NA,NA,3711089066
"1.13","all","Placebo","mnwk","no","all","Male","LPM","month03",4.69621850460455e-05,1.58443770063219e-06,29.6396538830827,4.6107676263202e-193,NA,NA,3711089066
"1.14","all","Placebo","mnwk","no","all","Male","LPM","month04",4.9331993574753e-06,1.53210136709235e-06,3.21989097029371,0.00128239360977672,NA,NA,3711089066
"1.15","all","Placebo","mnwk","no","all","Male","LPM","month05",1.81014234294583e-05,1.54110388133246e-06,11.7457516321402,7.42593906981713e-32,NA,NA,3711089066
"1.16","all","Placebo","mnwk","no","all","Male","LPM","month06",2.47868664548091e-05,1.55818682184341e-06,15.9075061522373,5.62084897135288e-57,NA,NA,3711089066
"1.17","all","Placebo","mnwk","no","all","Male","LPM","month07",3.01470728613027e-05,1.54830488787717e-06,19.4710183358243,1.93390455072931e-84,NA,NA,3711089066
"1.18","all","Placebo","mnwk","no","all","Male","LPM","month08",-5.04573493333421e-06,1.52116720940763e-06,-3.31701531700721,0.00090984629194252,NA,NA,3711089066
"1.19","all","Placebo","mnwk","no","all","Male","LPM","month09",8.43891714551166e-05,1.62230778669829e-06,52.0179784298915,0,NA,NA,3711089066
"1.20","all","Placebo","mnwk","no","all","Male","LPM","month10",6.44342126479767e-05,1.59255467468777e-06,40.4596549632492,0,NA,NA,3711089066
"1.21","all","Placebo","mnwk","no","all","Male","LPM","month11",6.32113027628683e-05,1.6107703098974e-06,39.2429028362801,0,NA,NA,3711089066
"1.22","all","Placebo","mnwk","no","all","Male","LPM","month12",-0.000151634985967184,1.35986241900855e-06,-111.5075935974,0,NA,NA,3711089066
"1.23","all","Placebo","mnwk","no","all","Male","LPM","weekdayMonday",0.000106297860932756,1.118409294464e-06,95.0437925175683,0,NA,NA,3711089066
"1.24","all","Placebo","mnwk","no","all","Male","LPM","weekdayTuesday",0.000137933817357144,1.14956273069952e-06,119.988073441812,0,NA,NA,3711089066
"1.25","all","Placebo","mnwk","no","all","Male","LPM","weekdayWednesday",0.0001620891301333,1.16887868662873e-06,138.670618249354,0,NA,NA,3711089066
"1.26","all","Placebo","mnwk","no","all","Male","LPM","weekdayThursday",0.000150571885710244,1.15980953018657e-06,129.824666715768,0,NA,NA,3711089066
"1.27","all","Placebo","mnwk","no","all","Male","LPM","weekdayFriday",0.000114670424134928,1.12899536971886e-06,101.568551307241,0,NA,NA,3711089066
"1.28","all","Placebo","mnwk","no","all","Male","LPM","weekdaySaturday",2.20742815191353e-05,1.04459462878955e-06,21.131911758645,4.04826261237461e-99,NA,NA,3711089066
"2","all","Placebo","mnwk","with","all","Male","LPM","(Intercept)",-3.28804444882702e-05,1.64248976218785e-06,-20.0186602347356,3.78773867902635e-89,NA,NA,3711089066
"2.1","all","Placebo","mnwk","with","all","Male","LPM","policyTRUE",0.000102858345866501,1.90594847705977e-06,53.967012804657,0,NA,NA,3711089066
"2.2","all","Placebo","mnwk","with","all","Male","LPM","age_grp20-24",0.000313277250081003,2.33715991965211e-06,134.041854580338,0,NA,NA,3711089066
"2.3","all","Placebo","mnwk","with","all","Male","LPM","age_grp25-34",0.000177644517051006,1.52880912949577e-06,116.197969794697,0,NA,NA,3711089066
"2.4","all","Placebo","mnwk","with","all","Male","LPM","age_grp35-44",0.000156822389536647,1.49319133299562e-06,105.02497976735,0,NA,NA,3711089066
"2.5","all","Placebo","mnwk","with","all","Male","LPM","age_grp45-54",0.000125210784558549,1.41628171433448e-06,88.408106446101,0,NA,NA,3711089066
"2.6","all","Placebo","mnwk","with","all","Male","LPM","age_grp55-64",8.35427487534761e-05,1.45348741341432e-06,57.477449052847,0,NA,NA,3711089066
"2.7","all","Placebo","mnwk","with","all","Male","LPM","age_grp65-199",2.0546636156972e-05,1.38194748350114e-06,14.8678849249158,5.32700043406499e-50,NA,NA,3711089066
"2.8","all","Placebo","mnwk","with","all","Male","LPM","curr_pts_grp1-3",0.000806196349764307,1.69778424016914e-06,474.852063465962,0,NA,NA,3711089066
"2.9","all","Placebo","mnwk","with","all","Male","LPM","curr_pts_grp4-6",0.00145225995114702,3.83674741216604e-06,378.513307011561,0,NA,NA,3711089066
"2.10","all","Placebo","mnwk","with","all","Male","LPM","curr_pts_grp7-9",0.00196385677425105,7.07233719735786e-06,277.681439593225,0,NA,NA,3711089066
"2.11","all","Placebo","mnwk","with","all","Male","LPM","curr_pts_grp10-150",0.00287425587369521,1.05754951838214e-05,271.784519186611,0,NA,NA,3711089066
"2.12","all","Placebo","mnwk","with","all","Male","LPM","month02",4.95087239165427e-05,1.62321303497851e-06,30.5004474765065,2.57066463822319e-204,NA,NA,3711089066
"2.13","all","Placebo","mnwk","with","all","Male","LPM","month03",4.69626537753159e-05,1.5844371390944e-06,29.639960220926,4.56904518533482e-193,NA,NA,3711089066
"2.14","all","Placebo","mnwk","with","all","Male","LPM","month04",4.9321605295776e-06,1.53209833763719e-06,3.21921929448994,0.00128540143407583,NA,NA,3711089066
"2.15","all","Placebo","mnwk","with","all","Male","LPM","month05",1.80998936022786e-05,1.54110039886981e-06,11.7447854893506,7.51129481759076e-32,NA,NA,3711089066
"2.16","all","Placebo","mnwk","with","all","Male","LPM","month06",2.47850337663238e-05,1.55818430402577e-06,15.9063556873782,5.72507038028981e-57,NA,NA,3711089066
"2.17","all","Placebo","mnwk","with","all","Male","LPM","month07",3.01454763320542e-05,1.54830284953835e-06,19.4700128214856,1.97224067939845e-84,NA,NA,3711089066
"2.18","all","Placebo","mnwk","with","all","Male","LPM","month08",-5.04710309596147e-06,1.521165762812e-06,-3.31791788860109,0.000906911417483261,NA,NA,3711089066
"2.19","all","Placebo","mnwk","with","all","Male","LPM","month09",8.43881262023135e-05,1.62230652024065e-06,52.0173747374173,0,NA,NA,3711089066
"2.20","all","Placebo","mnwk","with","all","Male","LPM","month10",6.44334693854128e-05,1.59255339770085e-06,40.4592206945365,0,NA,NA,3711089066
"2.21","all","Placebo","mnwk","with","all","Male","LPM","month11",6.32107003303423e-05,1.61076933496442e-06,39.2425525854317,0,NA,NA,3711089066
"2.22","all","Placebo","mnwk","with","all","Male","LPM","month12",-0.000151635179473458,1.35986174472344e-06,-111.50779118674,0,NA,NA,3711089066
"2.23","all","Placebo","mnwk","with","all","Male","LPM","weekdayMonday",0.000106297844153371,1.11840912987872e-06,95.0437915013249,0,NA,NA,3711089066
"2.24","all","Placebo","mnwk","with","all","Male","LPM","weekdayTuesday",0.000137934107091656,1.14956259682446e-06,119.988339454227,0,NA,NA,3711089066
"2.25","all","Placebo","mnwk","with","all","Male","LPM","weekdayWednesday",0.000162089389186582,1.1688785224574e-06,138.670859351418,0,NA,NA,3711089066
"2.26","all","Placebo","mnwk","with","all","Male","LPM","weekdayThursday",0.000150572147285806,1.15980935798445e-06,129.824911524662,0,NA,NA,3711089066
"2.27","all","Placebo","mnwk","with","all","Male","LPM","weekdayFriday",0.000114670709949088,1.12899520628357e-06,101.568819168473,0,NA,NA,3711089066
"2.28","all","Placebo","mnwk","with","all","Male","LPM","weekdaySaturday",2.20742785972518e-05,1.04459445234831e-06,21.1319125308654,4.0481964040961e-99,NA,NA,3711089066
"2.29","all","Placebo","mnwk","with","all","Male","LPM","policyTRUE:age_grp20-24",-0.000134530235628202,3.6085733388094e-06,-37.2807264802851,3.36938116684821e-304,NA,NA,3711089066
"2.30","all","Placebo","mnwk","with","all","Male","LPM","policyTRUE:age_grp25-34",-0.000115000358748514,2.5108736950195e-06,-45.8009333470759,0,NA,NA,3711089066
"2.31","all","Placebo","mnwk","with","all","Male","LPM","policyTRUE:age_grp35-44",-0.000110041651347413,2.46952736254916e-06,-44.5598024205826,0,NA,NA,3711089066
"2.32","all","Placebo","mnwk","with","all","Male","LPM","policyTRUE:age_grp45-54",-0.00011242340808405,2.35829018601771e-06,-47.671575258468,0,NA,NA,3711089066
"2.33","all","Placebo","mnwk","with","all","Male","LPM","policyTRUE:age_grp55-64",-0.000109507116694539,2.396149012148e-06,-45.7012965968977,0,NA,NA,3711089066
