"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","4 yr.","mnwk","no","with","all","Male","LPM","(Intercept)",0.000105746751475609,1.26067950632027e-06,83.8807571198387,0,NA,NA,7461274411
"1.1","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE",-1.78656436565358e-05,3.56464761112368e-07,-50.1189615511643,0,NA,NA,7461274411
"1.2","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp20-24",9.40350534374232e-05,1.4066605538114e-06,66.8498545598876,0,NA,NA,7461274411
"1.3","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp25-34",-1.43820825259725e-05,1.09206913088427e-06,-13.1695715218385,1.3134107177603e-39,NA,NA,7461274411
"1.4","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp35-44",-1.94516455581509e-05,1.09204734934411e-06,-17.8120898968654,5.69435615787744e-71,NA,NA,7461274411
"1.5","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp45-54",-5.64155284424863e-05,1.05648307379122e-06,-53.3993679993733,0,NA,NA,7461274411
"1.6","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp55-64",-9.68467278076875e-05,1.06314778770257e-06,-91.0943228475984,0,NA,NA,7461274411
"1.7","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp65-199",-0.00015594176799284,1.03248720240919e-06,-151.035061382812,0,NA,NA,7461274411
"1.8","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg1",0.00072882351723023,5.72619630825449e-06,127.278821401845,0,NA,NA,7461274411
"1.9","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg2",0.000769417653736247,2.64715246873808e-06,290.658608758957,0,NA,NA,7461274411
"1.10","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg3",0.000856576485895756,2.36249429307982e-06,362.572933363195,0,NA,NA,7461274411
"1.11","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg4",0.00132215540857007,7.56331983211526e-06,174.811516360309,0,NA,NA,7461274411
"1.12","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg5",0.00141779052756496,5.75468208443021e-06,246.371651250886,0,NA,NA,7461274411
"1.13","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg6",0.00161401291652544,6.94895650350514e-06,232.26694766492,0,NA,NA,7461274411
