"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",1.69306591188937e-12,-2.90563683938018e-14,-1.21161944338768e-12,-1.20660295866704e-12,-1.20843351349012e-12,-1.19895530744799e-12,-1.19242121416875e-12,-1.18650908116489e-12,-3.23010471808801e-14,-5.42910679244093e-14,-6.99967689068261e-14,-1.11763469992106e-13,-9.64659297804695e-14,-1.15003028570929e-13,-1.34719256945177e-13,-1.58504398564395e-13,-1.34328307288093e-13,-1.60520311292797e-13,-3.83952276113864e-13,-3.81976512928832e-13,-4.05313012499396e-13,-3.96896672284211e-13,-3.93590351122512e-13,-3.87332652004166e-13,-3.81755726417632e-13,-3.91666604596873e-13,-3.82558258097676e-13,-3.88898396275276e-13,-3.75126220304454e-13,-1.72351869993702e-13,-1.76150772070622e-13,-1.78644180309104e-13,-1.75975589808986e-13,-1.75379067171221e-13,-1.58957622666084e-13,3.02522818690609e-14,2.46896855517908e-14,2.15325118058813e-14,2.18205491399298e-14,2.05499007080231e-14,2.74337181675992e-14,6.41048528532898e-15,5.11395748212702e-14,-3.02422323671237e-14,-3.8843455953718e-14
"policyTRUE",-2.90563683938032e-14,1.18357774993565e-13,-3.1926754816798e-14,-3.54545837449035e-14,-3.2240243802537e-14,-3.76120713760305e-14,-3.96842130905247e-14,-4.04963086828089e-14,6.0173458104658e-14,6.0288278860329e-14,6.03753390440711e-14,5.98845693461463e-14,5.98342797358877e-14,5.99464278456452e-14,5.92169946526022e-14,5.93677288514275e-14,6.11582803149068e-14,5.935162396264e-14,5.59999052457235e-15,7.68159550228121e-15,9.95946120970874e-15,7.10863225782276e-15,6.04415035553376e-15,4.77368261148451e-15,2.31954363015052e-15,4.87252215295378e-15,5.29661117277046e-15,2.7137643370305e-15,2.49867284696939e-15,4.72866142113861e-16,-4.43242445854799e-17,-1.58193953829483e-16,-6.64016808767147e-16,7.82678198066599e-16,6.87291445087151e-16,-1.19522849701384e-13,-1.19411067882774e-13,-1.19630019441368e-13,-1.1981458634882e-13,-1.19614708950734e-13,-1.19794455893808e-13,-1.19711079396458e-13,-1.1969730113825e-13,-1.20118893094344e-13,-1.20461337668702e-13
"age_grp20-24",-1.21161944338769e-12,-3.19267548167976e-14,2.07439148837889e-12,1.21051894766238e-12,1.21133948770563e-12,1.21509792425301e-12,1.21810412036948e-12,1.22061425784005e-12,-1.5345527921299e-14,-2.30829053022106e-14,-1.24243424740428e-14,-1.59896562581098e-14,-1.6770951646991e-14,-9.00429487301089e-15,-6.14889732867527e-14,-5.14436425670101e-14,-6.25208864458753e-15,5.30993631992214e-14,-2.99231136966386e-15,-4.95774971019466e-15,1.18776860673777e-14,9.93933808730305e-15,6.74356531622791e-15,8.94447388403429e-15,4.59819737875802e-15,4.24339498920856e-15,3.08942899781726e-15,1.67177079996703e-15,-9.88830953751509e-16,5.85003726308906e-15,3.88792011181813e-15,3.46201634028444e-15,2.95657590008435e-15,1.36410363346139e-15,-6.58480958718682e-16,-1.90795403848963e-14,8.02276524814593e-15,3.83372260661906e-15,-3.19235305308381e-15,-2.39326052015986e-14,-4.16909710104022e-14,6.20313371622689e-15,-1.27545817623264e-14,4.77654045481241e-14,-1.0166412704209e-13
"age_grp25-34",-1.20660295866705e-12,-3.54545837449028e-14,1.21051894766238e-12,1.47562527809137e-12,1.2127471751838e-12,1.21499941478777e-12,1.21687934681862e-12,1.21836311732142e-12,-6.12014672036969e-14,-4.66011225487127e-14,-3.5987217745529e-14,-4.40289668710061e-14,-5.70006372455713e-14,-5.37971829145127e-14,-5.37839906535301e-14,-7.61799734960906e-14,1.35946691697179e-14,-6.19933553149301e-14,-2.80627690177209e-15,-7.93520253567284e-15,1.18658978582444e-14,7.00381291178096e-15,4.70071817242082e-15,3.12581709960194e-15,-1.3860321108118e-15,-6.84367121865268e-16,-1.42370391021692e-15,-1.08170179482225e-16,2.36563547218909e-15,6.0276294631851e-15,8.2000881194285e-15,8.80258854552729e-15,8.32033504471211e-15,4.36592464497602e-15,9.93298416955628e-16,1.23201114241326e-14,2.03410407505298e-14,2.07203859830805e-14,1.07669691579503e-14,1.42184067438547e-14,1.81412009663979e-15,-6.29810236010136e-16,5.13364223767407e-15,1.36489315814847e-14,2.30859554175753e-14
"age_grp35-44",-1.20843351349012e-12,-3.22402438025368e-14,1.21133948770562e-12,1.2127471751838e-12,1.44200300498688e-12,1.21463535861859e-12,1.21616474544131e-12,1.21734125418102e-12,-5.76949894493867e-14,-5.50126256075004e-14,-3.93545006008617e-14,-3.26808396173307e-14,-6.35609928283058e-14,-6.63742313333305e-14,-4.23596709972981e-14,-8.73458712648145e-14,-1.28108265345256e-15,-6.58478701034007e-14,-1.67311119226207e-15,-7.90739207840705e-15,9.84243516994057e-15,6.41148197020532e-15,3.06806647557135e-15,4.84332570798745e-17,-3.54278020784035e-15,-2.40881844646771e-15,-3.86577317263377e-15,-7.04500166083371e-18,2.37041096420982e-15,8.03582327622188e-15,1.17082156425353e-14,1.3210565540585e-14,1.26451401022142e-14,7.24910739453865e-15,1.70045487463787e-15,2.55234622024046e-15,2.4601913021927e-14,1.84972371033427e-14,1.8009922076548e-15,1.54776138597684e-14,5.82304873944486e-15,-1.30502124892378e-14,6.26268430423995e-15,2.56537271966077e-14,3.61729348425694e-14
"age_grp45-54",-1.19895530744799e-12,-3.76120713760311e-14,1.215097924253e-12,1.21499941478776e-12,1.21463535861859e-12,1.37172161029337e-12,1.21550044619991e-12,1.21572652492076e-12,-6.89279468458558e-14,-6.15444396280587e-14,-4.89903016598967e-14,-5.38322862071969e-14,-6.15779859537863e-14,-7.78962861643176e-14,-4.01526034488579e-14,-8.08301948835815e-14,-1.40551333290098e-14,-8.15385472311368e-14,-4.32916575464854e-15,-1.07255599932752e-14,1.12399384266481e-14,7.69163308101927e-15,4.53306966748834e-15,7.35008887237761e-16,-2.77169674081315e-15,-3.41017978290965e-15,-5.57580939899292e-15,-2.37059174871426e-15,5.65943628666189e-15,3.80577988141279e-15,6.69408944497848e-15,7.40342875053506e-15,7.09337321339408e-15,3.3145615899372e-15,5.29612314551357e-16,9.18952077545499e-15,2.33281468556631e-14,2.33885836214111e-14,2.24882987893783e-14,7.06098783253482e-15,2.33635820538356e-14,-1.41863865737822e-14,-1.97671430287037e-15,2.96958504109698e-14,4.89240181356843e-14
"age_grp55-64",-1.19242121416876e-12,-3.96842130905245e-14,1.21810412036949e-12,1.21687934681861e-12,1.21616474544131e-12,1.21550044619992e-12,1.37706411133582e-12,1.214434978786e-12,-7.30318758514995e-14,-6.72532191727066e-14,-5.74922349623868e-14,-5.441446250211e-14,-6.62562821587212e-14,-6.97927886235117e-14,-4.38831044909828e-14,-8.09906557189722e-14,-4.50153053803137e-14,-5.13773511156911e-14,-7.08970778120132e-15,-1.30939937173168e-14,1.05938238947576e-14,6.93279197345806e-15,4.52998588044842e-15,6.00693427002753e-16,-2.37057189694229e-15,-4.46210613868729e-15,-6.49285110405312e-15,-4.31147935522392e-15,8.4774911593097e-15,1.5795044193306e-15,2.71454045688227e-15,3.98757404973642e-15,3.65822993758493e-15,-2.95816283720064e-16,-6.440606737582e-16,1.53793693001309e-14,3.20572545608456e-14,2.74563452646623e-14,3.20100152949129e-14,2.01462049454404e-14,1.07740920157287e-14,2.01292700068075e-15,2.7674149121534e-14,5.18420305523823e-14,3.84513340211633e-14
"age_grp65-199",-1.18650908116489e-12,-4.04963086828093e-14,1.22061425784005e-12,1.21836311732141e-12,1.21734125418102e-12,1.21572652492077e-12,1.21443497878599e-12,1.36308290167825e-12,-6.24330629311673e-14,-6.09123736245593e-14,-6.27870911421387e-14,-4.12480695066575e-14,-5.59078033452481e-14,-6.76929949785337e-14,-3.42404946051892e-14,-6.66825163079317e-14,-1.24034145986916e-13,-5.5757969977239e-14,-8.45394670748901e-15,-1.53708563877549e-14,1.0472519375232e-14,6.7992002201872e-15,3.75107367244044e-15,1.50059739553155e-15,-1.2452465351047e-15,-5.25187971436283e-15,-7.30297659871833e-15,-5.26637556408917e-15,1.16471758001617e-14,-2.27855484213826e-15,-1.50413731209097e-15,-1.36951295231347e-15,-9.0455336865983e-16,-4.07635204636528e-15,-1.70396216732553e-15,9.59674768928919e-15,3.27060535248711e-14,3.04632074091443e-14,2.29488045066171e-14,2.10549366821522e-14,2.08386559736682e-14,7.49150262143773e-15,1.19159840579073e-14,6.13452400155735e-14,3.88190590059873e-14
"curr_pts_reg1",-3.23010471808777e-14,6.01734581046581e-14,-1.53455279213033e-14,-6.12014672037001e-14,-5.76949894493898e-14,-6.89279468458591e-14,-7.30318758515033e-14,-6.24330629311703e-14,3.2180868360071e-11,5.80525143514867e-14,5.63872764431232e-14,5.50968452504096e-14,5.59912811142926e-14,5.56052525035209e-14,5.47266907181596e-14,5.55596089883628e-14,4.60993498054357e-14,5.02116115962142e-14,-2.29364023733461e-15,5.44432982434441e-15,-3.9797395515171e-16,1.08030014832515e-14,2.94701414307413e-15,4.83122553341614e-16,2.83007790656013e-15,2.32850874817397e-14,2.05431946540072e-14,1.35627351790064e-14,-3.91728980435522e-14,3.25690343287191e-14,4.28601444368157e-14,4.5402515938155e-14,4.25445696255575e-14,2.73000594772266e-14,-3.95895879305268e-16,-3.21835251826318e-11,-6.0946089014703e-14,-6.13496246197251e-14,-5.97644791242339e-14,-6.1194822482738e-14,-6.09165709219089e-14,-6.07013880791874e-14,-6.13289483986271e-14,-6.05093485956661e-14,-6.04377232857175e-14
"curr_pts_reg2",-5.42910679244125e-14,6.02882788603288e-14,-2.30829053022125e-14,-4.66011225487143e-14,-5.50126256075012e-14,-6.15444396280585e-14,-6.72532191727064e-14,-6.09123736245602e-14,5.80525143514868e-14,7.11530790676843e-12,5.70388778011526e-14,5.58102009177033e-14,5.68988784872876e-14,5.68951322127461e-14,5.52643424903763e-14,5.67205424946872e-14,4.78114107037818e-14,5.34192777371339e-14,9.18167978828766e-15,6.3060845963986e-15,9.82798595155223e-15,1.39895968451866e-14,1.1120720276881e-14,4.75163117814743e-16,-1.20910257142923e-15,2.08346793009254e-14,1.96218923834028e-14,2.18366174312155e-14,-4.05628745741693e-14,4.96209008403428e-14,6.1539912553528e-14,6.62683115386822e-14,6.35560136864015e-14,4.25268199834612e-14,5.32826504160399e-15,-5.98149751843764e-14,-7.11760586024002e-12,-6.09402335809322e-14,-5.95307236256036e-14,-6.08339646498372e-14,-6.0648026368531e-14,-5.95649082988546e-14,-6.03129882337666e-14,-5.93517417338844e-14,-6.05611671905255e-14
