"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","4 yr.","mnwk","no","all","Male","LPM","(Intercept)",0.000113703709852853,1.26459618654295e-06,89.9130576723364,0,NA,NA,7461274411
"1.1","all","4 yr.","mnwk","no","all","Male","LPM","policyTRUE",-4.14734985515026e-05,4.48493829117144e-07,-92.4728410046195,0,NA,NA,7461274411
"1.2","all","4 yr.","mnwk","no","all","Male","LPM","age_grp20-24",9.89665193031895e-05,1.40846952373582e-06,70.2652898308307,0,NA,NA,7461274411
"1.3","all","4 yr.","mnwk","no","all","Male","LPM","age_grp25-34",-9.25089527731001e-06,1.09399702804434e-06,-8.45605156153595,2.76583394611516e-17,NA,NA,7461274411
"1.4","all","4 yr.","mnwk","no","all","Male","LPM","age_grp35-44",-1.55381058874986e-05,1.0932808521579e-06,-14.2123644229475,7.67885049126469e-46,NA,NA,7461274411
"1.5","all","4 yr.","mnwk","no","all","Male","LPM","age_grp45-54",-5.26962814444364e-05,1.05779842269473e-06,-49.8169408403853,0,NA,NA,7461274411
"1.6","all","4 yr.","mnwk","no","all","Male","LPM","age_grp55-64",-9.30595327569278e-05,1.06449027719249e-06,-87.421684115674,0,NA,NA,7461274411
"1.7","all","4 yr.","mnwk","no","all","Male","LPM","age_grp65-199",-0.000151500507300484,1.03392882271364e-06,-146.528952450381,0,NA,NA,7461274411
"1.8","all","4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp1-3",0.000761505343600038,1.13033883649413e-06,673.69652268335,0,NA,NA,7461274411
"1.9","all","4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp4-6",0.00136842567107043,2.49412527266987e-06,548.659558549593,0,NA,NA,7461274411
"1.10","all","4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp7-9",0.00186867645971951,4.61314401192117e-06,405.076549721951,0,NA,NA,7461274411
"1.11","all","4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp10-150",0.00253819728997395,6.30200307969671e-06,402.760401395441,0,NA,NA,7461274411
"1.12","all","4 yr.","mnwk","no","all","Male","LPM","month02",6.5925478765242e-05,1.10071121241778e-06,59.8935288579758,0,NA,NA,7461274411
"1.13","all","4 yr.","mnwk","no","all","Male","LPM","month03",7.6659823682669e-05,1.08023139054828e-06,70.9661136988068,0,NA,NA,7461274411
"1.14","all","4 yr.","mnwk","no","all","Male","LPM","month04",6.32163797619146e-05,1.0755462802096e-06,58.7760665673959,0,NA,NA,7461274411
"1.15","all","4 yr.","mnwk","no","all","Male","LPM","month05",7.49912351128145e-05,1.07581511110989e-06,69.706434068813,0,NA,NA,7461274411
"1.16","all","4 yr.","mnwk","no","all","Male","LPM","month06",6.58037753867411e-05,1.07823136800485e-06,61.0293646979535,0,NA,NA,7461274411
"1.17","all","4 yr.","mnwk","no","all","Male","LPM","month07",5.38188937012076e-05,1.06077808630991e-06,50.7352993013134,0,NA,NA,7461274411
"1.18","all","4 yr.","mnwk","no","all","Male","LPM","month08",1.55926460802914e-05,1.03151615575492e-06,15.1162402966727,1.26565610011669e-51,NA,NA,7461274411
"1.19","all","4 yr.","mnwk","no","all","Male","LPM","month09",0.000107930511952773,1.11074716742843e-06,97.1692884913225,0,NA,NA,7461274411
"1.20","all","4 yr.","mnwk","no","all","Male","LPM","month10",9.27137078185732e-05,1.09126416742154e-06,84.9599121701564,0,NA,NA,7461274411
"1.21","all","4 yr.","mnwk","no","all","Male","LPM","month11",8.00981309000819e-05,1.09109350601605e-06,73.41087675661,0,NA,NA,7461274411
"1.22","all","4 yr.","mnwk","no","all","Male","LPM","month12",-0.000138876658770905,9.08613561347782e-07,-152.844580665188,0,NA,NA,7461274411
"1.23","all","4 yr.","mnwk","no","all","Male","LPM","weekdayMonday",0.000112765850068873,7.81848112816362e-07,144.229867950527,0,NA,NA,7461274411
"1.24","all","4 yr.","mnwk","no","all","Male","LPM","weekdayTuesday",0.000149280057587346,8.03250124117598e-07,185.845047644825,0,NA,NA,7461274411
"1.25","all","4 yr.","mnwk","no","all","Male","LPM","weekdayWednesday",0.000170706698980637,8.1546183839989e-07,209.33744651448,0,NA,NA,7461274411
"1.26","all","4 yr.","mnwk","no","all","Male","LPM","weekdayThursday",0.000151149621155324,8.05836982518921e-07,187.568483991456,0,NA,NA,7461274411
"1.27","all","4 yr.","mnwk","no","all","Male","LPM","weekdayFriday",0.000122740690711385,7.89283577561828e-07,155.508988405084,0,NA,NA,7461274411
"1.28","all","4 yr.","mnwk","no","all","Male","LPM","weekdaySaturday",2.57878936140163e-05,7.27742404681302e-07,35.4354692651303,4.85696148206249e-275,NA,NA,7461274411
"2","all","4 yr.","mnwk","with","all","Male","LPM","(Intercept)",-1.05527284143914e-05,1.28441051068241e-06,-8.21600907702378,2.10387575755662e-16,NA,NA,7461274411
"2.1","all","4 yr.","mnwk","with","all","Male","LPM","policyTRUE",0.000201935183126005,1.8543270119321e-06,108.89944536568,0,NA,NA,7461274411
"2.2","all","4 yr.","mnwk","with","all","Male","LPM","age_grp20-24",0.000261796871272619,1.79207022820066e-06,146.086278959881,0,NA,NA,7461274411
"2.3","all","4 yr.","mnwk","with","all","Male","LPM","age_grp25-34",0.000130903665260075,1.25277351616327e-06,104.491086035231,0,NA,NA,7461274411
"2.4","all","4 yr.","mnwk","with","all","Male","LPM","age_grp35-44",0.000110269116768513,1.2361437607583e-06,89.2041203208184,0,NA,NA,7461274411
"2.5","all","4 yr.","mnwk","with","all","Male","LPM","age_grp45-54",7.564434904343e-05,1.18342725062309e-06,63.9197289090665,0,NA,NA,7461274411
"2.6","all","4 yr.","mnwk","with","all","Male","LPM","age_grp55-64",3.3535088844064e-05,1.20409171966507e-06,27.8509421636021,1.04922636918956e-170,NA,NA,7461274411
"2.7","all","4 yr.","mnwk","with","all","Male","LPM","age_grp65-199",-3.13406807927403e-05,1.15717199246748e-06,-27.0838570210392,1.52573248871636e-161,NA,NA,7461274411
"2.8","all","4 yr.","mnwk","with","all","Male","LPM","curr_pts_grp1-3",0.000759732157154746,1.13014466213664e-06,672.243282305475,0,NA,NA,7461274411
"2.9","all","4 yr.","mnwk","with","all","Male","LPM","curr_pts_grp4-6",0.00136638903570389,2.49404030161211e-06,547.861650359331,0,NA,NA,7461274411
"2.10","all","4 yr.","mnwk","with","all","Male","LPM","curr_pts_grp7-9",0.00186628034059635,4.61312462581857e-06,404.558838525892,0,NA,NA,7461274411
"2.11","all","4 yr.","mnwk","with","all","Male","LPM","curr_pts_grp10-150",0.00253479537597447,6.3027122846042e-06,402.17532730572,0,NA,NA,7461274411
"2.12","all","4 yr.","mnwk","with","all","Male","LPM","month02",6.5931555380514e-05,1.10070991105069e-06,59.8991203028037,0,NA,NA,7461274411
"2.13","all","4 yr.","mnwk","with","all","Male","LPM","month03",7.66691499489587e-05,1.08023019644042e-06,70.9748257376987,0,NA,NA,7461274411
"2.14","all","4 yr.","mnwk","with","all","Male","LPM","month04",6.31794941676819e-05,1.07554756796521e-06,58.7417014825377,0,NA,NA,7461274411
"2.15","all","4 yr.","mnwk","with","all","Male","LPM","month05",7.49562462034473e-05,1.07581536528131e-06,69.6738944454911,0,NA,NA,7461274411
"2.16","all","4 yr.","mnwk","with","all","Male","LPM","month06",6.57718108319609e-05,1.07823016902495e-06,60.9997871710814,0,NA,NA,7461274411
"2.17","all","4 yr.","mnwk","with","all","Male","LPM","month07",5.3791233183527e-05,1.06077627925092e-06,50.7093099984404,0,NA,NA,7461274411
"2.18","all","4 yr.","mnwk","with","all","Male","LPM","month08",1.55694798985707e-05,1.03151449090408e-06,15.0938062779172,1.77878308360635e-51,NA,NA,7461274411
"2.19","all","4 yr.","mnwk","with","all","Male","LPM","month09",0.000107912108988916,1.11074524392121e-06,97.1528886389456,0,NA,NA,7461274411
"2.20","all","4 yr.","mnwk","with","all","Male","LPM","month10",9.2700208922737e-05,1.09126230597554e-06,84.9476871098074,0,NA,NA,7461274411
"2.21","all","4 yr.","mnwk","with","all","Male","LPM","month11",8.00895620732939e-05,1.09109194868514e-06,73.4031280954909,0,NA,NA,7461274411
"2.22","all","4 yr.","mnwk","with","all","Male","LPM","month12",-0.000138879949884986,9.08612831576766e-07,-152.848325555759,0,NA,NA,7461274411
"2.23","all","4 yr.","mnwk","with","all","Male","LPM","weekdayMonday",0.000112765804754263,7.81847116179363e-07,144.229993844978,0,NA,NA,7461274411
"2.24","all","4 yr.","mnwk","with","all","Male","LPM","weekdayTuesday",0.000149279799255862,8.03249084032298e-07,185.844966677683,0,NA,NA,7461274411
"2.25","all","4 yr.","mnwk","with","all","Male","LPM","weekdayWednesday",0.000170706689712856,8.15460758233435e-07,209.337712439609,0,NA,NA,7461274411
"2.26","all","4 yr.","mnwk","with","all","Male","LPM","weekdayThursday",0.000151150232212015,8.05835878892718e-07,187.56949916366,0,NA,NA,7461274411
"2.27","all","4 yr.","mnwk","with","all","Male","LPM","weekdayFriday",0.000122741237031743,7.89282395246265e-07,155.509913525242,0,NA,NA,7461274411
"2.28","all","4 yr.","mnwk","with","all","Male","LPM","weekdaySaturday",2.57876950163665e-05,7.27741256806812e-07,35.4352522619344,4.89448339130737e-275,NA,NA,7461274411
"2.29","all","4 yr.","mnwk","with","all","Male","LPM","policyTRUE:age_grp20-24",-0.000319629299151111,2.81759282444948e-06,-113.44055690998,0,NA,NA,7461274411
"2.30","all","4 yr.","mnwk","with","all","Male","LPM","policyTRUE:age_grp25-34",-0.000274353831346776,2.16794803045534e-06,-126.550003732863,0,NA,NA,7461274411
"2.31","all","4 yr.","mnwk","with","all","Male","LPM","policyTRUE:age_grp35-44",-0.000245793398662053,2.16460076062262e-06,-113.551377756771,0,NA,NA,7461274411
"2.32","all","4 yr.","mnwk","with","all","Male","LPM","policyTRUE:age_grp45-54",-0.000250874414953457,2.09042844970093e-06,-120.011003002446,0,NA,NA,7461274411
"2.33","all","4 yr.","mnwk","with","all","Male","LPM","policyTRUE:age_grp55-64",-0.000247454663809415,2.10454616961834e-06,-117.581009807113,0,NA,NA,7461274411
"2.34","all","4 yr.","mnwk","with","all","Male","LPM","policyTRUE:age_grp65-199",-0.00023501167172976,2.04720367927983e-06,-114.796428957393,0,NA,NA,7461274411
"3","all","4 yr.","mnwk","no","1","Male","LPM","(Intercept)",2.17806918988883e-06,3.5069986569303e-07,6.210635939608,5.2770605630173e-10,NA,NA,7461274411
