"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","(Intercept)",0.000134206680806603,1.3447313784303e-06,99.8018511052086,0,NA,NA,7461274411
"1.1","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policyTRUE",-2.48594016974728e-05,5.52866800995054e-07,-44.9645405597346,0,NA,NA,7461274411
"1.2","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy01",5.31256961227539e-05,1.95389954405512e-06,27.1895739391478,8.62745832683967e-163,NA,NA,7461274411
"1.3","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy02",3.79952767929078e-05,1.9310329916262e-06,19.676140675831,3.45320392061731e-86,NA,NA,7461274411
"1.4","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy03",6.25036119664398e-06,1.90292754120198e-06,3.2846028350065,0.00102126222043032,NA,NA,7461274411
"1.5","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy04",-4.53537988082181e-05,1.80099399905387e-06,-25.1826484885814,6.20600159383667e-140,NA,NA,7461274411
"1.6","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy05",-4.10543382161604e-05,1.69427566452877e-06,-24.2312033842372,1.04367836662752e-129,NA,NA,7461274411
"1.7","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy06",-5.84697317120808e-05,1.93264934968961e-06,-30.253667961791,4.66888777133683e-201,NA,NA,7461274411
"1.8","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy07",-4.00146272968205e-05,1.89365625423433e-06,-21.1308822323721,4.13747150531862e-99,NA,NA,7461274411
"1.9","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy08",-5.97430688030332e-05,1.85253631491792e-06,-32.2493374742186,3.59414337018855e-228,NA,NA,7461274411
"1.10","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy09",-5.40271072810912e-05,1.24980509352386e-06,-43.2284262250526,0,NA,NA,7461274411
"1.11","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy10",-0.000115384041396428,1.56042941567166e-06,-73.9437748594116,0,NA,NA,7461274411
"1.12","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy11",-5.65086898278342e-05,1.88304367372941e-06,-30.0092295341814,7.43756365188875e-198,NA,NA,7461274411
"1.13","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy12",-2.57953742856254e-05,1.85233509383696e-06,-13.9258681495865,4.41148938404973e-44,NA,NA,7461274411
"1.14","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","age_grp20-24",9.90154238159181e-05,1.40845319788161e-06,70.3008264419738,0,NA,NA,7461274411
"1.15","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","age_grp25-34",-9.17536844026881e-06,1.09394564609634e-06,-8.3874079786417,4.96978000494236e-17,NA,NA,7461274411
"1.16","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","age_grp35-44",-1.53967051866957e-05,1.09318699535635e-06,-14.084237419671,4.74756508940465e-45,NA,NA,7461274411
"1.17","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","age_grp45-54",-5.26182857680737e-05,1.05774066124152e-06,-49.7459232646999,0,NA,NA,7461274411
"1.18","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","age_grp55-64",-9.30368415578308e-05,1.06447546457479e-06,-87.4015838354669,0,NA,NA,7461274411
"1.19","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","age_grp65-199",-0.000151514902137133,1.03394068894265e-06,-146.541193085338,0,NA,NA,7461274411
"1.20","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp1-3",0.000761439141039047,1.13032536559892e-06,673.645982133283,0,NA,NA,7461274411
"1.21","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp4-6",0.001368462738242,2.49413863527578e-06,548.67148076181,0,NA,NA,7461274411
"1.22","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp7-9",0.00186894878539991,4.61319631056911e-06,405.130989357213,0,NA,NA,7461274411
"1.23","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp10-150",0.00253834402227265,6.30190350351677e-06,402.790049205946,0,NA,NA,7461274411
"1.24","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month02",5.11167960325206e-05,1.30669691071117e-06,39.1190915150327,0,NA,NA,7461274411
"1.25","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month03",5.42040152244909e-05,1.2779880961276e-06,42.4135525117434,0,NA,NA,7461274411
"1.26","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month04",2.09690531773969e-05,1.25119264690223e-06,16.7592522456979,4.84682855634938e-63,NA,NA,7461274411
"1.27","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month05",3.65383961393539e-05,1.25615721656833e-06,29.0874387834769,5.17597444856283e-186,NA,NA,7461274411
"1.28","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month06",3.53129150780318e-05,1.26552869484641e-06,27.9036858048624,2.40704570166553e-171,NA,NA,7461274411
"1.29","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month07",3.6277735140194e-05,1.25466182625541e-06,28.9143531595812,7.88095614740598e-184,NA,NA,7461274411
"1.30","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month08",-3.03053792638058e-06,1.22375106842282e-06,-2.47643332421057,0.0132702409103422,NA,NA,7461274411
"1.31","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month09",9.36743031557856e-05,1.31538690834286e-06,71.2142583764938,0,NA,NA,7461274411
"1.32","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month10",7.38293691068367e-05,1.28947017910236e-06,57.2555847380912,0,NA,NA,7461274411
"1.33","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month11",6.61550008938606e-05,1.29634437514231e-06,51.0319650876708,0,NA,NA,7461274411
"1.34","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month12",-0.00015425086987768,1.08817792784339e-06,-141.751515014997,0,NA,NA,7461274411
"1.35","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdayMonday",0.000112809405237514,7.81976617948884e-07,144.261864930708,0,NA,NA,7461274411
"1.36","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdayTuesday",0.000149169163888136,8.03529528907476e-07,185.642417013541,0,NA,NA,7461274411
