"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",1.58931281765592e-12,-4.02647108311232e-14,-8.8460520456705e-13,-8.7292207282368e-13,-8.73264715112575e-13,-8.67433566010176e-13,-8.63045959351515e-13,-8.56797118588506e-13,-1.50483812252173e-14,-3.31541450313758e-14,-4.26442080280836e-14,-7.79156772254882e-14,-6.04549020903721e-14,-6.87723787013295e-14,-1.03555351500915e-13,-8.69593666862224e-14,-8.73562256425771e-14,-1.02779745873593e-13,-5.37056815030582e-13,-5.31941612915993e-13,-5.52686743352268e-13,-5.44722188868115e-13,-5.39977090449086e-13,-5.34416018122445e-13,-5.28437585093287e-13,-5.39979988767154e-13,-5.29428126713791e-13,-5.38659385036148e-13,-5.19111876350355e-13,-2.77786756959334e-13,-2.80475753801737e-13,-2.82595771786895e-13,-2.80158571064621e-13,-2.81581919698711e-13,-2.59424664657285e-13,4.45944201569566e-14,4.12969211289261e-14,4.20051323954247e-14,2.90332062254591e-14,3.90444545003669e-14,4.14843529195051e-14,2.90362057969119e-14,3.70116928213695e-14,-5.66967447363387e-15,-1.54481375037665e-14
"policyTRUE",-4.02647108311233e-14,1.27067125914898e-13,-3.17932446762393e-14,-3.26957305991071e-14,-2.79155827823384e-14,-3.17804706560509e-14,-3.32479198085146e-14,-3.35854393319884e-14,6.80325699254449e-14,6.8082797437198e-14,6.78798622670406e-14,6.73718852275807e-14,6.77974755995939e-14,6.78433761467677e-14,6.72415764052751e-14,6.75762138021224e-14,6.79950060644085e-14,6.7676639575076e-14,3.61451826394776e-15,4.41142316849045e-15,9.61169462857854e-15,8.66965710307679e-15,6.71304900413966e-15,4.53457165787975e-15,3.25564990410791e-15,4.06215270985382e-15,4.68666159739618e-15,2.09170854002956e-15,3.53821078388899e-15,3.66853182447912e-16,-4.98566974582141e-16,-1.05899728431952e-15,-1.49919783025315e-15,-1.83948856430365e-16,3.25504529011615e-16,-1.27820905998836e-13,-1.27873178845111e-13,-1.28128646850776e-13,-1.28244708509045e-13,-1.28148743266096e-13,-1.28331834658666e-13,-1.28398994546056e-13,-1.28313506120533e-13,-1.28775795731762e-13,-1.2946202367273e-13
"age_grp20-24",-8.84605204567049e-13,-3.17932446762395e-14,1.978693913649e-12,8.70249224289288e-13,8.76674394103849e-13,8.82733605032116e-13,8.87692949663663e-13,8.93165202379265e-13,-8.26838531023241e-15,-7.76112666636789e-15,-5.71937639798528e-15,-3.49443351967556e-14,-1.75360184398658e-14,-1.70475669339494e-14,-6.52321093235468e-14,-4.13819901130514e-14,-1.91908265386572e-14,-9.59820730435075e-14,-2.16710624939599e-15,-4.12717362658879e-15,1.41342157609642e-14,1.3061816067051e-14,1.02145044058961e-14,1.04718351179953e-14,3.93571865535569e-15,4.93359523034375e-15,2.65272507628483e-15,2.35360948054646e-15,-2.82926337659851e-15,-1.70430257259702e-15,-2.87721996282189e-15,-2.26062297017494e-15,-1.87275610589655e-15,-1.08434148919132e-15,-4.99575715457519e-16,-2.85911345926458e-14,-1.60391734014975e-14,-1.89739061627833e-14,5.8663783284519e-16,-4.80781072324664e-14,-5.20457401676791e-14,-9.92503275278541e-15,-7.09414221674304e-14,-5.47471033993007e-14,-6.98355719829654e-14
"age_grp25-34",-8.72922072823677e-13,-3.26957305991071e-14,8.70249224289286e-13,1.19261498663033e-12,8.79783728959685e-13,8.82571675154674e-13,8.84777855908198e-13,8.87051320157851e-13,-6.15519752750145e-14,-4.65657862644747e-14,-4.20327472960529e-14,-4.89879805114801e-14,-6.36706949185377e-14,-7.04757499784483e-14,-7.2261010011255e-14,-9.92310005810705e-14,-5.06388638728503e-14,-1.20384826879848e-13,-1.62622509480654e-15,-7.58186210590389e-15,1.00050838208166e-14,4.83273942009452e-15,1.14601696116029e-15,1.21772601231392e-15,-5.09029263856298e-15,-3.8800875751431e-15,-4.17437365205257e-15,-1.61086975985189e-15,-6.36529428704338e-16,4.43143960767811e-15,5.03870744443696e-15,5.62132749877296e-15,5.11396357099874e-15,2.27935733086247e-15,-5.30440368422729e-16,2.35952398824097e-15,6.2117874889028e-15,3.79687304335007e-15,1.71019727197976e-14,-2.66835494608815e-15,-1.92582976516273e-15,1.83752649924437e-14,1.09131177477759e-14,1.39844599310349e-14,4.06938803388076e-14
"age_grp35-44",-8.73264715112571e-13,-2.79155827823389e-14,8.76674394103848e-13,8.79783728959684e-13,1.1925674132095e-12,8.8330654534149e-13,8.84596313071994e-13,8.85832038969572e-13,-8.59518725319349e-14,-7.08816357586714e-14,-6.65787379561954e-14,-6.57378557810308e-14,-8.13296971855311e-14,-8.93067618513721e-14,-7.57443282612418e-14,-9.27266634171493e-14,-6.64763014643011e-14,-1.04422996075187e-13,-4.96622667533813e-16,-7.45846969018142e-15,5.60899290121181e-15,1.78873830093841e-16,-4.66442429895607e-15,-6.32998960843038e-15,-1.18509552448395e-14,-8.66365086903038e-15,-7.87349432055215e-15,-2.35884825732952e-15,-2.12903679318539e-15,9.33451216890251e-15,1.18455336839629e-14,1.30061237392846e-14,1.21836853365744e-14,6.76347616427948e-15,-5.9783336879434e-16,9.13377618352114e-15,1.05477339201687e-14,1.04769893597585e-14,1.8779071357896e-14,6.52025008747113e-15,8.92232296896901e-15,2.00106811648161e-14,3.58148953085247e-15,1.98750056997704e-14,4.31466505999392e-14
"age_grp45-54",-8.67433566010168e-13,-3.17804706560515e-14,8.82733605032113e-13,8.82571675154672e-13,8.83306545341487e-13,1.11615648520734e-12,8.84043299528313e-13,8.83936732783584e-13,-1.01181512182181e-13,-8.8245463648437e-14,-7.5741720958271e-14,-7.03418826326886e-14,-8.83375387500665e-14,-9.02220245575354e-14,-6.27257813768817e-14,-8.68569386122327e-14,-7.93554924396773e-14,-9.9646749151687e-14,-9.92279802387926e-16,-8.94542712064924e-15,8.13209233248418e-15,1.99372733276457e-15,-3.48182858700134e-15,-6.32727546805305e-15,-1.06299308928963e-14,-7.84818651696494e-15,-7.1120313735062e-15,-2.45791980677511e-15,5.17964884783186e-17,8.75716728897469e-15,1.07066227839863e-14,1.21208672676297e-14,1.16461919636676e-14,5.98676991922908e-15,-9.03749152815565e-16,1.08952567873361e-14,1.67142936573132e-14,1.4898381341693e-14,1.72373604810851e-14,1.28794826227154e-14,7.99583846920165e-15,9.6491472192572e-15,9.11028570052066e-15,3.09385278166364e-14,4.67376079236577e-14
"age_grp55-64",-8.6304595935151e-13,-3.32479198085149e-14,8.87692949663661e-13,8.84777855908198e-13,8.84596313071994e-13,8.84043299528314e-13,1.13028321849686e-12,8.81838356363266e-13,-1.06376369662989e-13,-9.7400856451716e-14,-8.50305844906625e-14,-7.57645134515969e-14,-8.59827132761761e-14,-8.88367796204138e-14,-6.74117113929929e-14,-8.09080397802831e-14,-6.98941473704195e-14,-8.80833171717679e-14,-2.60565888535074e-15,-9.46017205159798e-15,9.69207283730009e-15,3.93114799751447e-15,-1.59463803768494e-15,-5.72131840743789e-15,-8.93840549552649e-15,-6.64227578189287e-15,-6.59838706923444e-15,-2.15193368467318e-15,2.94276028329791e-15,9.3684790990571e-15,1.04848555530999e-14,1.14419787054272e-14,1.1140583460345e-14,4.58899219681133e-15,-2.5813737140115e-15,7.7351685147276e-15,2.01496866879016e-14,1.94057545627503e-14,2.15562793676081e-14,1.12882247709206e-14,1.61381570452249e-14,2.4075648175241e-14,5.62306884599992e-15,2.47393969875722e-14,4.67104125447457e-14
"age_grp65-199",-8.56797118588505e-13,-3.3585439331989e-14,8.93165202379267e-13,8.87051320157854e-13,8.85832038969574e-13,8.83936732783589e-13,8.81838356363268e-13,1.06602982313876e-12,-1.09724829596498e-13,-9.84592435777136e-14,-9.4086597369231e-14,-6.10035139627359e-14,-7.49939270657816e-14,-8.82342742509047e-14,-4.68969061376409e-14,-6.497888022574e-14,-9.770637521774e-14,-8.12156242331088e-14,-4.77940073459717e-15,-1.05773114298487e-14,1.16642856857437e-14,6.04132773819907e-15,8.21916747348051e-17,-3.98697965426845e-15,-6.2081724245725e-15,-6.8253949634535e-15,-6.34540793465211e-15,-2.99038932911147e-15,7.30977993724419e-15,7.80174325171945e-15,8.9832004717019e-15,9.49921943593555e-15,8.86966415179073e-15,1.28517555175657e-15,-3.10581365754021e-15,1.55104063729169e-14,2.45097744521566e-14,2.38370416574217e-14,2.58781117820409e-14,1.56228980548732e-14,1.69264124736078e-14,1.78631698079273e-14,8.24407674339606e-15,3.73525720399809e-14,4.81060772044882e-14
"curr_pts_reg1",-1.50483812252161e-14,6.80325699254449e-14,-8.26838531023352e-15,-6.15519752750164e-14,-8.59518725319357e-14,-1.01181512182181e-13,-1.0637636966299e-13,-1.09724829596498e-13,3.27893241606674e-11,7.05875118847273e-14,6.71095053622895e-14,6.28778797292985e-14,6.42681726660777e-14,6.30361500652239e-14,5.75720434991224e-14,5.93437665162518e-14,5.71517279669437e-14,5.1288737096629e-14,1.42108061020129e-14,1.12228114221806e-14,-5.43603683437743e-15,7.32552457417231e-15,4.71112858101315e-15,-9.39530134207329e-16,-1.70570242573378e-16,1.7989983335754e-14,1.59728756202397e-14,2.64685944957339e-14,-3.59657353808505e-14,2.9794170235611e-14,3.0782808840033e-14,3.88412804934028e-14,3.3914208977324e-14,2.91274553532594e-14,5.92802618994905e-15,-3.27859297466942e-11,-6.86178770681455e-14,-6.87109349215254e-14,-6.71647939306644e-14,-6.82008322636752e-14,-6.85611961643325e-14,-6.65630611615321e-14,-6.76492636972868e-14,-6.87371294691832e-14,-6.94533667294274e-14
"curr_pts_reg2",-3.31541450313782e-14,6.80827974371978e-14,-7.76112666636633e-15,-4.65657862644749e-14,-7.08816357586699e-14,-8.82454636484356e-14,-9.74008564517151e-14,-9.84592435777122e-14,7.05875118847279e-14,7.00741619274611e-12,6.68806998207092e-14,6.30573328838907e-14,6.39900181636125e-14,6.30137348282136e-14,5.7993192315791e-14,5.9470641745529e-14,5.74319466077292e-14,5.26111400081634e-14,1.40615538118289e-14,9.73149127183201e-15,6.61471546283921e-16,8.7169507336398e-15,8.12910425559612e-15,6.0743523305469e-15,-1.00452333603253e-15,2.14545143527159e-14,2.00364217100631e-14,2.06978339753965e-14,-4.41635487494424e-14,3.39480493352102e-14,4.33652346720147e-14,4.962931391507e-14,4.57629525005165e-14,3.46834521617244e-14,4.52266814494006e-15,-6.70442301329755e-14,-7.00542986902851e-12,-6.81580629612898e-14,-6.67304720459314e-14,-6.76123232353659e-14,-6.78034226862607e-14,-6.6150842304156e-14,-6.69195988005884e-14,-6.76705095620009e-14,-6.81158824294384e-14
