"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",1.56596802414926e-12,-1.07725679540095e-12,-1.0761651815105e-12,-1.0767694823947e-12,-1.07845320807243e-12,-1.07456281176285e-12,-1.07042173839191e-12,-1.06654554453393e-12,-9.95307110388446e-15,-4.09530071876813e-14,-6.4386325496597e-14,-1.11257029814786e-13,-8.60621535242438e-14,-9.97216461965051e-14,-1.386512586487e-13,-1.3027903902124e-13,-1.51908736175873e-13,-1.52743482081031e-13,-3.88260962672968e-13,-3.91303066822331e-13,-4.04081689770348e-13,-3.98657904190949e-13,-3.97204165122881e-13,-3.8835597451748e-13,-3.84889397677985e-13,-3.98266470918737e-13,-3.87709637681876e-13,-3.93891660525067e-13,-3.68382400189967e-13,-1.78674294531149e-13,-1.84087086512252e-13,-1.87919058280293e-13,-1.83145947428318e-13,-1.81215228357182e-13,-1.60537089692095e-13,1.07489334760101e-12,1.07648715390161e-12,1.07738493382861e-12,1.07874624624152e-12,1.07827688826234e-12,1.07862516613234e-12,-4.20170877869537e-14,-1.64396993996674e-14,-4.08789117088295e-15,-2.13108019675731e-15,-3.07627741932809e-14,-3.71456567703505e-14,-3.2641525944721e-14,-4.0487257199434e-14,1.18322483591686e-15,-6.92086120971031e-14
"policyTRUE",-1.07725679540103e-12,4.59262071659881e-12,1.06491751084611e-12,1.06348411693966e-12,1.0629346257551e-12,1.06136718206827e-12,1.05975950650603e-12,1.05832819435457e-12,-2.05653980878052e-14,-6.30890197094005e-15,1.15691526711798e-14,1.87794734551802e-14,-5.17966890130236e-15,-1.52221744035841e-14,2.25042435632678e-14,-4.1449397729094e-14,5.52381933489106e-14,-7.22402767649059e-16,1.39183565948543e-14,2.56273811063787e-14,7.44390830581951e-15,1.02959851448343e-14,1.27736192025415e-14,6.56911232739276e-15,8.16879722191851e-15,1.73923819206336e-14,1.50840411116586e-14,1.22135891977416e-14,-1.04108616907193e-14,1.25749334329537e-14,1.51508890464136e-14,1.76009841684418e-14,1.30725319893122e-14,1.19650425469145e-14,3.70884430572805e-15,-4.64938463750485e-12,-4.63531474211859e-12,-4.63245389687746e-12,-4.61964732512799e-12,-4.60994069681366e-12,-4.60120064643281e-12,5.38562018850698e-14,7.38485523849413e-15,-3.33978791635853e-14,-3.34211553118192e-14,3.19279772121748e-14,5.49701192838432e-14,2.77303541985375e-15,1.11107352285638e-13,-1.45086598169366e-13,-3.1306231729543e-14
"age_grp20-24",-1.07616518151052e-12,1.06491751084606e-12,2.65385933300723e-12,1.0293136369792e-12,1.03295042548031e-12,1.04172041375874e-12,1.0500750147758e-12,1.05704768609844e-12,7.1197853160059e-15,-5.77121845064297e-15,1.39624302392776e-14,1.02853967295642e-14,1.27108796079601e-14,2.85703586133415e-14,-7.41228338753491e-14,-5.50043698669102e-14,3.19217418813897e-14,1.57154541901671e-13,1.00987527214371e-15,2.39539661406023e-15,4.98873982288242e-15,6.54548667115283e-15,7.530306201526e-15,8.10165480026182e-15,5.82272835273085e-15,8.7818378522858e-15,8.2018779095654e-15,6.65129890155779e-15,-8.10959849391813e-15,1.08564270782523e-14,1.02619584564508e-14,1.17128799392243e-14,8.63612281941566e-15,6.83337993842519e-15,7.68712119518589e-16,-2.65402730588523e-12,-1.02944731859711e-12,-1.03309022153271e-12,-1.0418577329168e-12,-1.05019887288753e-12,-1.05715319375963e-12,-7.07430309651125e-15,5.71744511449411e-15,-1.41218604310473e-14,-1.03962298231571e-14,-1.29435064974608e-14,-2.88465992010033e-14,7.3824434864479e-14,5.45987248371733e-14,-3.23223949248518e-14,-1.57693328329189e-13
"age_grp25-34",-1.07676948239477e-12,1.06348411693967e-12,1.02931363697924e-12,1.55469658726068e-12,1.0393963273374e-12,1.04652452227066e-12,1.05331305847326e-12,1.0586878246427e-12,-8.63535646493426e-14,-5.29958783447612e-14,-3.41174885050703e-14,-4.84030483655926e-14,-7.00241524183759e-14,-6.30715908861508e-14,-6.37425353058005e-14,-1.08507669130584e-13,6.79758548771315e-14,-8.08387927483282e-14,7.28205476619714e-17,-2.26153182444423e-16,9.1285867237938e-15,8.1407017074582e-15,7.317062174982e-15,3.85534172651324e-15,1.38022083491322e-15,6.22912646854541e-15,2.93795440384778e-15,3.92318713271476e-15,-5.10475426999208e-15,1.19827557043573e-14,1.55033735396414e-14,1.6907059792215e-14,1.49368362191445e-14,9.61942458438665e-15,2.72936155228558e-15,-1.02946589046134e-12,-1.55482250495752e-12,-1.03953319591829e-12,-1.04665324412471e-12,-1.05342374555002e-12,-1.05877646263786e-12,8.64292059775217e-14,5.29683869802852e-14,3.39774819872972e-14,4.83423672541964e-14,6.98238411781642e-14,6.28513636857829e-14,6.35024316760643e-14,1.08170408058425e-13,-6.83014214158012e-14,8.04269050411094e-14
"age_grp35-44",-1.0784532080725e-12,1.06293462575514e-12,1.03295042548036e-12,1.03939632733741e-12,1.47520326293739e-12,1.04814660968365e-12,1.05423221068801e-12,1.05898176200219e-12,-7.92140492456126e-14,-6.94571116886954e-14,-4.07917058293016e-14,-2.56103865641137e-14,-8.2407934023077e-14,-8.75558310567463e-14,-4.04061243242706e-14,-1.30061961090619e-13,3.74250723092891e-14,-8.82488951200892e-14,2.51849215724299e-15,9.64379340169277e-16,7.46567431563714e-15,7.60983805820317e-15,6.23944029422942e-15,1.56320790060566e-16,-4.06563189245512e-16,3.43876385918221e-15,-7.04880918257366e-17,5.35500012390006e-15,-4.56087325835732e-15,1.46318031120603e-14,1.95827623467469e-14,2.2443582569652e-14,1.98048246496408e-14,1.30585713075116e-14,3.20587516923568e-15,-1.0331472904209e-12,-1.03954700644197e-12,-1.4753569533092e-12,-1.04830104393205e-12,-1.054376452653e-12,-1.05910921992024e-12,7.92086641144772e-14,6.93871057114949e-14,4.06170342788035e-14,2.54693411899624e-14,8.21506336984196e-14,8.7229657664411e-14,4.00660185726397e-14,1.29609180024378e-13,-3.79049976287854e-14,8.7616236487369e-14
"age_grp45-54",-1.07456281176293e-12,1.0613671820683e-12,1.04172041375879e-12,1.04652452227066e-12,1.04814660968364e-12,1.37402814104918e-12,1.0566333012364e-12,1.05973385371992e-12,-1.02362964082579e-13,-8.35354313093165e-14,-6.06526171532249e-14,-6.8726648956583e-14,-7.98497706695982e-14,-1.12140449965394e-13,-3.6993541976477e-14,-1.18576622947832e-13,1.23081761072028e-14,-1.20852577715699e-13,2.89549794039948e-16,-3.93482791205678e-16,1.0989973441973e-14,1.01497764369431e-14,8.95684340260634e-15,1.93961430602174e-15,6.09948163729563e-16,3.60591030024396e-15,1.31747666502949e-16,3.24273464971281e-15,-1.48223190701037e-15,1.06539701195287e-14,1.54918104010543e-14,1.77119161036511e-14,1.53597810203556e-14,9.46800286141883e-15,2.11553480356366e-15,-1.04186000091583e-12,-1.04664300725179e-12,-1.04827822835792e-12,-1.37414896528726e-12,-1.05673418504182e-12,-1.05981139918283e-12,1.02450357135905e-13,8.3521349768537e-14,6.052645151398e-14,6.86931290188415e-14,7.96706601245943e-14,1.11954568706853e-13,3.67883870889782e-14,1.18282544636384e-13,-1.25875386824501e-14,1.20519077115935e-13
"age_grp55-64",-1.07042173839197e-12,1.05975950650602e-12,1.05007501477583e-12,1.05331305847325e-12,1.05423221068799e-12,1.05663330123638e-12,1.40647017469839e-12,1.06040123608522e-12,-1.10709439647405e-13,-9.51658356334569e-14,-7.78826021686246e-14,-6.95932235361751e-14,-8.89302598891723e-14,-9.53539048442306e-14,-4.36086938552935e-14,-1.18216362376889e-13,-5.00741560345119e-14,-5.89297696104472e-14,-1.74736852167209e-15,-1.67048357642705e-15,1.07655477569102e-14,1.00531904054819e-14,9.20580479567861e-15,2.44536143247848e-15,1.35742434422674e-15,2.93020028050168e-15,-7.51977840801034e-17,9.30829938613431e-16,1.51499923485381e-15,8.58684211189076e-15,1.15580321190732e-14,1.46339373965811e-14,1.14704006896499e-14,6.70082735225715e-15,1.24889579097113e-15,-1.05017601768233e-12,-1.05340623300368e-12,-1.05434178300139e-12,-1.05672804873622e-12,-1.40654250225557e-12,-1.06044950670677e-12,1.10830473824689e-13,9.5176661136467e-14,7.77891545140472e-14,6.96096209541919e-14,8.88012547678109e-14,9.52461879512987e-14,4.34796590306292e-14,1.18016369108348e-13,4.99094307153908e-14,5.87565737328881e-14
"age_grp65-199",-1.06654554453396e-12,1.05832819435455e-12,1.05704768609845e-12,1.05868782464267e-12,1.05898176200215e-12,1.05973385371988e-12,1.0604012360852e-12,1.39701253899106e-12,-8.83799293946104e-14,-8.17757542818978e-14,-8.91028284483074e-14,-4.18462596573189e-14,-6.69986960525591e-14,-9.0684127518945e-14,-2.28759422771763e-14,-8.78489512081575e-14,-2.16382320163976e-13,-6.73396347016846e-14,-2.16573673015714e-15,-3.47745248865845e-15,1.25562936749359e-14,1.07126659882293e-14,9.30369996197226e-15,4.41157100257617e-15,3.15471533022666e-15,3.47795533082453e-15,2.14459955689095e-16,5.59100856060345e-16,5.5625036477657e-15,4.90247405534021e-15,7.98278658050989e-15,9.37532553530308e-15,7.22864530717464e-15,2.52420855044494e-15,-1.07729113609026e-16,-1.0571038360715e-12,-1.0587529039338e-12,-1.05906817748478e-12,-1.05979951110207e-12,-1.06044029877877e-12,-1.39702553630172e-12,8.85489823563906e-14,8.18191653836079e-14,8.90473971583494e-14,4.19271213026213e-14,6.69283062712935e-14,9.06717324058307e-14,2.2838458103747e-14,8.77623517453123e-14,2.16357682785111e-13,6.73653981357651e-14
"curr_pts_reg1",-9.95307110389869e-15,-2.05653980877897e-14,7.11978531601985e-15,-8.63535646493297e-14,-7.92140492456006e-14,-1.02362964082573e-13,-1.10709439647396e-13,-8.83799293946033e-14,3.21777392718984e-11,5.55130620580954e-14,5.21826908604398e-14,4.94538238564115e-14,5.11044041816698e-14,5.01859407821257e-14,4.83187929117658e-14,5.00416524251781e-14,3.10518004480327e-14,3.9211057836115e-14,-2.1909482692145e-15,5.52879981750118e-15,2.98020333653934e-17,1.10186900887584e-14,3.05911257863497e-15,6.25334541208994e-16,2.85602144562273e-15,2.32704746651614e-14,2.06265160829401e-14,1.34974518585724e-14,-3.89192472627274e-14,3.24976136988105e-14,4.28150176578306e-14,4.53428928217406e-14,4.2473965833833e-14,2.7251257501632e-14,-4.30791301971329e-16,-6.89896803427155e-15,8.64914021768548e-14,7.93257726309182e-14,1.02507372815683e-13,1.10877271889715e-13,8.8560904383732e-14,-3.21774670691227e-11,-5.53510373461793e-14,-5.2025306577779e-14,-4.9172258912047e-14,-5.08549553117268e-14,-4.97491041214376e-14,-4.78794682249682e-14,-4.95192391593613e-14,-3.04073105129874e-14,-3.82936160886597e-14
"curr_pts_reg2",-4.09530071876801e-14,-6.30890197094483e-15,-5.77121845064293e-15,-5.2995878344757e-14,-6.94571116886888e-14,-8.35354313093132e-14,-9.51658356334599e-14,-8.17757542818935e-14,5.55130620580957e-14,7.11298261021594e-12,5.33019200168331e-14,5.06482667545283e-14,5.26553603848863e-14,5.24469141892766e-14,4.90950929349988e-14,5.20723400176611e-14,3.44083519601291e-14,4.54108575817944e-14,9.23774840662024e-15,6.29280918766284e-15,1.01592116538416e-14,1.41179594627491e-14,1.11690779282415e-14,5.90278308201092e-16,-1.22414308704497e-15,2.07737428705614e-14,1.96797220419177e-14,2.17386486578436e-14,-4.02989904759788e-14,4.94966583953044e-14,6.14278461985571e-14,6.61366209028183e-14,6.34237340724123e-14,4.24404217721142e-14,5.2877420299084e-15,6.14583220773853e-15,5.3233322559294e-14,6.96562068532212e-14,8.37831758829632e-14,9.54460346810484e-14,8.20711184915107e-14,-5.51503416247141e-14,-7.11271907528673e-12,-5.30150183519487e-14,-5.01699221828812e-14,-5.22103685447511e-14,-5.17133291136778e-14,-4.83562191995231e-14,-5.11254101733331e-14,-3.33422500497357e-14,-4.38100523993526e-14
