"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","4 yr.","mnwk","no","all","Male","LPM","(Intercept)",0.00021193883814913,1.61484523814637e-06,131.244055555694,0,NA,NA,6928125511
"1.1","all","4 yr.","mnwk","no","all","Male","LPM","policyTRUE",-4.38303789740278e-05,4.8301610349642e-07,-90.7431008133099,0,NA,NA,6928125511
"1.2","all","4 yr.","mnwk","no","all","Male","LPM","age_grp20-24",5.34676591213514e-05,1.82041594696366e-06,29.3711221386146,1.28433681261108e-189,NA,NA,6928125511
"1.3","all","4 yr.","mnwk","no","all","Male","LPM","age_grp25-34",-7.52456574008209e-05,1.49462045014457e-06,-50.3443248040279,0,NA,NA,6928125511
"1.4","all","4 yr.","mnwk","no","all","Male","LPM","age_grp35-44",-0.000113240995615441,1.4621408170171e-06,-77.4487616360114,0,NA,NA,6928125511
"1.5","all","4 yr.","mnwk","no","all","Male","LPM","age_grp45-54",-0.000151781940197674,1.43366710620297e-06,-105.869723550863,0,NA,NA,6928125511
"1.6","all","4 yr.","mnwk","no","all","Male","LPM","age_grp55-64",-0.000193760844114375,1.4382811496922e-06,-134.716946096277,0,NA,NA,6928125511
"1.7","all","4 yr.","mnwk","no","all","Male","LPM","age_grp65-199",-0.000254835922447678,1.41362415443552e-06,-180.271341323704,0,NA,NA,6928125511
"1.8","all","4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp1-3",0.000738833848019681,1.1315867040892e-06,652.918459849139,0,NA,NA,6928125511
"1.9","all","4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp4-6",0.00134176399874612,2.49520220183525e-06,537.737582052163,0,NA,NA,6928125511
"1.10","all","4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp7-9",0.00183846257549816,4.61408967320336e-06,398.445350157617,0,NA,NA,6928125511
"1.11","all","4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp10-150",0.00250088236610575,6.30351644977336e-06,396.744005672528,0,NA,NA,6928125511
"1.12","all","4 yr.","mnwk","no","all","Male","LPM","month02",7.1041372390143e-05,1.18559496679088e-06,59.9204402684291,0,NA,NA,6928125511
"1.13","all","4 yr.","mnwk","no","all","Male","LPM","month03",8.26319369260897e-05,1.16355956561973e-06,71.0165077643261,0,NA,NA,6928125511
"1.14","all","4 yr.","mnwk","no","all","Male","LPM","month04",6.78618899683745e-05,1.15824408462547e-06,58.5903186290118,0,NA,NA,6928125511
"1.15","all","4 yr.","mnwk","no","all","Male","LPM","month05",8.0560539409848e-05,1.15855520744615e-06,69.5353478988978,0,NA,NA,6928125511
"1.16","all","4 yr.","mnwk","no","all","Male","LPM","month06",7.06941104761505e-05,1.1611804465613e-06,60.8812443281342,0,NA,NA,6928125511
"1.17","all","4 yr.","mnwk","no","all","Male","LPM","month07",5.78141491748161e-05,1.14241261582049e-06,50.6070647104099,0,NA,NA,6928125511
"1.18","all","4 yr.","mnwk","no","all","Male","LPM","month08",1.66685463679301e-05,1.11093119733363e-06,15.0041212344532,6.89988393833805e-51,NA,NA,6928125511
"1.19","all","4 yr.","mnwk","no","all","Male","LPM","month09",0.000116140868247818,1.19626776997911e-06,97.0860129834024,0,NA,NA,6928125511
"1.20","all","4 yr.","mnwk","no","all","Male","LPM","month10",9.9784629926967e-05,1.17531516990019e-06,84.9003165129237,0,NA,NA,6928125511
"1.21","all","4 yr.","mnwk","no","all","Male","LPM","month11",8.62284139276266e-05,1.17515893043661e-06,73.3759593654195,0,NA,NA,6928125511
"1.22","all","4 yr.","mnwk","no","all","Male","LPM","month12",-0.000149585529911127,9.78655550629167e-07,-152.84798600995,0,NA,NA,6928125511
"1.23","all","4 yr.","mnwk","no","all","Male","LPM","weekdayMonday",0.000121442754994283,8.42010164199924e-07,144.22955940167,0,NA,NA,6928125511
"1.24","all","4 yr.","mnwk","no","all","Male","LPM","weekdayTuesday",0.000160764743917227,8.65058117863904e-07,185.842708827708,0,NA,NA,6928125511
"1.25","all","4 yr.","mnwk","no","all","Male","LPM","weekdayWednesday",0.000183842069511671,8.78208993956715e-07,209.337493440351,0,NA,NA,6928125511
"1.26","all","4 yr.","mnwk","no","all","Male","LPM","weekdayThursday",0.000162780961724186,8.67842932577708e-07,187.569611520239,0,NA,NA,6928125511
"1.27","all","4 yr.","mnwk","no","all","Male","LPM","weekdayFriday",0.000132186676346454,8.50017165672016e-07,155.510596355955,0,NA,NA,6928125511
"1.28","all","4 yr.","mnwk","no","all","Male","LPM","weekdaySaturday",2.77719561476688e-05,7.8374201562927e-07,35.4350737791831,4.92558178886958e-275,NA,NA,6928125511
"2","all","4 yr.","mnwk","with","all","Male","LPM","(Intercept)",4.05005694730101e-05,1.65673391560235e-06,24.4460314909924,5.54608203375983e-132,NA,NA,6928125511
"2.1","all","4 yr.","mnwk","with","all","Male","LPM","policyTRUE",0.000291099523781602,2.65338739570704e-06,109.708640454303,0,NA,NA,6928125511
"2.2","all","4 yr.","mnwk","with","all","Male","LPM","age_grp20-24",0.000271038525962054,2.23906597222313e-06,121.049816898849,0,NA,NA,6928125511
"2.3","all","4 yr.","mnwk","with","all","Male","LPM","age_grp25-34",0.000116191955657917,1.66657061041058e-06,69.7191915734622,0,NA,NA,6928125511
"2.4","all","4 yr.","mnwk","with","all","Male","LPM","age_grp35-44",5.9029119150428e-05,1.59582018406498e-06,36.9898311475576,1.66869581293476e-299,NA,NA,6928125511
"2.5","all","4 yr.","mnwk","with","all","Male","LPM","age_grp45-54",2.31038594781486e-05,1.55282752906532e-06,14.8785741144449,4.5407476173762e-50,NA,NA,6928125511
"2.6","all","4 yr.","mnwk","with","all","Male","LPM","age_grp55-64",-2.06085950275792e-05,1.5693971768947e-06,-13.1315356819722,2.17206774037016e-39,NA,NA,6928125511
"2.7","all","4 yr.","mnwk","with","all","Male","LPM","age_grp65-199",-8.81777309268718e-05,1.53130439508468e-06,-57.5834113778505,0,NA,NA,6928125511
"2.8","all","4 yr.","mnwk","with","all","Male","LPM","curr_pts_grp1-3",0.000736244127146871,1.13150763928249e-06,650.675348169755,0,NA,NA,6928125511
