"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","Placebo","mnwk","no","all","Male","LPM","(Intercept)",7.3606938232566e-05,1.95917816868635e-06,37.5703136187559,6.56657874128601e-309,NA,NA,3447446426
"1.1","all","Placebo","mnwk","no","all","Male","LPM","policyTRUE",-3.9379252715142e-06,6.87610218614219e-07,-5.72697316722623,1.02238340493749e-08,NA,NA,3447446426
"1.2","all","Placebo","mnwk","no","all","Male","LPM","age_grp20-24",0.000252244840287435,2.2243269324096e-06,113.402772142933,0,NA,NA,3447446426
"1.3","all","Placebo","mnwk","no","all","Male","LPM","age_grp25-34",0.000103353162540976,1.66110016466345e-06,62.2197051927425,0,NA,NA,3447446426
"1.4","all","Placebo","mnwk","no","all","Male","LPM","age_grp35-44",5.05109835157652e-05,1.59426982963304e-06,31.6828322137863,2.67862893121084e-220,NA,NA,3447446426
"1.5","all","Placebo","mnwk","no","all","Male","LPM","age_grp45-54",1.64542035376858e-05,1.55320287219453e-06,10.5937246397423,3.18655081725391e-26,NA,NA,3447446426
"1.6","all","Placebo","mnwk","no","all","Male","LPM","age_grp55-64",-2.52709313005784e-05,1.57077013157644e-06,-16.0882428259673,3.08470085535482e-58,NA,NA,3447446426
"1.7","all","Placebo","mnwk","no","all","Male","LPM","age_grp65-199",-9.00835504914186e-05,1.53272919842316e-06,-58.7732983648349,0,NA,NA,3447446426
"1.8","all","Placebo","mnwk","no","all","Male","LPM","curr_pts_grp1-3",0.000784880256211482,1.69944181365923e-06,461.845913112777,0,NA,NA,3447446426
"1.9","all","Placebo","mnwk","no","all","Male","LPM","curr_pts_grp4-6",0.0014264913246861,3.83797063945408e-06,371.678540221716,0,NA,NA,3447446426
"1.10","all","Placebo","mnwk","no","all","Male","LPM","curr_pts_grp7-9",0.00193406011123265,7.07337456392049e-06,273.428205131085,0,NA,NA,3447446426
"1.11","all","Placebo","mnwk","no","all","Male","LPM","curr_pts_grp10-150",0.00283769107033378,1.05765474847633e-05,268.300319591226,0,NA,NA,3447446426
"1.12","all","Placebo","mnwk","no","all","Male","LPM","month02",5.33721548677627e-05,1.74761663131552e-06,30.5399673540454,7.68528450231749e-205,NA,NA,3447446426
"1.13","all","Placebo","mnwk","no","all","Male","LPM","month03",5.06945906832589e-05,1.70589933868256e-06,29.7172227772887,4.60090321524571e-194,NA,NA,3447446426
"1.14","all","Placebo","mnwk","no","all","Male","LPM","month04",4.91603616257574e-06,1.64920172739316e-06,2.98085799991633,0.00287442046219184,NA,NA,3447446426
"1.15","all","Placebo","mnwk","no","all","Male","LPM","month05",1.91047851706237e-05,1.65891665379204e-06,11.5164225562225,1.09045129048053e-30,NA,NA,3447446426
"1.16","all","Placebo","mnwk","no","all","Male","LPM","month06",2.63223726068212e-05,1.67732965387788e-06,15.6930228628377,1.68821802414211e-55,NA,NA,3447446426
"1.17","all","Placebo","mnwk","no","all","Male","LPM","month07",3.21310907106267e-05,1.66672341975465e-06,19.277997974827,8.21976097427835e-83,NA,NA,3447446426
"1.18","all","Placebo","mnwk","no","all","Male","LPM","month08",-5.70603623903097e-06,1.63755600643367e-06,-3.48448310568492,0.000493088596112034,NA,NA,3447446426
"1.19","all","Placebo","mnwk","no","all","Male","LPM","month09",9.06244429838697e-05,1.74643962594056e-06,51.8909681375691,0,NA,NA,3447446426
"1.20","all","Placebo","mnwk","no","all","Male","LPM","month10",6.92025921093809e-05,1.71445466735771e-06,40.3642005979866,0,NA,NA,3447446426
"1.21","all","Placebo","mnwk","no","all","Male","LPM","month11",6.7948138601634e-05,1.73410176563631e-06,39.1834781257496,0,NA,NA,3447446426
