"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","(Intercept)",0.000234048058847603,1.68861829133593e-06,138.603294805269,0,NA,NA,6928125511
"1.1","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policyTRUE",-2.59576287688656e-05,5.95577075168331e-07,-43.5839958439118,0,NA,NA,6928125511
"1.2","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy01",5.7336994284631e-05,2.10423772876577e-06,27.2483443770689,1.73868311568771e-163,NA,NA,6928125511
"1.3","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy02",4.11055223415045e-05,2.07968208346253e-06,19.7652913723556,5.92555745975087e-87,NA,NA,6928125511
"1.4","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy03",6.94599580380824e-06,2.04947917825963e-06,3.38915168179782,0.000701092176525192,NA,NA,6928125511
"1.5","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy04",-4.86399594946795e-05,1.93975656320247e-06,-25.0752905892359,9.25334181360352e-139,NA,NA,6928125511
"1.6","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy05",-4.40527289809236e-05,1.82488418668742e-06,-24.1400135429358,9.50664954799298e-129,NA,NA,6928125511
"1.7","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy06",-6.28291302066124e-05,2.08167859326022e-06,-30.1819552787987,4.08657018984403e-200,NA,NA,6928125511
"1.8","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy07",-4.29881717330376e-05,2.03975662570558e-06,-21.0751474912687,1.34487439517523e-98,NA,NA,6928125511
"1.9","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy08",-6.42958854623486e-05,1.99552864147939e-06,-32.2199762638749,9.26891182292756e-228,NA,NA,6928125511
"1.10","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy09",-5.82809871132283e-05,1.34635557660006e-06,-43.2879605701228,0,NA,NA,6928125511
"1.11","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy10",-0.000124396633975787,1.68099598111408e-06,-74.0017438312634,0,NA,NA,6928125511
"1.12","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy11",-6.10503587718045e-05,2.02859535862103e-06,-30.0948922673788,5.65163552590133e-199,NA,NA,6928125511
"1.13","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","policy_monthpolicy12",-2.80202557065582e-05,1.99558253863488e-06,-14.0411409521182,8.72959125741726e-45,NA,NA,6928125511
"1.14","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","age_grp20-24",5.35386617987853e-05,1.82038330731934e-06,29.4106530111096,4.01339849104903e-190,NA,NA,6928125511
"1.15","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","age_grp25-34",-7.51481834318511e-05,1.49454662222299e-06,-50.2815919653785,0,NA,NA,6928125511
"1.16","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","age_grp35-44",-0.000113078684572792,1.4620144975656e-06,-77.3444345190001,0,NA,NA,6928125511
"1.17","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","age_grp45-54",-0.00015168634286267,1.43358421049419e-06,-105.809161228401,0,NA,NA,6928125511
"1.18","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","age_grp55-64",-0.000193723563688978,1.43824599565744e-06,-134.694318130485,0,NA,NA,6928125511
"1.19","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","age_grp65-199",-0.00025483795837123,1.41361784996787e-06,-180.273585521732,0,NA,NA,6928125511
"1.20","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp1-3",0.000738760031084034,1.13157222432959e-06,652.861580728283,0,NA,NA,6928125511
"1.21","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp4-6",0.00134180022038623,2.49521554851662e-06,537.749222179989,0,NA,NA,6928125511
"1.22","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp7-9",0.00183875059393815,4.61414479986302e-06,398.503010567146,0,NA,NA,6928125511
"1.23","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp10-150",0.00250103476617483,6.30340721540748e-06,396.775058425788,0,NA,NA,6928125511
"1.24","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month02",5.51109420727047e-05,1.40737069397492e-06,39.1587961214765,0,NA,NA,6928125511
"1.25","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month03",5.84797950964013e-05,1.37647961269051e-06,42.4850426822485,0,NA,NA,6928125511
"1.26","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month04",2.23090236211561e-05,1.34731210726118e-06,16.5581705240562,1.39780363896669e-61,NA,NA,6928125511
"1.27","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","month05",3.90773319378924e-05,1.35267908294789e-06,28.8888417293563,1.64883263722717e-183,NA,NA,6928125511
