"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",1.99756295773382e-12,-2.88899224651219e-14,-1.47996249578265e-12,-1.47423447970472e-12,-1.47558574794217e-12,-1.46536858248701e-12,-1.45831673831635e-12,-1.45192316875734e-12,-3.28409835233024e-14,-5.57434647579481e-14,-7.30333085531239e-14,-1.16599745112526e-13,-9.92337434991886e-14,-1.18060775643636e-13,-1.40148687718907e-13,-1.6247075028388e-13,-1.41290339739592e-13,-1.66225072298163e-13,-4.14592473756289e-13,-4.11921711581303e-13,-4.38581584317411e-13,-4.29169314248073e-13,-4.25524339899568e-13,-4.18745942905676e-13,-4.12620668620488e-13,-4.22682760299162e-13,-4.12822890466053e-13,-4.19860010562009e-13,-4.06731704453453e-13,-1.85756383607012e-13,-1.89694136105115e-13,-1.92330253676812e-13,-1.8956204409019e-13,-1.88978689013133e-13,-1.71775183913378e-13,2.7656934082666e-14,2.16228899491974e-14,1.79159280270883e-14,1.85838572032276e-14,1.78908157651243e-14,2.4780044352045e-14,3.83431339475192e-15,4.98894803118946e-14,-3.73415710056301e-14,-4.7433427196094e-14
"policyTRUE",-2.88899224651211e-14,1.29234298717433e-13,-3.73768335207915e-14,-4.14074037931357e-14,-3.80654310130188e-14,-4.38295819790221e-14,-4.60735792025002e-14,-4.69714748573622e-14,6.55553585574576e-14,6.56912840188552e-14,6.57669755685824e-14,6.52321236269018e-14,6.52047927320661e-14,6.53322979986932e-14,6.4518883342178e-14,6.47103910542588e-14,6.65550873094985e-14,6.46786324653707e-14,6.08363187473296e-15,8.35163626049053e-15,1.08604973385984e-14,7.76619140490762e-15,6.60678392717468e-15,5.22110854978382e-15,2.54798548507741e-15,5.33178150718209e-15,5.78650265539719e-15,2.97262976653233e-15,2.70483578903505e-15,5.32546346368243e-16,-1.95768674280628e-17,-1.4110607924037e-16,-6.96863902887398e-16,8.69589415672032e-16,7.50014830283358e-16,-1.30573821696561e-13,-1.30447187281831e-13,-1.3069431542716e-13,-1.30881995754226e-13,-1.30672714190474e-13,-1.30878653692015e-13,-1.30768066552326e-13,-1.30760434671294e-13,-1.31225721845717e-13,-1.3165844386627e-13
"age_grp20-24",-1.47996249578266e-12,-3.73768335207905e-14,2.43839054437965e-12,1.48156635584176e-12,1.48247674134115e-12,1.48632483513417e-12,1.4894052219834e-12,1.49197774198616e-12,-2.13557495659763e-14,-2.89234393628303e-14,-1.71789712042936e-14,-2.18523863553213e-14,-2.37737258186357e-14,-1.58380755756461e-14,-7.14528853306186e-14,-6.23207155273666e-14,-1.11745840262779e-14,4.74630737819028e-14,-3.81112761777584e-15,-6.37737583506979e-15,1.31059967753107e-14,1.07483224354535e-14,7.1925199528139e-15,9.58983237910953e-15,4.75823385049056e-15,3.89096469648103e-15,2.62173408117619e-15,1.22826046419581e-15,-3.6096095664845e-16,5.95234388110146e-15,3.68940607096792e-15,3.18340992167616e-15,2.71761400546178e-15,9.98021163806184e-16,-8.23135103999937e-16,-1.33460263468471e-14,1.47539133138102e-14,1.06470010014902e-14,3.32210662603286e-15,-1.96934745562827e-14,-3.84673577683082e-14,1.2011312922262e-14,-8.32618190996722e-15,5.76905880990048e-14,-9.89009138467614e-14
"age_grp25-34",-1.47423447970473e-12,-4.14074037931341e-14,1.48156635584176e-12,1.77320083968736e-12,1.4837369289012e-12,1.48599074256422e-12,1.48788104287752e-12,1.4893662945717e-12,-6.85330306271592e-14,-5.31612233809899e-14,-4.11198762357499e-14,-4.99413786515108e-14,-6.49162891554638e-14,-6.18384684542999e-14,-6.08755059810327e-14,-8.64674724089834e-14,1.18550229723707e-14,-7.04906713911767e-14,-3.63814958550851e-15,-9.67960644934072e-15,1.30661184654448e-14,7.51131300600298e-15,4.93685228115162e-15,3.20660086162396e-15,-1.79574047951318e-15,-1.54710547566451e-15,-2.36202957496965e-15,-7.60515877467478e-16,3.35356268957998e-15,6.0898653569612e-15,8.33417831128951e-15,8.94793560394551e-15,8.51635256570699e-15,4.22937010835936e-15,9.7310609434448e-16,2.01153894065964e-14,2.85562191306817e-14,2.94474692744078e-14,1.8796340476625e-14,2.18424661341535e-14,9.04729410607377e-15,5.92906498483567e-15,1.22631389006369e-14,2.32574837897555e-14,3.48912743178444e-14
"age_grp35-44",-1.47558574794218e-12,-3.80654310130177e-14,1.48247674134115e-12,1.48373692890119e-12,1.72729061608121e-12,1.48544158698983e-12,1.48691811534089e-12,1.48804735603524e-12,-6.28122679004903e-14,-6.00994971112606e-14,-4.28231292247351e-14,-3.5937578373267e-14,-6.94113896985388e-14,-7.28031639663456e-14,-4.63229143489585e-14,-9.53703038345541e-14,-2.04610120581279e-15,-7.11930061245793e-14,-2.57064187132949e-15,-9.8522766841288e-15,1.07658755735326e-14,6.74828045579243e-15,3.07698651784663e-15,-1.8120867813063e-16,-4.14134796561344e-15,-3.62620480145852e-15,-5.2050741328539e-15,-8.55465496985414e-16,3.58185257515807e-15,7.95609517362813e-15,1.17223416474741e-14,1.32731779389452e-14,1.27941424159965e-14,7.05087075728241e-15,1.67437105782943e-15,9.8035541903728e-15,3.30437974865779e-14,2.7170573114075e-14,9.52754990685062e-15,2.30699460822255e-14,1.33352519018852e-14,-7.13783066649494e-15,1.33498176705314e-14,3.61278807778796e-14,4.81932150982904e-14
"age_grp45-54",-1.46536858248702e-12,-4.38295819790214e-14,1.48632483513416e-12,1.48599074256422e-12,1.48544158698983e-12,1.6527651254323e-12,1.48607920828217e-12,1.4862200786526e-12,-7.41500541242345e-14,-6.65613223520471e-14,-5.24847474556504e-14,-5.72663022858244e-14,-6.68238987338547e-14,-8.42020427666716e-14,-4.33487689207424e-14,-8.80420641047829e-14,-1.46055174562846e-14,-8.67339015090598e-14,-5.41416486523731e-15,-1.28691548395216e-14,1.22536798534233e-14,8.1128593215901e-15,4.63995579234406e-15,5.44897153171433e-16,-3.32373267550532e-15,-4.70286484807819e-15,-7.04203339463212e-15,-3.3895327763481e-15,7.10347256752844e-15,3.42734941567908e-15,6.35718101304384e-15,7.05882408524563e-15,6.85250357829457e-15,2.84015741138825e-15,4.2044715071019e-16,1.68900426489646e-14,3.19327514324821e-14,3.24799482794033e-14,3.10845536287127e-14,1.45725254185528e-14,3.17009875284122e-14,-8.09835512143054e-15,5.09501217849033e-15,4.05515325912364e-14,6.16090265499769e-14
"age_grp55-64",-1.45831673831637e-12,-4.60735792024984e-14,1.4894052219834e-12,1.48788104287752e-12,1.48691811534089e-12,1.48607920828217e-12,1.65896905686187e-12,1.48476711571509e-12,-7.81546455047992e-14,-7.22019412533945e-14,-6.10328396059991e-14,-5.75248787747023e-14,-7.13255093545136e-14,-7.54500519139425e-14,-4.68061474634418e-14,-8.78256760405608e-14,-4.64126967492222e-14,-5.52736982739289e-14,-8.37885537711033e-15,-1.54116366646063e-14,1.15640595180587e-14,7.30319045491259e-15,4.64107765220794e-15,3.99378015960653e-16,-2.89459205480964e-15,-5.82775120426222e-15,-8.02451464777707e-15,-5.47116402298772e-15,1.01283355300302e-14,1.04493519082193e-15,2.09524645580657e-15,3.4052187680782e-15,3.1759464563852e-15,-1.03026477767777e-15,-8.39704006075508e-16,2.33585002321841e-14,4.10619919626833e-14,3.673866073833e-14,4.10430824676364e-14,2.81853796132376e-14,1.87126073059118e-14,8.67735638549007e-15,3.58130351410963e-14,6.35308998548422e-14,5.08363901598042e-14
"age_grp65-199",-1.45192316875734e-12,-4.69714748573612e-14,1.49197774198615e-12,1.4893662945717e-12,1.48804735603523e-12,1.4862200786526e-12,1.48476711571508e-12,1.64465701588282e-12,-6.69162280704574e-14,-6.53710071876297e-14,-6.63507438358891e-14,-4.36742180330946e-14,-6.03917885142272e-14,-7.30897440496989e-14,-3.66493764086308e-14,-7.28147863629226e-14,-1.28465350023565e-13,-5.97167307480526e-14,-9.85049222460221e-15,-1.78665555392543e-14,1.14441795575318e-14,7.17083928830567e-15,3.81107306894415e-15,1.37275025055477e-15,-1.67929181583319e-15,-6.6703072740391e-15,-8.89257830294944e-15,-6.49575209685117e-15,1.35455136128558e-14,-3.10555775540623e-15,-2.4400598740082e-15,-2.35443938807407e-15,-1.72968896352917e-15,-5.09920336583396e-15,-1.98252493432749e-15,1.73864772199427e-14,4.17697051388407e-14,3.98855583058175e-14,3.16946826060697e-14,2.91524038783139e-14,2.9169472448622e-14,1.44093177358667e-14,1.948339597858e-14,7.34411432142855e-14,5.1241707386194e-14
"curr_pts_reg1",-3.2840983523301e-14,6.5555358557458e-14,-2.13557495659805e-14,-6.85330306271624e-14,-6.28122679004927e-14,-7.4150054124236e-14,-7.81546455048022e-14,-6.69162280704615e-14,3.21860739107354e-11,6.33200046563661e-14,6.15972137331202e-14,6.04337540625797e-14,6.13253776949043e-14,6.08503041835413e-14,6.02740406607802e-14,6.09710287183641e-14,5.09739316217389e-14,5.53913528921242e-14,-2.59632729792757e-15,5.37956033597242e-15,-3.80885786962655e-16,1.11484662478404e-14,3.00907836487488e-15,4.78459915601562e-16,2.9503892867774e-15,2.38487930378886e-14,2.10375407446529e-14,1.37328365649696e-14,-4.02094950134028e-14,3.32612758129648e-14,4.37834360148116e-14,4.63564447630657e-14,4.3453173879677e-14,2.78349529141957e-14,-5.05878737497684e-16,-3.21889636812533e-11,-6.64027862833571e-14,-6.68438737989531e-14,-6.52175341434621e-14,-6.66643273874312e-14,-6.63080360426903e-14,-6.63017778825339e-14,-6.68229642112858e-14,-6.59336994268982e-14,-6.57278389042413e-14
"curr_pts_reg2",-5.57434647579518e-14,6.56912840188551e-14,-2.89234393628247e-14,-5.31612233809866e-14,-6.00994971112551e-14,-6.65613223520408e-14,-7.2201941253391e-14,-6.53710071876244e-14,6.33200046563666e-14,7.12055243557083e-12,6.22437973778696e-14,6.11276876182917e-14,6.2225741555691e-14,6.21545188909235e-14,6.07593339030671e-14,6.21208946561479e-14,5.2702094581508e-14,5.86576237207299e-14,9.31845258558189e-15,6.24695339801276e-15,1.03322387431109e-14,1.45411581889799e-14,1.15822257991224e-14,5.40433133106413e-16,-1.19472210051951e-15,2.13633465027495e-14,2.01295275854389e-14,2.23645052601525e-14,-4.165307274349e-14,5.10068492290969e-14,6.32216375990641e-14,6.80684826918236e-14,6.53136733169657e-14,4.36798325795127e-14,5.4487998819493e-15,-6.53201889591218e-14,-7.12306114762286e-12,-6.64382728581815e-14,-6.49898257180662e-14,-6.63134278359903e-14,-6.6058582055892e-14,-6.51294371896926e-14,-6.57902590695948e-14,-6.47545056960314e-14,-6.5899539824627e-14
