"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",2.59805270008471e-12,-3.3534384599925e-14,-1.80112153835595e-12,-1.78421121056982e-12,-1.77972201805052e-12,-1.7722458367417e-12,-1.7664078528482e-12,-1.75824029699815e-12,-6.17549517047486e-15,-2.88525166393186e-14,-4.45104433147561e-14,-8.76204128108824e-14,-5.79445301361368e-14,-6.52986476564583e-14,-1.12246727988405e-13,-8.39561373139578e-14,-9.12876257616002e-14,-9.77805099843809e-14,-6.20475708106751e-13,-6.11761547392179e-13,-6.42846500131589e-13,-6.31409323481053e-13,-6.24277113647025e-13,-6.17229001626954e-13,-6.09741782165842e-13,-6.21170880216352e-13,-6.09446507321145e-13,-6.21940124863846e-13,-6.06454057927253e-13,-3.22058894975113e-13,-3.24721510734313e-13,-3.26898919350693e-13,-3.24405348245424e-13,-3.24847338727207e-13,-2.99641504186041e-13,3.18928969005995e-14,2.80060678891038e-14,2.5018625439813e-14,5.85393929154892e-15,2.51659922051695e-14,2.36735486110568e-14,5.72480812257109e-15,2.07441950539417e-14,-3.61245711532989e-14,-6.47285243136937e-14
"policyTRUE",-3.35343845999245e-14,1.51982089808739e-13,-5.16804742564314e-14,-5.3490180977601e-14,-4.79912381437831e-14,-5.23182110676292e-14,-5.39883753877516e-14,-5.442578049908e-14,8.09535328111585e-14,8.10047730433179e-14,8.06766516992939e-14,7.997891842552e-14,8.06999705051308e-14,8.07657610108784e-14,7.988146035216e-14,8.04533128850627e-14,8.08534512043371e-14,8.05427985153709e-14,4.24312835187412e-15,5.2092183655739e-15,1.14250282398405e-14,1.03464063886025e-14,8.06060297937802e-15,5.494758250074e-15,3.96356986642118e-15,4.93734527479265e-15,5.64357682362694e-15,2.54577750429018e-15,4.11175913166086e-15,4.45981230645322e-16,-5.45074750351093e-16,-1.19663852644896e-15,-1.73311154563501e-15,-1.71997127041232e-16,4.02603991600225e-16,-1.53187680275222e-13,-1.53220611164654e-13,-1.53624416765476e-13,-1.53836900473083e-13,-1.53633266735226e-13,-1.53946538247902e-13,-1.54055703609596e-13,-1.53901362160809e-13,-1.54607246879469e-13,-1.55784149106369e-13
"age_grp20-24",-1.80112153835594e-12,-5.16804742564317e-14,3.30606005070214e-12,1.79862136266147e-12,1.80675844011253e-12,1.81281504376332e-12,1.81756100611214e-12,1.82254550194591e-12,-3.34711503539197e-14,-3.06519389884602e-14,-2.71288149101941e-14,-6.40037319513324e-14,-5.1187026098655e-14,-5.40957908473969e-14,-1.10409801130304e-13,-8.97201567039111e-14,-5.90858777102899e-14,-1.71573231885427e-13,-4.50095139565808e-15,-8.95425549661487e-15,1.86642550563227e-14,1.57399034009606e-14,1.10002834856605e-14,1.09420790998563e-14,2.30618173061027e-15,2.26259535038575e-15,-2.0788868877134e-16,7.77747088063873e-16,-7.06949608964126e-16,-2.15585732149966e-15,-3.93828657945007e-15,-3.34116850875452e-15,-2.61796777682083e-15,-2.52644113769496e-15,-1.50826956855041e-15,-9.14204365420481e-15,3.8287961847239e-15,4.39964296424671e-15,3.66571030905556e-14,-3.22823813986408e-14,-3.30722340278858e-14,2.50851366255297e-14,-5.54093048996049e-14,-2.73565792034828e-14,-2.5381452664407e-14
"age_grp25-34",-1.78421121056981e-12,-5.3490180977601e-14,1.79862136266147e-12,2.22788920080363e-12,1.80636588213418e-12,1.80878938996601e-12,1.81051243323979e-12,1.81202611737324e-12,-9.12742560315854e-14,-7.1951076709824e-14,-6.26949156131771e-14,-6.67200971761723e-14,-9.53017834009478e-14,-1.04552700337082e-13,-9.93372944793793e-14,-1.40555359702466e-13,-7.72746587508807e-14,-1.68727786091668e-13,-3.89699858745907e-15,-1.34004155297448e-14,1.35059729718228e-14,5.42676632336785e-15,-3.79747377467238e-16,-6.97476644264236e-16,-9.00953254568031e-15,-8.87292262810374e-15,-8.84644474720022e-15,-4.25447489176022e-15,2.18225662344885e-15,5.49083361318225e-15,5.92133688658113e-15,6.46006238382286e-15,6.07670082993274e-15,1.61617766835529e-15,-1.57890283861958e-15,2.7407363366064e-14,3.15821230446304e-14,3.31772502964107e-14,5.35667044414616e-14,2.34288867731414e-14,2.86446705087489e-14,5.66561939370128e-14,4.24704496962317e-14,5.56774048184479e-14,1.04745021175374e-13
"age_grp35-44",-1.77972201805052e-12,-4.79912381437831e-14,1.80675844011254e-12,1.80636588213419e-12,2.13395930244109e-12,1.80664819440325e-12,1.80688440533027e-12,1.80676517389354e-12,-1.04047524528738e-13,-8.4972623564436e-14,-7.43721919985474e-14,-6.8025064505724e-14,-9.56752912957421e-14,-1.05503426319397e-13,-8.11753115886462e-14,-1.09970536988002e-13,-7.49489391032499e-14,-1.25030814872037e-13,-3.40107535250376e-15,-1.42282825405771e-14,8.05977233509416e-15,-4.07388521305008e-16,-7.5964198900007e-15,-1.00886523937423e-14,-1.68670255059427e-14,-1.54613429325762e-14,-1.40335481823045e-14,-5.90022316705065e-15,2.17861395258028e-15,1.02445937000621e-14,1.25295422933862e-14,1.35217855841321e-14,1.29869130231865e-14,5.61940738191098e-15,-2.03527446374223e-15,3.40968948492554e-14,3.6396293124332e-14,4.01813402994309e-14,5.41685998817195e-14,3.2459361278777e-14,3.91128564299983e-14,5.55625052720051e-14,3.1695615511414e-14,6.01169829935607e-14,1.03239904493891e-13
"age_grp45-54",-1.7722458367417e-12,-5.2318211067629e-14,1.81281504376333e-12,1.80878938996602e-12,1.80664819440325e-12,2.05147475006999e-12,1.80515210555577e-12,1.80361039703901e-12,-1.20118859826628e-13,-1.03245239543308e-13,-8.41171780331789e-14,-7.30677092033124e-14,-1.03102033654629e-13,-1.06667432511621e-13,-6.79710401563209e-14,-1.04089903795371e-13,-8.84506052318513e-14,-1.20370581043659e-13,-3.9604252675693e-15,-1.58941416628239e-14,1.08385860007726e-14,1.58279555233601e-15,-6.30896030685654e-15,-1.01092033831376e-14,-1.55344991332377e-14,-1.45853646374804e-14,-1.32142436246434e-14,-6.02470746189829e-15,4.60958065673303e-15,9.60664340787156e-15,1.12695774960978e-14,1.25417042429348e-14,1.23932327163591e-14,4.75554773314403e-15,-2.37800092245383e-15,3.62269531424389e-14,4.30662948369198e-14,4.50395236424993e-14,5.28933240878455e-14,3.93095506219093e-14,3.84648434831477e-14,4.52488985589497e-14,3.77059071293786e-14,7.18451041487505e-14,1.07265718670639e-13
"age_grp55-64",-1.7664078528482e-12,-5.39883753877502e-14,1.81756100611215e-12,1.8105124332398e-12,1.80688440533026e-12,1.80515210555577e-12,2.06465801692974e-12,1.80026905281622e-12,-1.25599692542529e-13,-1.12809982190413e-13,-9.38624685727951e-14,-7.87710444171405e-14,-1.0079331608775e-13,-1.05397846190715e-13,-7.29393941675817e-14,-9.81073889569895e-14,-7.89260389466937e-14,-1.08803229673968e-13,-5.7604525706982e-15,-1.64880450020979e-14,1.25633477975661e-14,3.71854465024245e-15,-4.23365791474265e-15,-9.45804365886656e-15,-1.36748963040631e-14,-1.32739866398041e-14,-1.26670190473345e-14,-5.69999412426247e-15,7.83532942351785e-15,1.02839224979749e-14,1.10227513495496e-14,1.17873368114067e-14,1.18328003360302e-14,3.20081336367218e-15,-4.24167912235578e-15,3.30781451679766e-14,4.67376035692817e-14,4.98042733166059e-14,5.7475384341e-14,3.78347400730681e-14,4.69913371018028e-14,6.02604299386762e-14,3.42671579611202e-14,6.56067579006465e-14,1.07407977377323e-13
"age_grp65-199",-1.75824029699816e-12,-5.44257804990792e-14,1.82254550194592e-12,1.81202611737325e-12,1.80676517389355e-12,1.80361039703902e-12,1.80026905281622e-12,1.99418302051937e-12,-1.2900240805959e-13,-1.13854186885636e-13,-1.03316289408357e-13,-6.36141491288018e-14,-8.95716547903391e-14,-1.04973813944449e-13,-5.20247005052373e-14,-8.19356819227609e-14,-1.07993330869543e-13,-1.02272510631568e-13,-8.19593789900648e-15,-1.77676254748746e-14,1.47480504993342e-14,6.04553579125255e-15,-2.39425435960779e-15,-7.56323859322768e-15,-1.06637651506444e-14,-1.35162883893412e-14,-1.24217976705884e-14,-6.65422150399458e-15,1.272442869881e-14,8.54025026617243e-15,9.34646604516389e-15,9.61799612202681e-15,9.30381238195622e-15,-4.81880269505251e-16,-4.83449345191976e-15,4.11632101368795e-14,5.12994404085206e-14,5.44224240947031e-14,6.20223065545623e-14,4.23829069601984e-14,4.7876506474672e-14,5.39687023934907e-14,3.70522970757831e-14,7.87248615337606e-14,1.089607698075e-13
"curr_pts_reg1",-6.1754951704769e-15,8.09535328111585e-14,-3.34711503539181e-14,-9.12742560315835e-14,-1.04047524528739e-13,-1.20118859826628e-13,-1.25599692542529e-13,-1.29002408059589e-13,3.27977701209468e-11,7.94407116039632e-14,7.59377361740833e-14,7.22132836135826e-14,7.36952805133698e-14,7.23416448592322e-14,6.78332951443416e-14,6.96519675887188e-14,6.61553898937236e-14,6.17343932167095e-14,1.49572808159002e-14,1.16036280939887e-14,-5.61421141583022e-15,7.92782691925737e-15,4.95383540612646e-15,-1.33056553979882e-15,-2.71951298305058e-16,1.87400129135028e-14,1.67227151909504e-14,2.80733685823871e-14,-3.75583320060943e-14,3.17027739822624e-14,3.26236372536093e-14,4.11535029738978e-14,3.59001855486662e-14,3.07909214793426e-14,6.18814461558445e-15,-3.27986609981564e-11,-8.15630684410491e-14,-8.18032963290934e-14,-8.06145369461867e-14,-8.10485058709309e-14,-8.15545178987235e-14,-8.01377082815514e-14,-8.08740019088675e-14,-8.16911374343881e-14,-8.27724952661845e-14
"curr_pts_reg2",-2.8852516639325e-14,8.10047730433176e-14,-3.0651938988456e-14,-7.19510767098208e-14,-8.49726235644331e-14,-1.03245239543305e-13,-1.12809982190412e-13,-1.13854186885633e-13,7.94407116039638e-14,7.0163204119676e-12,7.58550875842407e-14,7.26269315178545e-14,7.35678864071418e-14,7.25022497615148e-14,6.8526063059501e-14,7.0002473345801e-14,6.66672371142185e-14,6.34542379798457e-14,1.47128726577368e-14,9.86185055339398e-15,1.19245235084796e-15,9.67245241167422e-15,8.8722531638703e-15,6.44348379290591e-15,-9.86312860548462e-16,2.2633629505997e-14,2.12134623868485e-14,2.19169588575544e-14,-4.63401147319599e-14,3.61805482455927e-14,4.61790482031923e-14,5.277889721085e-14,4.8663349296749e-14,3.67824889696755e-14,4.67933040483553e-15,-7.99042480543259e-14,-7.0181850321968e-12,-8.10758615467934e-14,-8.00182002964862e-14,-8.02905926853342e-14,-8.05829100230178e-14,-7.95600810007853e-14,-7.99507525880601e-14,-8.03729818439443e-14,-8.11059970166454e-14
