"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",2.73641779832037e-12,-1.9076606124967e-12,-1.94479648251108e-12,-1.93154436211416e-12,-1.92356408911583e-12,-1.9195405572567e-12,-1.91543389384575e-12,-1.90947913203628e-12,4.38358623922673e-14,2.57986603771507e-15,-1.83028476327469e-14,-6.33378967584979e-14,-3.11864104534399e-14,-3.02613160596363e-14,-9.07685714273259e-14,-4.85559614534286e-14,-7.14367665282287e-14,-3.74527703095541e-14,-6.25292593789666e-13,-6.23262057605682e-13,-6.43872168184182e-13,-6.35622463743969e-13,-6.29371428035837e-13,-6.23091702287e-13,-6.14506066337092e-13,-6.28104665661273e-13,-6.16234681721325e-13,-6.27412177125318e-13,-6.00579200175476e-13,-3.22663441964253e-13,-3.27150556451985e-13,-3.31075393497512e-13,-3.27101201673586e-13,-3.29665490817045e-13,-3.0121402793643e-13,1.94763401275061e-12,1.93606569951331e-12,1.92822504471682e-12,1.92471207146393e-12,1.92070185888042e-12,1.9169601347917e-12,-9.06125350576263e-14,-5.32766851290996e-14,-3.52303851521005e-14,-3.04108774061398e-14,-5.90124469907489e-14,-7.16872217619146e-14,-3.56386555182286e-14,-8.22571792925882e-14,-7.34687716751399e-14,-1.47922128012728e-13
"policyTRUE",-1.90766061249668e-12,6.94249147240146e-12,1.93820688992796e-12,1.92443062098361e-12,1.9163317751021e-12,1.91159780512615e-12,1.90666356385324e-12,1.89999005221143e-12,-7.3949146436643e-14,-4.03134705410245e-14,-2.18882078755099e-14,-1.01026413602397e-14,-3.57117841937798e-14,-5.11909753207523e-14,-1.31827798515392e-14,-5.47249373371614e-14,-1.72623851051471e-14,-9.91458211968472e-14,1.37930756318847e-14,2.78814181483091e-14,1.2979129410009e-14,1.81313651471463e-14,1.75279121947496e-14,1.65086617767733e-14,1.28994816466426e-14,1.816380179937e-14,1.86865548442821e-14,1.30932127767606e-14,-7.38717070899229e-15,1.66025521005318e-15,4.22648639618479e-15,7.0016596499058e-15,3.56331190098955e-15,9.25205675157151e-15,3.47282893471811e-15,-7.12872454181964e-12,-7.07020086422357e-12,-7.04576958734579e-12,-7.02308127900999e-12,-7.0021775652416e-12,-6.97534248149258e-12,1.4560546353574e-13,7.60517385097567e-14,4.94187199729525e-15,-6.8806066572582e-14,7.85677826126853e-14,8.68903963580247e-14,-4.67615959794388e-14,1.0866544826424e-13,-4.83248738743344e-14,6.5466615679385e-15
"age_grp20-24",-1.94479648251111e-12,1.93820688992807e-12,4.94959898472277e-12,1.83519736852306e-12,1.86685658415648e-12,1.88438639386662e-12,1.89990127713142e-12,1.91812934017859e-12,-1.19717810670405e-14,-2.41502945868289e-15,-6.10327661548516e-15,-9.32174200988333e-14,-4.39919342258635e-14,-5.23707604933286e-14,-1.81561140070624e-13,-1.24590467863543e-13,-7.05193908938299e-14,-3.03723278879939e-13,-1.02036328393366e-15,1.14104680115401e-16,1.36749033371212e-14,1.49190993088419e-14,1.53906144920847e-14,1.79880935230062e-14,6.9691803094394e-15,1.13738009845257e-14,8.67901335400025e-15,6.69528354958099e-15,-7.76742445049847e-15,-3.18782917963101e-15,-2.52810498209131e-15,-9.49806237910243e-16,-3.58982564404646e-16,2.18478130495682e-15,6.21812789074316e-16,-4.94979471136693e-12,-1.83532782164315e-12,-1.86697145518666e-12,-1.88448577784274e-12,-1.8999869723167e-12,-1.91820566153181e-12,1.21024630351022e-14,2.38808182783033e-15,5.87824327096274e-15,9.3127773486614e-14,4.36348904885518e-14,5.20232814128998e-14,1.81124009885788e-13,1.24019231114875e-13,6.99969482856409e-14,3.02931380399658e-13
"age_grp25-34",-1.93154436211415e-12,1.9244306209836e-12,1.83519736852301e-12,2.76071147192315e-12,1.88523864825272e-12,1.89590095091713e-12,1.90533442779944e-12,1.91640015212005e-12,-1.275793249632e-13,-8.52538030466417e-14,-7.60242781662875e-14,-9.36332712963265e-14,-1.2995034496081e-13,-1.49752659974596e-13,-1.52077991960622e-13,-2.20622651450846e-13,-9.95029943190232e-14,-2.84080845134341e-13,4.2818227185693e-16,-2.55834902486199e-15,1.37187561608799e-14,9.04750057842707e-15,5.40115408790139e-15,5.85082371236213e-15,-3.54369005097407e-15,-9.22546410478014e-16,-1.49694638881337e-15,1.54488215430492e-15,-4.35262000289807e-15,5.50090618850468e-15,7.61319323383393e-15,9.60256997164873e-15,7.89208792612455e-15,6.25863386070067e-15,-1.46922118162646e-16,-1.83534357941141e-12,-2.76080460599854e-12,-1.88531689670007e-12,-1.89596946647483e-12,-1.90539559227873e-12,-1.91645558714991e-12,1.27636284568949e-13,8.52350220763663e-14,7.58758331155719e-14,9.3564941045411e-14,1.29716393480381e-13,1.49517788300774e-13,1.51788915178341e-13,2.20249081171776e-13,9.9151552191758e-14,2.83543011059973e-13
"age_grp35-44",-1.92356408911589e-12,1.9163317751022e-12,1.86685658415649e-12,1.88523864825278e-12,2.5433776831462e-12,1.90086187891698e-12,1.90675292304558e-12,1.91380734722747e-12,-1.52763874430094e-13,-1.10916541135386e-13,-9.8103388525185e-14,-9.43069350452052e-14,-1.27638290952719e-13,-1.48258482145239e-13,-1.11537569817761e-13,-1.54668895091932e-13,-9.1152447559399e-14,-1.90463242282057e-13,1.09119985287276e-15,-1.44109518449321e-15,8.89910882743563e-15,3.67620061030138e-15,-2.53303471725944e-15,-4.89395568477851e-15,-1.19468447119333e-14,-8.84089654627966e-15,-8.13576874779295e-15,-2.187301262914e-16,-3.42914849659471e-15,1.05206226171201e-14,1.46285871898896e-14,1.75228046763924e-14,1.52270568750646e-14,1.00868176699383e-14,-7.4088493810611e-16,-1.86702607691421e-12,-1.8853319579228e-12,-2.54343640940168e-12,-1.9009240781986e-12,-1.90682117447099e-12,-1.91387818315259e-12,1.5268512442117e-13,1.10842507627042e-13,9.79726119898656e-14,9.4148201428061e-14,1.27433936326935e-13,1.48003514294337e-13,1.11267733540092e-13,1.54331364326606e-13,9.08091421087083e-14,1.89846187061832e-13
"age_grp45-54",-1.91954055725672e-12,1.9115978051262e-12,1.8843863938666e-12,1.89590095091717e-12,1.90086187891695e-12,2.41352308142195e-12,1.90904137895968e-12,1.91350317674917e-12,-1.85472994914012e-13,-1.47930154206307e-13,-1.17745188842922e-13,-1.04649724536527e-13,-1.42910861723598e-13,-1.50908425455991e-13,-8.5135989716829e-14,-1.43035173163205e-13,-1.17821920681155e-13,-1.80569073816492e-13,1.19218862366593e-15,-4.09598711032195e-15,1.18740923802011e-14,5.79617288037956e-15,-1.79479280062516e-15,-4.75462214826815e-15,-1.12640425160495e-14,-7.98071312408872e-15,-7.18613973271511e-15,-7.90441607359641e-16,-2.10784239671118e-15,1.05957646685134e-14,1.42122917304625e-14,1.76344925526078e-14,1.58175460480252e-14,1.05445466391119e-14,-4.97182739682113e-16,-1.88449303030523e-12,-1.89596448471954e-12,-1.900910674083e-12,-2.41356752497236e-12,-1.90908400128225e-12,-1.91354338087032e-12,1.85468096587122e-13,1.47912215941232e-13,1.17656554961349e-13,1.04590729883466e-13,1.42773635724707e-13,1.50758903494441e-13,8.49614582791696e-14,1.42814602590462e-13,1.17602986432727e-13,1.80222590539898e-13
"age_grp55-64",-1.9154338938458e-12,1.90666356385332e-12,1.89990127713142e-12,1.90533442779949e-12,1.90675292304557e-12,1.9090413789597e-12,2.46789723127987e-12,1.91266399726992e-12,-1.96654373967862e-13,-1.67492525389116e-13,-1.37344414515612e-13,-1.15680547349483e-13,-1.37754795517573e-13,-1.47748848298534e-13,-9.41610473698601e-14,-1.29943960256186e-13,-9.76396871001694e-14,-1.55952565753295e-13,2.96832267773441e-16,-3.72032463812989e-15,1.43844961767811e-14,8.92439372216657e-15,9.05347861290489e-16,-3.21142090865257e-15,-8.80602899591879e-15,-6.32272995224807e-15,-5.20280557210504e-15,4.51914246584077e-16,1.66958452202425e-15,1.12502944704086e-14,1.35562968664907e-14,1.64280454661489e-14,1.52089121795472e-14,8.24095078390274e-15,-2.65434542934782e-15,-1.89997754442974e-12,-1.905385347972e-12,-1.9068004951106e-12,-1.90907951960176e-12,-2.46792837920536e-12,-1.91268945973392e-12,1.96697854318112e-13,1.6750476118586e-13,1.37271579899633e-13,1.15675180573128e-13,1.37642669824741e-13,1.4764696556514e-13,9.40243923221181e-14,1.29768647018707e-13,9.74732694326285e-14,1.55734212980096e-13
"age_grp65-199",-1.90947913203626e-12,1.89999005221145e-12,1.91812934017855e-12,1.91640015212006e-12,1.91380734722741e-12,1.91350317674914e-12,1.91266399726987e-12,2.34946734365187e-12,-2.02727637011057e-13,-1.68937353612454e-13,-1.56273076460083e-13,-8.3267766910147e-14,-1.13588594418299e-13,-1.45908555470803e-13,-5.00153312226462e-14,-9.55405005162682e-14,-1.56547537032421e-13,-1.41575859433694e-13,-2.19251668593808e-15,-4.44965316093495e-15,1.87847311347237e-14,1.32776504316534e-14,4.46869368281929e-15,-1.45732256624377e-16,-4.91939073753797e-15,-5.77833764150858e-15,-3.63146016916273e-15,-8.19891989081219e-16,7.54024470189036e-15,1.01759175893362e-14,1.3366208934808e-14,1.5374490946356e-14,1.27740012584348e-14,4.83048004053493e-15,-2.96120451286383e-15,-1.91817794295391e-12,-1.91644403940573e-12,-1.91386327438609e-12,-1.91354108632944e-12,-1.91268632374131e-12,-2.34947842766877e-12,2.02850822855344e-13,1.68992276510979e-13,1.56206304938519e-13,8.33352137524711e-14,1.13484883240098e-13,1.4584982121555e-13,4.99010055676091e-14,9.53889450849249e-14,1.56419210465516e-13,1.41488191215518e-13
"curr_pts_reg1",4.3835862392271e-14,-7.39491464366471e-14,-1.19717810670429e-14,-1.27579324963198e-13,-1.527638744301e-13,-1.85472994914011e-13,-1.96654373967866e-13,-2.02727637011067e-13,3.279740799812e-11,7.85721887514598e-14,7.18125560872108e-14,6.47893300729076e-14,6.70643551748637e-14,6.43276985793857e-14,5.58330592660093e-14,5.90371382737141e-14,5.22191712555627e-14,4.34523781351308e-14,1.48869989475262e-14,1.13288848716831e-14,-5.5443193714259e-15,7.88034655743783e-15,4.78694324332235e-15,-1.52325033692508e-15,-4.54696522238344e-16,1.84790904577148e-14,1.65619527902954e-14,2.78760656571271e-14,-3.73166860700949e-14,3.1745549822955e-14,3.26257270892276e-14,4.10955740790292e-14,3.58568504411194e-14,3.06427704947114e-14,6.14684265788292e-15,1.21048039861931e-14,1.27662118086455e-13,1.52824929448385e-13,1.85535955261422e-13,1.96720360387469e-13,2.02795670943793e-13,-3.2797391641481e-11,-7.85270525699783e-14,-7.17156371964336e-14,-6.46973604462651e-14,-6.69000927479299e-14,-6.41427489434346e-14,-5.56366509380544e-14,-5.87835102492286e-14,-5.19729902600291e-14,-4.30163881009524e-14
"curr_pts_reg2",2.57986603771719e-15,-4.03134705410227e-14,-2.41502945869047e-15,-8.52538030466364e-14,-1.10916541135391e-13,-1.47930154206307e-13,-1.67492525389123e-13,-1.68937353612457e-13,7.85721887514599e-14,7.01489281920708e-12,7.14248224881434e-14,6.52564896485918e-14,6.64555210610247e-14,6.42111106224688e-14,5.66975161556783e-14,5.92651557105996e-14,5.30078425471327e-14,4.61310779891615e-14,1.46269317964851e-14,9.56205510006901e-15,1.24503337244995e-15,9.60261945193715e-15,8.68867525712498e-15,6.23250877342438e-15,-1.18181383156922e-15,2.23570756156953e-14,2.10295347137511e-14,2.17088085972819e-14,-4.60900511533464e-14,3.6216835612316e-14,4.61708694133301e-14,5.27083116640384e-14,4.86126505967743e-14,3.66246368415008e-14,4.63454215251042e-15,2.77752490556569e-15,8.54377898809776e-14,1.11002996054785e-13,1.48044451124571e-13,1.67638091212388e-13,1.69104233055368e-13,-7.8307503712604e-14,-7.01465802494161e-12,-7.11719059504134e-14,-6.48126498953336e-14,-6.60464133810343e-14,-6.3639450232126e-14,-5.61503718115778e-14,-5.85680997092994e-14,-5.22830992067781e-14,-4.46424241928423e-14
