"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","4 yr.","mnwk","no","all","Male","LPM","(Intercept)",0.000170181178089076,2.02803071506921e-06,83.9144973616778,0,NA,NA,4351027460
"1.1","all","4 yr.","mnwk","no","all","Male","LPM","policyTRUE",-6.30664643738293e-05,7.69850422584217e-07,-81.9204127499588,0,NA,NA,4351027460
"1.2","all","4 yr.","mnwk","no","all","Male","LPM","age_grp20-24",0.00026065145806093,2.26400648203352e-06,115.128406269762,0,NA,NA,4351027460
"1.3","all","4 yr.","mnwk","no","all","Male","LPM","age_grp25-34",7.81529081807313e-05,1.71257249177896e-06,45.6348029387935,0,NA,NA,4351027460
"1.4","all","4 yr.","mnwk","no","all","Male","LPM","age_grp35-44",8.93582526924916e-05,1.74193086063327e-06,51.2983923254026,0,NA,NA,4351027460
"1.5","all","4 yr.","mnwk","no","all","Male","LPM","age_grp45-54",2.54913777638521e-06,1.65116051919085e-06,1.54384612928754,0.122625613259199,NA,NA,4351027460
"1.6","all","4 yr.","mnwk","no","all","Male","LPM","age_grp55-64",-8.81101080723803e-05,1.64667793147222e-06,-53.5077967514906,0,NA,NA,4351027460
"1.7","all","4 yr.","mnwk","no","all","Male","LPM","age_grp65-199",-0.0002086811084561,1.57691544802032e-06,-132.335001675632,0,NA,NA,4351027460
"1.8","all","4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp1-3",0.000549979127788085,1.1766581835623e-06,467.407727640187,0,NA,NA,4351027460
"1.9","all","4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp4-6",0.0011454126262821,2.51794341985264e-06,454.90006536729,0,NA,NA,4351027460
"1.10","all","4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp7-9",0.00163799995313803,4.62729052141143e-06,353.98684079996,0,NA,NA,4351027460
"1.11","all","4 yr.","mnwk","no","all","Male","LPM","curr_pts_grp10-150",0.00229822116551819,6.31628148422488e-06,363.856672831645,0,NA,NA,4351027460
"1.12","all","4 yr.","mnwk","no","all","Male","LPM","month02",0.000113110685622187,1.88455368507029e-06,60.0198797828188,0,NA,NA,4351027460
"1.13","all","4 yr.","mnwk","no","all","Male","LPM","month03",0.000131671790985526,1.84912074672581e-06,71.2077841420978,0,NA,NA,4351027460
"1.14","all","4 yr.","mnwk","no","all","Male","LPM","month04",0.000106595917545807,1.84523743900949e-06,57.7681306981431,0,NA,NA,4351027460
"1.15","all","4 yr.","mnwk","no","all","Male","LPM","month05",0.000127062352146595,1.84531644691285e-06,68.8566735310717,0,NA,NA,4351027460
"1.16","all","4 yr.","mnwk","no","all","Male","LPM","month06",0.000111413893646354,1.84910990169877e-06,60.2527159386246,0,NA,NA,4351027460
"1.17","all","4 yr.","mnwk","no","all","Male","LPM","month07",9.09512765409219e-05,1.81874236226501e-06,50.0077847351912,0,NA,NA,4351027460
"1.18","all","4 yr.","mnwk","no","all","Male","LPM","month08",2.56044209520052e-05,1.768187290145e-06,14.4806045687081,1.60678078489327e-47,NA,NA,4351027460
"1.19","all","4 yr.","mnwk","no","all","Male","LPM","month09",0.000184159193132885,1.9036830234854e-06,96.7383702333558,0,NA,NA,4351027460
"1.20","all","4 yr.","mnwk","no","all","Male","LPM","month10",0.000158304915283846,1.86988610737905e-06,84.6601911523561,0,NA,NA,4351027460
"1.21","all","4 yr.","mnwk","no","all","Male","LPM","month11",0.000136947580752169,1.86922185058753e-06,73.2644874171164,0,NA,NA,4351027460
"1.22","all","4 yr.","mnwk","no","all","Male","LPM","month12",-0.000238050915423179,1.55629861101553e-06,-152.959665798227,0,NA,NA,4351027460
"1.23","all","4 yr.","mnwk","no","all","Male","LPM","weekdayMonday",0.000193371240796191,1.34070912057324e-06,144.230570098243,0,NA,NA,4351027460
"1.24","all","4 yr.","mnwk","no","all","Male","LPM","weekdayTuesday",0.000255972336744318,1.37737312763286e-06,185.840954501725,0,NA,NA,4351027460
"1.25","all","4 yr.","mnwk","no","all","Male","LPM","weekdayWednesday",0.000292723541293691,1.39828514703988e-06,209.344669013596,0,NA,NA,4351027460
