"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","Placebo","mnwk","no","no","all","Male","LPM","(Intercept)",2.00007674533428e-05,2.66975021892082e-06,7.49162498858326,6.80260844766048e-14,NA,NA,2154901192
"1.1","all","Placebo","mnwk","no","no","all","Male","LPM","policyTRUE",2.7746614045121e-07,1.1009294080971e-06,0.252029002414239,0.801018646545855,NA,NA,2154901192
"1.2","all","Placebo","mnwk","no","no","all","Male","LPM","age_grp20-24",0.000499092061811629,2.92160520305856e-06,170.828030183251,0,NA,NA,2154901192
"1.3","all","Placebo","mnwk","no","no","all","Male","LPM","age_grp25-34",0.000293141036320528,2.01933328742087e-06,145.16723819025,0,NA,NA,2154901192
"1.4","all","Placebo","mnwk","no","no","all","Male","LPM","age_grp35-44",0.00027494795017367,2.0296417415212e-06,135.466247342548,0,NA,NA,2154901192
"1.5","all","Placebo","mnwk","no","no","all","Male","LPM","age_grp45-54",0.00020400335838262,1.91428118188848e-06,106.569170878735,0,NA,NA,2154901192
"1.6","all","Placebo","mnwk","no","no","all","Male","LPM","age_grp55-64",0.000115523591666069,1.92861725116673e-06,59.899698395927,0,NA,NA,2154901192
"1.7","all","Placebo","mnwk","no","no","all","Male","LPM","age_grp65-199",-1.16224780107239e-05,1.81810577468694e-06,-6.39263027076916,1.63056236530901e-10,NA,NA,2154901192
"1.8","all","Placebo","mnwk","no","no","all","Male","LPM","curr_pts_grp1-3",0.000582911557385137,1.76143736234794e-06,330.929483980136,0,NA,NA,2154901192
"1.9","all","Placebo","mnwk","no","no","all","Male","LPM","curr_pts_grp4-6",0.00121527203106795,3.86773854200559e-06,314.20738963337,0,NA,NA,2154901192
"1.10","all","Placebo","mnwk","no","no","all","Male","LPM","curr_pts_grp7-9",0.00171763559063098,7.09079187812674e-06,242.234664358073,0,NA,NA,2154901192
"1.11","all","Placebo","mnwk","no","no","all","Male","LPM","curr_pts_grp10-150",0.00261378642450362,1.05911112076941e-05,246.79057496864,0,NA,NA,2154901192
"1.12","all","Placebo","mnwk","no","no","all","Male","LPM","month02",8.59482370419358e-05,2.79076936783186e-06,30.7973270857236,2.84583153016929e-208,NA,NA,2154901192
"1.13","all","Placebo","mnwk","no","no","all","Male","LPM","month03",8.23406218812532e-05,2.7236861082109e-06,30.2313183714625,9.18557759955387e-201,NA,NA,2154901192
"1.14","all","Placebo","mnwk","no","no","all","Male","LPM","month04",4.24269060928777e-06,2.63958781484458e-06,1.60733072998278,0.107981836773883,NA,NA,2154901192
"1.15","all","Placebo","mnwk","no","no","all","Male","LPM","month05",2.70793598622637e-05,2.65454793053195e-06,10.2011192002991,1.96000941978713e-24,NA,NA,2154901192
"1.16","all","Placebo","mnwk","no","no","all","Male","LPM","month06",3.87344608594947e-05,2.68347109013082e-06,14.4344617692924,3.14089575357795e-47,NA,NA,2154901192
"1.17","all","Placebo","mnwk","no","no","all","Male","LPM","month07",4.83179882245069e-05,2.66581970241316e-06,18.1250022950796,2.02337202049159e-73,NA,NA,2154901192
"1.18","all","Placebo","mnwk","no","no","all","Male","LPM","month08",-1.18270674993657e-05,2.61857783599573e-06,-4.51659955903827,6.2840582196184e-06,NA,NA,2154901192
"1.19","all","Placebo","mnwk","no","no","all","Male","LPM","month09",0.000142912768241744,2.79213348205844e-06,51.1840745294115,0,NA,NA,2154901192
"1.20","all","Placebo","mnwk","no","no","all","Male","LPM","month10",0.000109116678690028,2.74033384499846e-06,39.818753794974,0,NA,NA,2154901192
"1.21","all","Placebo","mnwk","no","no","all","Male","LPM","month11",0.000107682385968934,2.77112894882363e-06,38.8586702234284,0,NA,NA,2154901192
"1.22","all","Placebo","mnwk","no","no","all","Male","LPM","month12",-0.000261299951891689,2.33905770963812e-06,-111.711631061944,0,NA,NA,2154901192
"1.23","all","Placebo","mnwk","no","no","all","Male","LPM","weekdayMonday",0.000183062266409783,1.92600784180867e-06,95.0475187255072,0,NA,NA,2154901192
"1.24","all","Placebo","mnwk","no","no","all","Male","LPM","weekdayTuesday",0.000237538033049859,1.97966200484621e-06,119.989186269357,0,NA,NA,2154901192
"1.25","all","Placebo","mnwk","no","no","all","Male","LPM","weekdayWednesday",0.000279140856158575,2.01288210648144e-06,138.677200845368,0,NA,NA,2154901192
"1.26","all","Placebo","mnwk","no","no","all","Male","LPM","weekdayThursday",0.000259309696275731,1.99726390847752e-06,129.832464891131,0,NA,NA,2154901192
"1.27","all","Placebo","mnwk","no","no","all","Male","LPM","weekdayFriday",0.000197476664986404,1.94422039860471e-06,101.571131096107,0,NA,NA,2154901192
"1.28","all","Placebo","mnwk","no","no","all","Male","LPM","weekdaySaturday",3.80397415927084e-05,1.79898341910421e-06,21.145131849881,3.05940907924526e-99,NA,NA,2154901192
"2","all","Placebo","mnwk","with","no","all","Male","LPM","(Intercept)",-6.51934740966027e-05,2.70181833583169e-06,-24.1294809617666,1.22638361291312e-128,NA,NA,2154901192
"2.1","all","Placebo","mnwk","with","no","all","Male","LPM","policyTRUE",0.000167154484388052,2.87888633896255e-06,58.0622034728503,0,NA,NA,2154901192
"2.2","all","Placebo","mnwk","with","no","all","Male","LPM","age_grp20-24",0.000599682930544359,3.86093417130306e-06,155.320682492229,0,NA,NA,2154901192
"2.3","all","Placebo","mnwk","with","no","all","Male","LPM","age_grp25-34",0.00038650694711276,2.52702160582386e-06,152.949601310097,0,NA,NA,2154901192
"2.4","all","Placebo","mnwk","with","no","all","Male","LPM","age_grp35-44",0.00035867231709465,2.49834882599166e-06,143.563746328451,0,NA,NA,2154901192
"2.5","all","Placebo","mnwk","with","no","all","Male","LPM","age_grp45-54",0.000295162969896184,2.34193854474834e-06,126.033610300351,0,NA,NA,2154901192
"2.6","all","Placebo","mnwk","with","no","all","Male","LPM","age_grp55-64",0.000205889469203459,2.37617513601113e-06,86.6474301844115,0,NA,NA,2154901192
"2.7","all","Placebo","mnwk","with","no","all","Male","LPM","age_grp65-199",7.85448123417665e-05,2.21035536949061e-06,35.5349250287602,1.42066461620843e-276,NA,NA,2154901192
"2.8","all","Placebo","mnwk","with","no","all","Male","LPM","curr_pts_grp1-3",0.000582485167869202,1.76156963147662e-06,330.662584924866,0,NA,NA,2154901192
"2.9","all","Placebo","mnwk","with","no","all","Male","LPM","curr_pts_grp4-6",0.00121508047524032,3.86805739158515e-06,314.131966574149,0,NA,NA,2154901192
"2.10","all","Placebo","mnwk","with","no","all","Male","LPM","curr_pts_grp7-9",0.00171758291907185,7.09129808032198e-06,242.209945149261,0,NA,NA,2154901192
"2.11","all","Placebo","mnwk","with","no","all","Male","LPM","curr_pts_grp10-150",0.00261415844446068,1.05922832158407e-05,246.798390034663,0,NA,NA,2154901192
"2.12","all","Placebo","mnwk","with","no","all","Male","LPM","month02",8.59485683135057e-05,2.79076777015911e-06,30.7974634193964,2.8338952110497e-208,NA,NA,2154901192
"2.13","all","Placebo","mnwk","with","no","all","Male","LPM","month03",8.23428428670913e-05,2.72368473586346e-06,30.2321490379786,8.95753167818388e-201,NA,NA,2154901192
"2.14","all","Placebo","mnwk","with","no","all","Male","LPM","month04",4.23759103525581e-06,2.63957730815148e-06,1.60540516171638,0.108404669354134,NA,NA,2154901192
"2.15","all","Placebo","mnwk","with","no","all","Male","LPM","month05",2.70730207487575e-05,2.65453602202198e-06,10.1987769328275,2.00785242134883e-24,NA,NA,2154901192
