"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","(Intercept)",0.000205599736184397,2.17435890511536e-06,94.5564854544973,0,NA,NA,4351027460
"1.1","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policyTRUE",-3.57871190685678e-05,9.46108421636178e-07,-37.8256003753548,4.31352237721587e-313,NA,NA,4351027460
"1.2","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy01",9.38335505620548e-05,3.35005367947587e-06,28.0095662755874,1.24254527506241e-172,NA,NA,4351027460
"1.3","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy02",6.83704018853441e-05,3.30976584679821e-06,20.657171851442,8.4151704960311e-95,NA,NA,4351027460
"1.4","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy03",1.45262858098702e-05,3.26072224005339e-06,4.45492892078791,8.39209955565184e-06,NA,NA,4351027460
"1.5","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy04",-7.37621697127256e-05,3.08523203309296e-06,-23.9081433491985,2.52017661056483e-126,NA,NA,4351027460
"1.6","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy05",-6.65598268016553e-05,2.90159402432649e-06,-22.9390556513518,1.89501338143898e-116,NA,NA,4351027460
"1.7","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy06",-9.72587627737274e-05,3.30875281556291e-06,-29.3943876122342,6.47824710479625e-190,NA,NA,4351027460
"1.8","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy07",-6.59151869592639e-05,3.24092155741853e-06,-20.3384086258992,5.88084322672745e-92,NA,NA,4351027460
"1.9","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy08",-0.000100125550100903,3.16975689945e-06,-31.587769433762,5.43599572403443e-219,NA,NA,4351027460
"1.10","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy09",-9.0175585780858e-05,2.13770925655875e-06,-42.1832789020248,0,NA,NA,4351027460
"1.11","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy10",-0.000196474153857,2.66858962795846e-06,-73.6247161416528,0,NA,NA,4351027460
"1.12","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy11",-9.7045575932792e-05,3.2190854558974e-06,-30.1469399499798,1.17646575756385e-199,NA,NA,4351027460
"1.13","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy12",-4.51615250729351e-05,3.1654433320439e-06,-14.267045824439,3.51142084768202e-46,NA,NA,4351027460
"1.14","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","age_grp20-24",0.000260760019276052,2.26399124338389e-06,115.177132437273,0,NA,NA,4351027460
"1.15","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","age_grp25-34",7.83323253527011e-05,1.71247143968054e-06,45.7422667249354,0,NA,NA,4351027460
"1.16","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","age_grp35-44",8.97311635184576e-05,1.74173120509605e-06,51.5183762316006,0,NA,NA,4351027460
"1.17","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","age_grp45-54",2.73444543806425e-06,1.65104299886553e-06,1.6561927460055,0.0976827918688541,NA,NA,4351027460
"1.18","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","age_grp55-64",-8.80774237267118e-05,1.64667108394111e-06,-53.4881705190991,0,NA,NA,4351027460
"1.19","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","age_grp65-199",-0.00020874215173291,1.57697171222412e-06,-132.368989319729,0,NA,NA,4351027460
"1.20","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp1-3",0.000549883898855903,1.1766620360332e-06,467.325265893415,0,NA,NA,4351027460
"1.21","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp4-6",0.00114547062075342,2.51798943219058e-06,454.914784831679,0,NA,NA,4351027460
"1.22","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp7-9",0.00163842797707954,4.62740938724911e-06,354.070245350293,0,NA,NA,4351027460
"1.23","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp10-150",0.00229844808279943,6.31610838339484e-06,363.902571533143,0,NA,NA,4351027460
"1.24","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month02",8.80494910909844e-05,2.23852786568652e-06,39.3336587141305,0,NA,NA,4351027460
