"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","4 yr.","mnwk","no","with","all","Male","LPM","(Intercept)",0.000156303333802157,2.02290421318858e-06,77.2667992795297,0,NA,NA,4351027460
"1.1","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE",-2.47411754131572e-05,7.08856015539309e-07,-34.9029631840449,6.70399386992174e-267,NA,NA,4351027460
"1.2","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp20-24",0.000253920133640916,2.26260657301008e-06,112.22460708364,0,NA,NA,4351027460
"1.3","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp25-34",7.09524383393451e-05,1.71180702224958e-06,41.4488534146229,0,NA,NA,4351027460
"1.4","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp35-44",8.44676780489955e-05,1.74161233011426e-06,48.4997014481712,0,NA,NA,4351027460
"1.5","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp45-54",-2.3518040618827e-06,1.6511461701191e-06,-1.42434637492637,0.154346229284188,NA,NA,4351027460
"1.6","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp55-64",-9.33276233825642e-05,1.64677253828058e-06,-56.6730505962948,0,NA,NA,4351027460
"1.7","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp65-199",-0.000215113969804908,1.57703252245802e-06,-136.404269881273,0,NA,NA,4351027460
"1.8","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg1",0.000514125023791891,5.744485578536e-06,89.4988797104645,0,NA,NA,4351027460
"1.9","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg2",0.000555655751098921,2.68632514326315e-06,206.846052307708,0,NA,NA,4351027460
"1.10","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg3",0.000638731958642109,2.40545898966724e-06,265.534337266115,0,NA,NA,4351027460
"1.11","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg4",0.00109485863768549,7.57730879640296e-06,144.491753880379,0,NA,NA,4351027460
"1.12","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg5",0.00118944201814762,5.77335930516392e-06,206.022517442097,0,NA,NA,4351027460
