"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",3.6927400756972e-12,-8.01124239212107e-14,-2.60534084173547e-12,-2.59747095816627e-12,-2.60373454211166e-12,-2.57877746285359e-12,-2.56250620371837e-12,-2.54887256908046e-12,-5.64927759188448e-14,-8.78548422471478e-14,-1.12596606318173e-13,-1.74564697587243e-13,-1.48858631797985e-13,-1.75980363620848e-13,-2.07007986077152e-13,-2.4158307297974e-13,-2.08062749135292e-13,-2.46145993516361e-13,-8.58800676018667e-13,-8.54930314943558e-13,-9.0410805117778e-13,-8.85493085316842e-13,-8.78408253466852e-13,-8.6462606879553e-13,-8.52618452295622e-13,-8.74654215586477e-13,-8.5457307671225e-13,-8.68906684275689e-13,-8.38691013349332e-13,-3.85560203600228e-13,-3.9376005997555e-13,-3.99228137162923e-13,-3.93407725064774e-13,-3.92634230331765e-13,-3.56421080783395e-13,5.53843343202861e-14,5.37159767473341e-14,4.56452900654898e-14,4.58876862856635e-14,4.67770535582048e-14,5.37267526038524e-14,2.31283030944823e-14,9.21438220605663e-14,-3.44665032502068e-14,-5.61739122131905e-14
"policyTRUE",-8.01124239212147e-14,2.99938917167739e-13,-6.96035573930258e-14,-8.15279676982957e-14,-6.8301290215744e-14,-8.8440663493499e-14,-9.5363639788731e-14,-9.7894913979873e-14,1.50272161413754e-13,1.50617194066089e-13,1.5083583763651e-13,1.49330017457831e-13,1.49161554845803e-13,1.4952949388986e-13,1.47494868334679e-13,1.47940078793587e-13,1.52325719643894e-13,1.47800805319953e-13,1.32139389591149e-14,1.82110705577486e-14,2.44922256427845e-14,1.77410157554249e-14,1.51609875211053e-14,1.20415356213155e-14,6.05174813356554e-15,1.22280375303315e-14,1.31232182126397e-14,6.86280763392596e-15,5.80515623314301e-15,1.43607855169183e-15,4.16803869394398e-16,1.81433404097218e-16,-1.12787429921848e-15,2.23447007050414e-15,1.71628561002914e-15,-3.02643638119977e-13,-3.02457311236067e-13,-3.03003719260257e-13,-3.03406204604453e-13,-3.02906702666308e-13,-3.03451460905452e-13,-3.03120005105397e-13,-3.031765383454e-13,-3.04196431307936e-13,-3.04996826930167e-13
"age_grp20-24",-2.60534084173547e-12,-6.96035573930282e-14,4.57204766087494e-12,2.61308612388932e-12,2.61402141061521e-12,2.6193764061158e-12,2.62358349123762e-12,2.62703217710547e-12,-8.84285123016851e-14,-9.30438280474451e-14,-8.01453553186575e-14,-1.00212596150215e-13,-1.01431649613646e-13,-8.81554113102299e-14,-1.90149410730815e-13,-1.67720611932758e-13,-9.37662167006167e-14,-3.25345546502476e-14,-4.86705825926753e-15,-8.17830481060746e-15,2.43431389728095e-14,2.06397555181275e-14,1.37085739999096e-14,1.88418288724064e-14,9.20773478211536e-15,1.02581723703236e-14,7.94990227348202e-15,4.9296000415999e-15,-4.47286664448943e-15,1.51451560297326e-14,1.1311544773561e-14,1.05722574801349e-14,9.11860927746484e-15,5.01509467617816e-15,-1.10709162671699e-15,1.99992910192277e-14,4.80553268922989e-14,4.28347850603638e-14,3.76012642260361e-14,-4.58523703958665e-15,-3.37448283452232e-14,4.95010973013618e-14,8.98387951418611e-15,1.05055108912773e-13,-1.1885823761183e-13
"age_grp25-34",-2.59747095816625e-12,-8.15279676982983e-14,2.61308612388931e-12,3.28609854868896e-12,2.61754925822793e-12,2.6204510260608e-12,2.62273133542055e-12,2.62443242552411e-12,-1.64030424710445e-13,-1.4104780122017e-13,-1.23362404844134e-13,-1.46105639769152e-13,-1.68776611147287e-13,-1.61545399764156e-13,-1.70655251149826e-13,-2.03808720636591e-13,-5.13423531643785e-14,-1.89810442448929e-13,-3.57302617758521e-15,-1.3680399245258e-14,2.53449878469699e-14,1.49144584607479e-14,9.81717125124284e-15,6.29926823581181e-15,-4.04713403782985e-15,6.23891283538237e-16,-7.95067673621495e-16,2.21521901158685e-15,1.61237252212301e-15,1.74011559667979e-14,2.34394582692099e-14,2.51934416225487e-14,2.35241647836112e-14,1.35079559832696e-14,2.97938087037476e-15,7.6750461011878e-14,8.00644687742691e-14,8.48181677086696e-14,7.17673306220515e-14,7.51126214236903e-14,5.73387132173237e-14,5.83683304290175e-14,6.30820357245631e-14,7.32822672642951e-14,1.07211065603064e-13
"age_grp35-44",-2.60373454211169e-12,-6.83012902157436e-14,2.61402141061523e-12,2.61754925822796e-12,3.19378846705102e-12,2.61890763058847e-12,2.6203415874988e-12,2.62136537554038e-12,-1.47962931279748e-13,-1.48350687962409e-13,-1.21320924542112e-13,-1.163214757043e-13,-1.68173380150213e-13,-1.72638894134765e-13,-1.36292191487206e-13,-2.04867596109834e-13,-6.52543112295538e-14,-1.68159712111287e-13,-6.75960976374509e-16,-1.3203541755702e-14,1.87919306329046e-14,1.19461743598637e-14,4.61819382923956e-15,-2.11537357859443e-15,-1.00564660734142e-14,-4.3139110449106e-15,-7.21462825094672e-15,2.00909355830973e-15,1.58953805461397e-15,2.19226873666177e-14,3.14424929060584e-14,3.53092818750369e-14,3.34657938110244e-14,2.01244197899857e-14,4.60940314376427e-15,5.11130273495302e-14,8.0287360372265e-14,7.40507086949719e-14,4.82770744092215e-14,6.98058038348466e-14,5.74907529406992e-14,2.78378208611786e-14,5.56392107934797e-14,8.74542592893714e-14,1.1650992079396e-13
"age_grp45-54",-2.57877746285357e-12,-8.8440663493502e-14,2.6193764061158e-12,2.6204510260608e-12,2.61890763058845e-12,2.97575851782423e-12,2.61913957531836e-12,2.61904543172698e-12,-1.4394175215586e-13,-1.36143163210719e-13,-1.1462180178899e-13,-1.21022607309551e-13,-1.35082566422857e-13,-1.6113577163744e-13,-9.96844399846331e-14,-1.62567203577781e-13,-5.67694154828409e-14,-1.5840098658936e-13,-8.31690858778779e-15,-2.17690418313996e-14,2.27064166747307e-14,1.52276954384753e-14,8.39143095221025e-15,8.05555013420281e-17,-7.5073621274861e-15,-7.60763443588634e-15,-1.21673574385291e-14,-4.72731276824732e-15,1.09671079208663e-14,9.83000818009647e-15,1.67064259260968e-14,1.84431560785772e-14,1.75361306243901e-14,8.71855931472935e-15,1.42837535005656e-15,7.36862746626334e-14,8.95020276761915e-14,9.43740850564671e-14,9.22113036055879e-14,6.75119075351478e-14,9.65440198937205e-14,3.86977202382404e-14,5.57683898888573e-14,1.07069289169841e-13,1.46753786245931e-13
"age_grp55-64",-2.56250620371835e-12,-9.53636397887326e-14,2.62358349123761e-12,2.62273133542055e-12,2.62034158749878e-12,2.61913957531836e-12,2.94378854312748e-12,2.61675868981774e-12,-1.31978147557375e-13,-1.26102207349912e-13,-1.09448727484376e-13,-1.02344828026911e-13,-1.23130140273062e-13,-1.28906012711628e-13,-8.68662064051643e-14,-1.43604727839301e-13,-8.71493697367936e-14,-9.68715142711735e-14,-1.54425834330235e-14,-2.84969873205591e-14,2.07249993992094e-14,1.27929747871713e-14,7.80628298727569e-15,-3.26856627453951e-16,-6.48704370267747e-15,-1.13435810982168e-14,-1.54308247239928e-14,-1.03119434468696e-14,1.85637559673304e-14,2.81311432099565e-15,5.07851160380503e-15,7.73952551392937e-15,7.1569023101815e-15,-1.25196220526583e-15,-1.51295755896679e-15,8.56816510759904e-14,1.06029218430036e-13,1.02922505818088e-13,1.09103880752037e-13,9.02800349591795e-14,7.94520488553639e-14,6.55899482477303e-14,1.01800597513625e-13,1.42341415885324e-13,1.32237683592064e-13
"age_grp65-199",-2.54887256908043e-12,-9.78949139798765e-14,2.62703217710545e-12,2.62443242552411e-12,2.62136537554034e-12,2.61904543172697e-12,2.61675868981774e-12,2.87751660874478e-12,-1.0531257019947e-13,-1.04923867477989e-13,-1.04680523763193e-13,-7.38467130896048e-14,-9.84996826050401e-14,-1.1564029325047e-13,-6.54835150897859e-14,-1.14997574838211e-13,-1.83159480767027e-13,-9.53872473500215e-14,-1.89921587788204e-14,-3.42929701563529e-14,1.95413984603543e-14,1.142792171898e-14,5.34862869811661e-15,1.08183936575144e-15,-4.36798950144673e-15,-1.44604457750543e-14,-1.83669204813503e-14,-1.34963088438015e-14,2.60372828748481e-14,-6.84017200580002e-15,-5.94670233851821e-15,-5.89476772925323e-15,-4.53268078788598e-15,-1.05757509207797e-14,-3.90659044518762e-15,7.86901423104763e-14,1.07474443382585e-13,1.07719017623296e-13,9.69529063301557e-14,9.19432189408057e-14,9.39771931767867e-14,7.41103374812916e-14,7.97879319516288e-14,1.54471325587625e-13,1.32913286417521e-13
"curr_pts_reg1",-5.64927759188436e-14,1.50272161413754e-13,-8.84285123016839e-14,-1.64030424710444e-13,-1.4796293127975e-13,-1.4394175215586e-13,-1.31978147557374e-13,-1.0531257019947e-13,3.22795170866358e-11,1.56898583456742e-13,1.53836812802906e-13,1.55676166894642e-13,1.5753143921676e-13,1.56299232915369e-13,1.58423527375458e-13,1.59129572899086e-13,1.37660019091282e-13,1.52889841449489e-13,-7.96019353214484e-15,2.35491621063061e-15,-1.00453643454912e-15,1.36223131350616e-14,2.6685009395524e-15,3.76836754750466e-17,4.40983620115176e-15,2.71353047005635e-14,2.39787600787285e-14,1.24329708622286e-14,-4.79273967752113e-14,3.58333971397479e-14,4.71916111358639e-14,4.94232811250451e-14,4.66343813023587e-14,2.8854642864852e-14,-2.72361395718469e-15,-3.22743862043845e-11,-1.51748186282244e-13,-1.52447423487072e-13,-1.50067918876729e-13,-1.52365498218886e-13,-1.51401685516011e-13,-1.52050771619895e-13,-1.52204263282262e-13,-1.49499448600327e-13,-1.5180625145128e-13
"curr_pts_reg2",-8.7854842247152e-14,1.50617194066089e-13,-9.30438280474405e-14,-1.41047801220167e-13,-1.48350687962407e-13,-1.36143163210712e-13,-1.26102207349908e-13,-1.04923867477985e-13,1.56898583456741e-13,7.21365388418438e-12,1.54125558914229e-13,1.55801936672011e-13,1.5800774338088e-13,1.57407560917464e-13,1.57944685596178e-13,1.59716098688017e-13,1.39081792202945e-13,1.56064225067265e-13,8.74817859238439e-15,2.99626060693828e-15,1.57184939642431e-14,1.9752532916845e-14,1.61767891823061e-14,1.21321148380423e-15,-6.99604468747361e-16,2.44397818935421e-14,2.33557330071458e-14,2.51803942597948e-14,-4.98556245040443e-14,6.14605934565815e-14,7.52233292968113e-14,8.07262084514774e-14,7.81217311770703e-14,5.17098297581242e-14,5.857511961658e-15,-1.51426788657422e-13,-7.20856614025111e-12,-1.52267456551045e-13,-1.50052364200404e-13,-1.52332711528059e-13,-1.51603073508802e-13,-1.5074325095482e-13,-1.51248762926721e-13,-1.48335906039737e-13,-1.52699292817255e-13
"curr_pts_reg3",-1.12596606318168e-13,1.50835837636509e-13,-8.0145355318658e-14,-1.23362404844135e-13,-1.21320924542113e-13,-1.14621801788991e-13,-1.09448727484378e-13,-1.04680523763196e-13,1.53836812802906e-13,1.54125558914228e-13,7.42363545525434e-12,1.52330007787123e-13,1.5421501629857e-13,1.53333690499895e-13,1.54467532241111e-13,1.55460880357503e-13,1.38107064524097e-13,1.50838925850866e-13,1.69878001323271e-14,1.30476098580266e-14,1.70218716861384e-14,2.98706261679755e-14,2.23476680301173e-14,9.50779269585553e-15,-6.82722136405836e-16,2.43692666490197e-14,2.31246729695848e-14,2.69531210705386e-14,-5.46437205307397e-14,6.25217670133126e-14,8.10388284984606e-14,9.31757026715867e-14,8.49353015358044e-14,5.52258923393562e-14,8.9425568906724e-15,-1.51056940445758e-13,-1.51856845743253e-13,-7.42418580523519e-12,-1.49968740770768e-13,-1.52266989382161e-13,-1.5124299429942e-13,-1.51428551158283e-13,-1.51480326867252e-13,-1.49473401260903e-13,-1.51402498955896e-13
"curr_pts_reg4",-1.74564697587253e-13,1.49330017457831e-13,-1.00212596150215e-13,-1.46105639769148e-13,-1.16321475704297e-13,-1.21022607309549e-13,-1.02344828026908e-13,-7.38467130896046e-14,1.55676166894642e-13,1.55801936672012e-13,1.52330007787124e-13,9.23360464012947e-11,1.57382013049408e-13,1.55247479715738e-13,1.61263997894788e-13,1.60488029145835e-13,1.32070649330899e-13,1.52970916970282e-13,2.98873825150715e-14,1.52723887240753e-14,3.34051971154718e-14,5.68262092297523e-14,3.26539308916054e-14,1.1584303692505e-14,8.65253911495763e-15,4.9747156518056e-14,7.73992593061937e-14,6.4038428602276e-14,-8.4774746596253e-14,1.25930091322314e-13,1.51770883304782e-13,1.5922941242951e-13,1.49382404833889e-13,1.03654307660461e-13,1.21242167408575e-14,-1.49014940901591e-13,-1.49585404132688e-13,-1.50112983247112e-13,-9.23274725720033e-11,-1.5000161701933e-13,-1.47493629340725e-13,-1.50538958599468e-13,-1.49031276169026e-13,-1.44491650430453e-13,-1.44425188543946e-13
