"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",4.09214145573609e-12,-1.7505504442164e-13,-1.96880169460089e-12,-1.9446807818194e-12,-1.95430323091258e-12,-1.9344079786655e-12,-1.92178836703849e-12,-1.9053071196335e-12,-6.67416416058825e-14,-9.59708051111671e-14,-1.13071921472055e-13,-1.77489390513009e-13,-1.42006026038421e-13,-1.57220558852837e-13,-2.19752482375379e-13,-1.89267112030112e-13,-1.88919327323113e-13,-2.23577670041065e-13,-1.57670631490533e-12,-1.56442337676313e-12,-1.6196172812213e-12,-1.59841711423103e-12,-1.58587437988911e-12,-1.5696475430798e-12,-1.55341623814577e-12,-1.58759194877727e-12,-1.55640396949197e-12,-1.58172995330459e-12,-1.52126334793008e-12,-8.15219181686927e-13,-8.23014142479067e-13,-8.29035301253751e-13,-8.21809072444434e-13,-8.27849235113765e-13,-7.63733069634953e-13,1.57414014021313e-13,1.58540845392996e-13,1.54883592413841e-13,1.3024667046799e-13,1.51678308303599e-13,1.49789248880124e-13,1.31609836961091e-13,1.45353454708005e-13,6.83624208092353e-14,4.17071412735922e-14
"policyTRUE",-1.7505504442164e-13,5.02476850766265e-13,-9.41991254365349e-14,-1.08212174907331e-13,-7.77318459790793e-14,-1.05432133770055e-13,-1.15941236419403e-13,-1.19907787533142e-13,2.62739307530597e-13,2.63153095924048e-13,2.62094272149777e-13,2.59594093635136e-13,2.60970877957209e-13,2.61074790862416e-13,2.58413485398426e-13,2.59626748978997e-13,2.61327939554134e-13,2.59306490365321e-13,1.14002960864406e-14,1.40891734810716e-14,3.54077141497719e-14,3.24969951996751e-14,2.59511915433372e-14,1.83410315612661e-14,1.33060127454493e-14,1.61702017982191e-14,1.77664345454051e-14,8.38398366947727e-15,1.1697247771614e-14,1.61294223661955e-15,-6.65594659519829e-16,-2.44362606153031e-15,-4.30572785772661e-15,2.07432970330117e-16,1.32819844849332e-15,-5.04821118518862e-13,-5.05357115139564e-13,-5.06186578251858e-13,-5.06276413080953e-13,-5.06278736114909e-13,-5.06890304848756e-13,-5.06864334173534e-13,-5.0686025805301e-13,-5.08275000032227e-13,-5.10517619303477e-13
"age_grp20-24",-1.96880169460089e-12,-9.41991254365369e-14,5.1193885042284e-12,1.97755177806788e-12,1.99565070430047e-12,2.00278367148959e-12,2.00703323941995e-12,2.01101921860191e-12,-1.32926800405825e-13,-1.33723685299859e-13,-1.52446795196348e-13,-2.45157746720861e-13,-2.07144632347754e-13,-2.20267270373474e-13,-3.50496737850641e-13,-3.01301688359241e-13,-2.70440666776804e-13,-4.90456956789742e-13,-1.25451844461496e-15,-3.62951325862067e-15,3.60344131899088e-14,3.55415925151127e-14,2.9104977738176e-14,3.07677233623139e-14,1.16294421316526e-14,1.94097239760873e-14,1.26055176940032e-14,1.05750694002241e-14,-1.64285471924355e-14,-2.09908096835119e-15,-4.17184193085069e-15,-1.50578105350021e-15,-1.13779090762424e-15,1.56887741848907e-15,3.9271074041023e-16,1.95849973675142e-14,2.73768457120482e-14,2.7584989500968e-14,9.21466372132164e-14,-2.15814799533398e-14,-2.5355369239789e-14,7.72763691863703e-14,-5.04105621502517e-14,-2.16008929970099e-14,-1.92773255906932e-14
"age_grp25-34",-1.94468078181937e-12,-1.08212174907336e-13,1.97755177806787e-12,2.93028328142299e-12,1.99901363496348e-12,2.00178406668538e-12,2.00223828709582e-12,2.00170559934516e-12,-2.13611978923341e-13,-1.92197078967544e-13,-1.90662702111283e-13,-2.06034986086511e-13,-2.47613754401948e-13,-2.60351233169847e-13,-2.69882281821494e-13,-3.23936182316832e-13,-2.33696038161966e-13,-3.70368250513797e-13,2.82429983486041e-17,-1.39380542009349e-14,2.5013194469321e-14,1.24229598218706e-14,3.47415381460671e-15,4.70797726073144e-15,-1.3872524667425e-14,-5.73497309205387e-15,-6.94468331966981e-15,-8.49694306615518e-16,-1.0042057511961e-14,1.53241674125437e-14,1.82973178159249e-14,2.08234074042045e-14,1.86252052576397e-14,1.10039417471307e-14,3.04561326797299e-16,8.31370035197219e-14,8.39005163260566e-14,8.78932210775462e-14,1.15359220570204e-13,8.05488549074265e-14,8.81522650588601e-14,1.27138266773535e-13,1.13362394459906e-13,1.21763840495994e-13,1.86890233298463e-13
"age_grp35-44",-1.95430323091258e-12,-7.77318459790817e-14,1.99565070430046e-12,1.99901363496349e-12,3.03321350840603e-12,2.00977544148112e-12,2.00627122887562e-12,2.00093493604073e-12,-2.85074351183796e-13,-2.60619527953622e-13,-2.51284776762699e-13,-2.50674648244799e-13,-2.8769992206195e-13,-2.97818185866628e-13,-2.7110333533055e-13,-3.04730504903897e-13,-2.50581168568672e-13,-3.04088198015993e-13,4.942665824592e-15,-1.15443870084059e-14,9.22714837995139e-15,-3.68659397830076e-15,-1.58025447353206e-14,-1.94454915268023e-14,-3.59924811792141e-14,-2.02480915577622e-14,-1.79316755090273e-14,-2.701651809676e-15,-1.69570477395315e-14,3.14602575545543e-14,4.06711063313746e-14,4.5219207968952e-14,4.17736746337838e-14,2.61367585984527e-14,5.23394876853381e-16,7.36501888137547e-14,7.01684969001059e-14,7.68902136581547e-14,9.25551642168203e-14,7.004708756185e-14,8.01333965265742e-14,9.45338929847948e-14,6.84011056032375e-14,9.88728728734845e-14,1.5287242606137e-13
"age_grp45-54",-1.93440797866549e-12,-1.05432133770058e-13,2.00278367148958e-12,2.00178406668538e-12,2.00977544148112e-12,2.72628367509898e-12,2.0030718970606e-12,1.99652723256459e-12,-2.91907970794622e-13,-2.72566320916416e-13,-2.41499503112528e-13,-2.28830295241382e-13,-2.64948660788983e-13,-2.6297276596915e-13,-2.07509103984505e-13,-2.52154648046898e-13,-2.37013888395815e-13,-2.53001739873217e-13,1.8358036707715e-15,-1.82186654664783e-14,2.00237073708743e-14,4.42155094459798e-15,-9.97181443974113e-15,-1.7526049020878e-14,-3.01814527114199e-14,-1.73750652777713e-14,-1.5566708389875e-14,-3.28662046559286e-15,-7.95051235189458e-15,2.83415300639763e-14,3.53527092311394e-14,4.03756297969332e-14,3.82580770588679e-14,2.21626822330074e-14,-7.91462810158512e-16,9.57032943183782e-14,1.01754595414207e-13,1.04541386362336e-13,1.08469578002185e-13,1.00111354816675e-13,9.70189575045135e-14,9.54700025446776e-14,9.7593841859443e-14,1.39015691796382e-13,1.77437490189466e-13
"age_grp55-64",-1.92178836703849e-12,-1.15941236419404e-13,2.00703323941995e-12,2.00223828709583e-12,2.00627122887562e-12,2.0030718970606e-12,2.71185979283507e-12,1.99017378838498e-12,-2.70728026274626e-13,-2.59141132575779e-13,-2.29758913152358e-13,-2.06376226837306e-13,-2.28128992308492e-13,-2.29230591819553e-13,-1.84565184940203e-13,-2.0975674041685e-13,-1.89999043134495e-13,-2.0591667579352e-13,-4.21834646534528e-15,-2.13543899785193e-14,2.54720874941723e-14,1.08034055612196e-14,-3.7630859844266e-15,-1.50810419908207e-14,-2.4197667804873e-14,-1.44196536530472e-14,-1.47174687484402e-14,-3.13616322394189e-15,2.68951216702942e-15,2.86192509222407e-14,3.2678207009824e-14,3.60196538007433e-14,3.46760791587266e-14,1.6327601636153e-14,-6.0955171739392e-15,9.59812942749998e-14,1.15109013872525e-13,1.1956335886309e-13,1.23709286277789e-13,1.05239408703172e-13,1.18933856003211e-13,1.29386527208871e-13,9.91261612539509e-14,1.3460989888611e-13,1.84544995406664e-13
"age_grp65-199",-1.90530711963349e-12,-1.19907787533142e-13,2.0110192186019e-12,2.00170559934517e-12,2.00093493604072e-12,1.99652723256459e-12,1.99017378838498e-12,2.48703157689029e-12,-2.41946245503091e-13,-2.26850382713017e-13,-2.16149856782644e-13,-1.50396633638416e-13,-1.80125779827747e-13,-2.01210329826338e-13,-1.25095327489176e-13,-1.58574116439574e-13,-2.15590028706894e-13,-1.77395287073059e-13,-1.16083293172877e-14,-2.60898961375152e-14,3.06487622742834e-14,1.62451208455445e-14,5.65029572238853e-16,-1.03675126246514e-14,-1.61694495611448e-14,-1.63291254853406e-14,-1.52667935614932e-14,-6.69089860976386e-15,1.72004977638943e-14,2.2366259289498e-14,2.60681938935725e-14,2.78046315434775e-14,2.58360139047218e-14,5.06279483667817e-15,-7.91182259797798e-15,1.12596023839894e-13,1.25463707211908e-13,1.29649021405004e-13,1.35227088606254e-13,1.15664563484808e-13,1.23031174248013e-13,1.23120832594849e-13,1.07338531642395e-13,1.6001085344873e-13,1.90162725181082e-13
"curr_pts_reg1",-6.67416416058838e-14,2.62739307530597e-13,-1.32926800405823e-13,-2.13611978923338e-13,-2.85074351183794e-13,-2.91907970794621e-13,-2.70728026274625e-13,-2.4194624550309e-13,3.29991145620081e-11,2.80390115681057e-13,2.74295526647235e-13,2.70144062316579e-13,2.74124121645649e-13,2.71817666925147e-13,2.63968403644412e-13,2.68162742754709e-13,2.60746229470229e-13,2.55212270974352e-13,1.718899262522e-14,1.15725579162471e-14,-5.60173864332874e-15,1.45916878275896e-14,9.21871466266126e-15,-1.81766895461256e-15,3.5599540220649e-15,2.27486732134972e-14,2.12625030006289e-14,3.80055022797688e-14,-4.04045812927765e-14,3.84196886906533e-14,3.59081911006743e-14,4.63971210613568e-14,3.94148078514208e-14,3.52730194568447e-14,6.96835550675724e-15,-3.29818247713041e-11,-2.65003904495395e-13,-2.65993550330764e-13,-2.64550281763951e-13,-2.65068015000316e-13,-2.66244630776797e-13,-2.63907618989526e-13,-2.64978913251564e-13,-2.67333693565461e-13,-2.71604075093948e-13
"curr_pts_reg2",-9.59708051111682e-14,2.63153095924048e-13,-1.33723685299857e-13,-1.9219707896754e-13,-2.60619527953619e-13,-2.72566320916415e-13,-2.59141132575779e-13,-2.26850382713018e-13,2.80390115681058e-13,7.2163427753278e-12,2.73458037581217e-13,2.69952431117071e-13,2.73215228976445e-13,2.71317596571923e-13,2.64194929018452e-13,2.67931120597799e-13,2.60751608774256e-13,2.57011848203924e-13,1.56735364914524e-14,6.92913182073539e-15,8.43984660794446e-15,2.05687834279617e-14,1.85021567839461e-14,1.33766134656382e-14,4.70020105525115e-15,3.09259031759596e-14,2.97727977568474e-14,2.89021026042847e-14,-5.37158575531492e-14,4.56369325398746e-14,5.75905844249163e-14,6.50357030986842e-14,5.98035579034737e-14,4.49171944297687e-14,4.60825572578943e-15,-2.63671357680022e-13,-7.2017805210175e-12,-2.65564111198443e-13,-2.64319867011014e-13,-2.6466185630862e-13,-2.65535984929373e-13,-2.63848719822656e-13,-2.64405799106526e-13,-2.66168414639425e-13,-2.70099708356625e-13
