"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",3.52017967330186e-12,-2.43042443933642e-12,-2.42386614537152e-12,-2.42820110671273e-12,-2.43098724726837e-12,-2.42199902512572e-12,-2.41160519569077e-12,-2.40210993843023e-12,-7.64970757323646e-15,-5.2628488076228e-14,-8.92543310822974e-14,-1.59640624765984e-13,-1.18721661051007e-13,-1.3827195573176e-13,-1.99372926954945e-13,-1.84505491229774e-13,-2.20581548034277e-13,-2.20815054205045e-13,-8.68079307538077e-13,-8.7501991985006e-13,-9.01920489098656e-13,-8.89923455963137e-13,-8.86843716375042e-13,-8.67108880434176e-13,-8.59722786089361e-13,-8.89409914487756e-13,-8.65937675903915e-13,-8.80101980534743e-13,-8.23628404623444e-13,-4.00069506211998e-13,-4.12018167476593e-13,-4.20543144987105e-13,-4.10025883414619e-13,-4.05951857130448e-13,-3.59978133390347e-13,2.41793635847876e-12,2.42247003415694e-12,2.42346519395121e-12,2.43047025663919e-12,2.43117215228325e-12,2.43282210209174e-12,-5.10886709009115e-14,-1.33380009870094e-14,7.30840019946434e-15,1.06820659659478e-14,-3.43953965710387e-14,-4.52824247005916e-14,-3.48873587371582e-14,-4.87154104977974e-14,1.6244880927279e-14,-8.92883875256733e-14
"policyTRUE",-2.43042443933653e-12,9.71188115072125e-12,2.39788043332876e-12,2.39510582016563e-12,2.39412532838753e-12,2.3913683409096e-12,2.38842522731375e-12,2.38580879388041e-12,-2.49017742138052e-14,-5.56695596462201e-15,2.31042975224904e-14,3.3430759288827e-14,-5.51074209115215e-15,-2.11422112471029e-14,3.71634004988634e-14,-6.05217117027881e-14,8.84168443317654e-14,2.34252548057493e-15,3.0903238800685e-14,5.62893727623755e-14,1.99021062625584e-14,2.54655219795186e-14,3.03831056742962e-14,1.6172414755369e-14,1.88826737169452e-14,3.95643109980702e-14,3.42473717657513e-14,2.76902078769551e-14,-2.24518843876392e-14,2.86764781634075e-14,3.47161143393426e-14,4.02269083484045e-14,3.01080968592297e-14,2.72799159049457e-14,8.38907679388567e-15,-9.79030358564579e-12,-9.77093097603674e-12,-9.76520933382677e-12,-9.74861453651298e-12,-9.73458716669372e-12,-9.72142706065649e-12,-2.08182911771251e-14,-6.83193387139107e-14,-1.4447699140233e-13,-1.44575142238017e-13,-3.21020584335294e-14,-3.345249084063e-15,-8.75422304684483e-14,8.33519040800303e-14,-3.16074317784686e-13,-1.69467237904555e-13
"age_grp20-24",-2.42386614537158e-12,2.39788043332875e-12,6.04544137092108e-12,2.34629818840733e-12,2.35262118646898e-12,2.36653815756774e-12,2.37965764033539e-12,2.38991979321122e-12,-9.55214856096416e-14,-9.94074920513726e-14,-7.67029982491716e-14,-1.09498032437917e-13,-1.03811566085639e-13,-7.66422622324685e-14,-2.75538865903896e-13,-2.33122257135247e-13,-9.16252344027374e-14,4.43325274648979e-14,3.5579518654324e-15,7.26054114528049e-15,7.77686578139216e-15,1.19850569481443e-14,1.44897021931744e-14,1.60790414078766e-14,1.12519857578959e-14,1.94280904120442e-14,1.84092440469629e-14,1.55546648522547e-14,-2.04946548006548e-14,2.63790692356825e-14,2.5598849809232e-14,2.90920064219006e-14,2.19820486669481e-14,1.71688481390308e-14,2.02633107913333e-15,-6.04597439274386e-12,-2.34670410889045e-12,-2.35302810814649e-12,-2.36694573061679e-12,-2.38002727441368e-12,-2.39023655439006e-12,9.56133848721797e-14,9.93201525801674e-14,7.64060954661154e-14,1.09266320092792e-13,1.03353718887113e-13,7.60608751488758e-14,2.74918458464954e-13,2.32271530637503e-13,9.07597072067661e-14,-4.55337179683968e-14
"age_grp25-34",-2.4282011067128e-12,2.39510582016554e-12,2.34629818840733e-12,3.68812665226582e-12,2.36727704088596e-12,2.37755742418285e-12,2.38708215813677e-12,2.39373863743031e-12,-2.5134358190984e-13,-1.96467657671046e-13,-1.65806904683487e-13,-2.07947477562171e-13,-2.44501320554709e-13,-2.28866290942736e-13,-2.48655286891812e-13,-3.15283706494936e-13,-1.51045919592287e-14,-2.88763504988751e-13,1.82676838727964e-15,1.79327994465919e-15,1.83044866012367e-14,1.69024407783578e-14,1.50318446108264e-14,7.39544111591338e-15,1.7745420250486e-15,1.54972331443836e-14,8.00969362914976e-15,1.07793282992576e-14,-1.55222689600277e-14,3.10173421259656e-14,4.01222739146155e-14,4.36508584689219e-14,3.88776907319744e-14,2.53428155065123e-14,6.86183231544727e-15,-2.34679078714134e-12,-3.68851964875428e-12,-2.36769299289146e-12,-2.37795080088936e-12,-2.38742054311892e-12,-2.39401270848226e-12,2.51513627814517e-13,1.9643539295489e-13,1.65537954500575e-13,2.0782596636136e-13,2.44098213570498e-13,2.28397543623473e-13,2.48151018233171e-13,3.14565193708786e-13,1.43910803190335e-14,2.87831580209026e-13
"age_grp35-44",-2.43098724726848e-12,2.39412532838749e-12,2.35262118646899e-12,2.36727704088597e-12,3.44029279421735e-12,2.37963071817513e-12,2.38784514241434e-12,2.39346286513742e-12,-2.16104562000486e-13,-2.07280780435935e-13,-1.58849835840844e-13,-1.44532189235748e-13,-2.37711382914621e-13,-2.45722302734693e-13,-1.74574431523022e-13,-3.11449214717403e-13,-4.18238781965393e-14,-2.40725385134417e-13,7.67956936374949e-15,4.85483484916484e-15,1.23857274838375e-14,1.37659247087434e-14,1.09143221385419e-14,-2.64403923670778e-15,-3.44276434434519e-15,7.62437766619289e-15,-5.8360644369687e-17,1.33608778626514e-14,-1.38506217918224e-14,3.64918124637347e-14,4.87375162464955e-14,5.56383170572144e-14,4.93653076744173e-14,3.2750242577054e-14,7.82851541982703e-15,-2.35325503756638e-12,-2.36773751985857e-12,-3.44073683552905e-12,-2.38009040281666e-12,-2.38827902709516e-12,-2.39384751166651e-12,2.16074355180589e-13,2.07162823524971e-13,1.58531359924463e-13,1.44229404787181e-13,2.37208298261297e-13,2.45027144710439e-13,1.73862188570526e-13,3.10494496836935e-13,4.07719879047193e-14,2.39290052556211e-13
"age_grp45-54",-2.42199902512575e-12,2.39136834090941e-12,2.36653815756767e-12,2.37755742418279e-12,2.37963071817504e-12,3.12281190698801e-12,2.38977629672666e-12,2.39289070187242e-12,-2.12383568369912e-13,-1.88180697409294e-13,-1.4952220036034e-13,-1.59270175538963e-13,-1.78469669362053e-13,-2.29961543104866e-13,-1.0759791969572e-13,-2.34288121878632e-13,-2.65608696215603e-14,-2.27488761426515e-13,1.60921949390653e-15,4.74831592039233e-16,2.27772776538559e-14,2.13376547669409e-14,1.87507696154946e-14,3.0220651401717e-15,2.14758366343174e-16,8.17043238282867e-15,4.73699729314989e-16,7.95272814190419e-15,-5.11982826743348e-15,2.56629083361312e-14,3.7085509991802e-14,4.22827042436382e-14,3.68285150887943e-14,2.28817290893872e-14,5.03118940004621e-15,-2.36698391876076e-12,-2.37792459228567e-12,-2.38003128089320e-12,-3.12317902691566e-12,-2.3900820901973e-12,-2.3931294614683e-12,2.12580525752956e-13,1.88176446092888e-13,1.49281860839482e-13,1.59212937770098e-13,1.78113773231414e-13,2.29574654862121e-13,1.0717515414056e-13,2.33671602651725e-13,2.59598996005191e-14,2.26751283154058e-13
"age_grp55-64",-2.41160519569081e-12,2.38842522731368e-12,2.37965764033537e-12,2.38708215813676e-12,2.38784514241431e-12,2.38977629672673e-12,3.1053715183785e-12,2.3922106233916e-12,-1.87014556179506e-13,-1.66808634616202e-13,-1.37913349587876e-13,-1.19315259240663e-13,-1.52076545685477e-13,-1.62231087946239e-13,-7.82393213482877e-14,-1.929254800939e-13,-8.64120840857829e-14,-9.90176255058493e-14,-3.51159525622278e-15,-3.23395079661374e-15,2.26467316930463e-14,2.10640463722877e-14,1.93230165521637e-14,4.51067937522037e-15,2.23541693156823e-15,5.85233013746252e-15,-6.63904738189724e-16,1.90295347209259e-15,3.02354699412475e-15,1.91688596444145e-14,2.57904935244123e-14,3.25543394965093e-14,2.55768475764997e-14,1.49550136073491e-14,2.83222809099844e-15,-2.37998229836074e-12,-2.38737381897281e-12,-2.38818580688331e-12,-2.39006854043947e-12,-3.10559537550308e-12,-2.39236791602038e-12,1.87278285978431e-13,1.66845759100228e-13,1.37727983576995e-13,1.19357264527535e-13,1.51813255852122e-13,1.62002012194641e-13,7.79673443643702e-14,1.92497772891586e-13,8.60491385994904e-14,9.86222828471175e-14
"age_grp65-199",-2.4021099384302e-12,2.38580879388019e-12,2.38991979321113e-12,2.39373863743022e-12,2.39346286513732e-12,2.3928907018724e-12,2.39221062339152e-12,2.99939600941063e-12,-1.28655073507189e-13,-1.20158656685616e-13,-1.26701199667694e-13,-5.70015024917617e-14,-9.78533834147691e-14,-1.32160502310467e-13,-3.05370877634782e-14,-1.30024227295705e-13,-2.90965915124656e-13,-9.3212773284466e-14,-4.84722472237003e-15,-7.65640533857421e-15,2.6282156287081e-14,2.20138876654642e-14,1.92520725686347e-14,8.60029563892042e-15,6.00099431307547e-15,5.96137798869543e-15,-9.09699913798488e-16,2.18551344316858e-16,1.25656278800031e-14,9.82631815119144e-15,1.60610900028569e-14,1.90378606719184e-14,1.44480191873904e-14,4.78979906113122e-15,-1.48649360914737e-16,-2.39011805895417e-12,-2.39395425498404e-12,-2.39374630890669e-12,-2.39310733553309e-12,-2.39234916724751e-12,-2.99946669869222e-12,1.28999316743347e-13,1.20243523760993e-13,1.26573077853523e-13,5.71552430541604e-14,9.7687162486336e-14,1.32101792620219e-13,3.04261963091817e-14,1.29799905814606e-13,2.90860547818312e-13,9.31919131320574e-14
"curr_pts_reg1",-7.64970757323171e-15,-2.49017742138161e-14,-9.55214856096443e-14,-2.51343581909842e-13,-2.16104562000496e-13,-2.12383568369916e-13,-1.87014556179515e-13,-1.28655073507193e-13,3.22841864881953e-11,1.61549430779042e-13,1.55396335463849e-13,1.58978003242459e-13,1.6236425596278e-13,1.59655848539633e-13,1.63811831380284e-13,1.65327992175661e-13,1.21732398781872e-13,1.52632442235934e-13,-7.4639633968418e-15,2.9399217076775e-15,5.84802932064895e-16,1.4569154847711e-14,3.33061725905536e-15,6.99490413216481e-16,4.66796894263061e-15,2.74144740375319e-14,2.45548944444378e-14,1.24728474705898e-14,-4.72378390381063e-14,3.57628297887341e-14,4.72500332250008e-14,4.9478954450851e-14,4.6575879482815e-14,2.88778281703249e-14,-2.77647103122669e-15,9.60329942709926e-14,2.5165095066085e-13,2.16332723866986e-13,2.12694347551621e-13,1.87370208568244e-13,1.29021807281968e-13,-3.22838116504784e-11,-1.61348377790875e-13,-1.55199160553171e-13,-1.5857277391713e-13,-1.62018229689349e-13,-1.59005828317521e-13,-1.63166244545858e-13,-1.64546055723848e-13,-1.20750643953761e-13,-1.51197967371841e-13
"curr_pts_reg2",-5.26284880762428e-14,-5.56695596463129e-15,-9.94074920513594e-14,-1.96467657671037e-13,-2.0728078043592e-13,-1.88180697409275e-13,-1.66808634616185e-13,-1.20158656685606e-13,1.61549430779042e-13,7.21789241068219e-12,1.55564606028652e-13,1.58715095122948e-13,1.62739852779694e-13,1.6122084310231e-13,1.62225976271725e-13,1.65886622262769e-13,1.24358183122223e-13,1.58504271582028e-13,9.13500068521669e-15,3.3560396632912e-15,1.70528620857104e-14,2.04703195438406e-14,1.66662854426319e-14,1.79232725129401e-15,-5.49732362326193e-16,2.45970946709331e-14,2.38591480633118e-14,2.51342694293185e-14,-4.91493251509717e-14,6.12666547922654e-14,7.51248726543367e-14,8.06122896775845e-14,7.79192015086147e-14,5.16432653618727e-14,5.7907517943882e-15,1.00243831814742e-13,1.96972940299337e-13,2.07665466525464e-13,1.88690074964533e-13,1.67382049602339e-13,1.20741996660801e-13,-1.61048970325408e-13,-7.21757063193107e-12,-1.55218879222036e-13,-1.58040838619406e-13,-1.62148912482367e-13,-1.60164364571906e-13,-1.61174615151227e-13,-1.64518460164298e-13,-1.22783833560672e-13,-1.56079060738958e-13
