"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",4.23799942214856e-12,-2.12934610261603e-12,-2.18190414500077e-12,-2.16801121151226e-12,-2.16084077307726e-12,-2.15683209526783e-12,-2.15104924519878e-12,-2.14126461623936e-12,5.39862672465114e-14,5.26865492193132e-15,-1.80026193249472e-14,-8.56972773124279e-14,-4.67901421045252e-14,-5.32187400071866e-14,-1.31373546525036e-13,-8.54543169268298e-14,-1.01246727299713e-13,-9.37678357006032e-14,-1.58373074772249e-12,-1.58159187102177e-12,-1.61508194873644e-12,-1.59967179600805e-12,-1.58964072716572e-12,-1.57606431682912e-12,-1.55857311065643e-12,-1.59658594112205e-12,-1.56484547151393e-12,-1.58974017138122e-12,-1.50821223105403e-12,-8.1685110066934e-13,-8.27822857654039e-13,-8.37255193159089e-13,-8.28084778107443e-13,-8.36569042689193e-13,-7.66298207711614e-13,2.17190943769314e-12,2.16319114094805e-12,2.14966958559322e-12,2.14919488959825e-12,2.14579996357057e-12,2.14448970850516e-12,-1.09637013445621e-13,-6.60072465793376e-14,-4.61985443264378e-14,-4.40081039148574e-14,-7.50651687525825e-14,-8.81027008584785e-14,-4.81134929558841e-14,-1.00462851647044e-13,-1.07932654648493e-13,-1.80736235199592e-13
"policyTRUE",-2.12934610261589e-12,7.51225836498187e-12,2.1655676403842e-12,2.14872899472438e-12,2.13954352019806e-12,2.13240339376935e-12,2.12486867286446e-12,2.11433139373486e-12,-9.01932066819519e-14,-5.49722558368831e-14,-3.51565665968727e-14,-2.23466256030509e-14,-5.08684055492657e-14,-6.72129318629027e-14,-2.64791939670337e-14,-7.12774297397489e-14,-3.15396360330876e-14,-1.18055452433587e-13,2.54407433282747e-14,4.79510171452599e-14,2.54525281823168e-14,3.37187056757609e-14,3.19002817948695e-14,2.95386015908052e-14,2.22157690343257e-14,3.27091597647569e-14,3.35305426012016e-14,2.34795322525366e-14,-1.3662293194137e-14,4.8808155481109e-15,8.74052205348805e-15,1.35899037344962e-14,7.93675878171299e-15,1.71312899372315e-14,6.29832999491351e-15,-7.75806830716964e-12,-7.69576971436936e-12,-7.6645398916432e-12,-7.63675903864183e-12,-7.60832794934458e-12,-7.56841125359185e-12,1.84957656987932e-13,1.13945981205077e-13,3.6951153780443e-14,-4.24032283903802e-14,1.16492933568302e-13,1.23777203727504e-13,-1.80880624812707e-14,1.4707012936626e-13,-1.79116567542471e-14,3.45638345720051e-14
"age_grp20-24",-2.18190414500078e-12,2.16556764038435e-12,8.54089331000315e-12,2.02812708608418e-12,2.0808948403005e-12,2.10790255096317e-12,2.12840393931518e-12,2.15188531010091e-12,-1.51113166601171e-13,-1.48214907392234e-13,-1.98997092929764e-13,-4.02712856150408e-13,-2.99387078157514e-13,-3.29875092575252e-13,-6.12405461728844e-13,-4.96199248499335e-13,-4.4299821988393e-13,-9.01065945137489e-13,3.36283297898182e-15,9.26162673698558e-15,1.49899403109812e-14,2.26128367619153e-14,2.88508941038226e-14,3.77653785672699e-14,1.48075969592102e-14,3.1919221939745e-14,2.47776295960212e-14,1.89053579672177e-14,-3.24360421505442e-14,-4.53641131704814e-15,-2.06194879441744e-15,2.21838566070329e-15,3.72666051127436e-15,9.84361050119606e-15,4.20610816926202e-15,-8.54150692774722e-12,-2.0284892635504e-12,-2.08117809108642e-12,-2.10816714541481e-12,-2.12864787500969e-12,-2.15210521045671e-12,1.51302529297321e-13,1.48143923245522e-13,1.98602804386593e-13,4.02457347465622e-13,2.98722133118591e-13,3.29159267020169e-13,6.1155041367607e-13,4.95064753422712e-13,4.41939708447119e-13,8.99263857903689e-13
"age_grp25-34",-2.16801121151231e-12,2.14872899472456e-12,2.02812708608422e-12,4.08173471386718e-12,2.11944201619062e-12,2.13524433169294e-12,2.14533546999088e-12,2.15642587126465e-12,-3.14438550516206e-13,-2.67357705887596e-13,-2.75076761594493e-13,-3.16587928384369e-13,-3.7878432687243e-13,-4.06056745348326e-13,-4.39480917218686e-13,-5.33915120345441e-13,-3.57513812056987e-13,-6.36468563122665e-13,6.21793399772615e-15,2.27003773639537e-15,1.87640652026539e-14,1.24712954731752e-14,9.06085928838242e-15,1.28972656830655e-14,-7.01875780669001e-15,5.91286144219914e-15,3.05685635152251e-15,8.12988675688294e-15,-2.48608535793892e-14,1.55592931633638e-14,2.14262475394673e-14,2.66795568994285e-14,2.2837192380229e-14,1.94844706207675e-14,2.61543904783846e-15,-2.02857997752799e-12,-4.08199050752555e-12,-2.11963181582383e-12,-2.13542507158505e-12,-2.14550925408914e-12,-2.15658452492711e-12,3.14508137282231e-13,2.67320707747098e-13,2.74836286413415e-13,3.16412469508286e-13,3.78373943618895e-13,4.05595273359492e-13,4.38942110679575e-13,5.33203351478732e-13,3.56828552454245e-13,6.35276012602184e-13
"age_grp35-44",-2.16084077307725e-12,2.13954352019815e-12,2.08089484030048e-12,2.11944201619057e-12,4.12333223162483e-12,2.16097681653857e-12,2.16425148616496e-12,2.16659905223836e-12,-4.53225554594714e-13,-4.00277017395364e-13,-3.8983852318187e-13,-3.96573528386485e-13,-4.46187688962272e-13,-4.67472097976557e-13,-4.25724270926747e-13,-4.7754582928774e-13,-3.77749369201117e-13,-4.83103160773533e-13,1.04227604024691e-14,8.35295893244826e-15,1.04253026814282e-15,-5.75039801224696e-15,-1.45646937655964e-14,-1.67210732327589e-14,-3.16166454521704e-14,-1.38557707944277e-14,-1.37025169691064e-14,4.89366028033329e-15,-2.95734934855179e-14,3.151412399192e-14,4.36752079898896e-14,5.20967981968865e-14,4.62685909848678e-14,3.3281444314591e-14,2.12054323537713e-15,-2.0815308208064e-12,-2.1197346728435e-12,-4.12343478785225e-12,-2.1611543163471e-12,-2.16449688157452e-12,-2.16686650736196e-12,4.52892355556435e-13,4.00084844675816e-13,3.89670273502803e-13,3.96107167804206e-13,4.45867596437909e-13,4.66926862638324e-13,4.25225841944591e-13,4.76907683020531e-13,3.77051786831099e-13,4.81532790273688e-13
"age_grp45-54",-2.15683209526784e-12,2.13240339376945e-12,2.10790255096316e-12,2.1352443316929e-12,2.16097681653859e-12,3.6676470380846e-12,2.16639189644848e-12,2.16463749764661e-12,-4.74649027251807e-13,-4.31340065467929e-13,-3.76396669893463e-13,-3.60048624015072e-13,-4.08665467428261e-13,-4.05157351664287e-13,-3.04895939323161e-13,-3.79302231147798e-13,-3.55089183412521e-13,-3.84010369874443e-13,9.50855715050582e-15,-6.62934121755822e-16,1.42854519511781e-14,4.59687100949733e-15,-8.59605096953562e-15,-1.3013589228802e-14,-2.67756380905206e-14,-9.6880036758783e-15,-9.76385147371354e-15,3.91695577181655e-15,-2.40144039092298e-14,3.10498395833679e-14,4.16225371007748e-14,5.12848266168092e-14,4.68311755570813e-14,3.37058108501282e-14,2.63237086113329e-15,-2.10826977938157e-12,-2.13542783337193e-12,-2.16107849002355e-12,-3.66776545521339e-12,-2.16652913687731e-12,-2.16477445439668e-12,4.74549381610693e-13,4.31287503445185e-13,3.76279842197937e-13,3.59861678767727e-13,4.08456460363471e-13,4.04858091518977e-13,3.04589998210787e-13,3.7890502961854e-13,3.54667435234825e-13,3.83170542835233e-13
"age_grp55-64",-2.15104924519876e-12,2.12486867286455e-12,2.12840393931515e-12,2.14533546999083e-12,2.16425148616496e-12,2.16639189644846e-12,3.72148631643673e-12,2.15880066177587e-12,-4.32062145295897e-13,-4.0489579846512e-13,-3.52151319909617e-13,-3.12777273343965e-13,-3.31911512712789e-13,-3.34257512995926e-13,-2.54632687647818e-13,-2.89334545018048e-13,-2.55771563979275e-13,-2.83396085868736e-13,6.13172556514072e-15,-7.93519574160524e-16,2.30728622385675e-14,1.4813330497093e-14,3.12111335042242e-16,-7.44667312238964e-15,-1.86662624011396e-14,-4.99457591142197e-15,-4.25912669475073e-15,6.99664392873942e-15,-1.1754311137875e-14,3.15918043760535e-14,3.82672043483705e-14,4.61048884460863e-14,4.33611489156716e-14,2.61125615689638e-14,-3.42387044540277e-15,-2.12863812632716e-12,-2.1454703847855e-12,-2.16436434172635e-12,-2.16648806374936e-12,-3.72157237025392e-12,-2.15887296457449e-12,4.32102350302905e-13,4.04913971408596e-13,3.5204559334044e-13,3.12734161292674e-13,3.31735364154533e-13,3.3406548479836e-13,2.54396664259774e-13,2.89023307450209e-13,2.55461811751909e-13,2.82898730832245e-13
"age_grp65-199",-2.14126461623936e-12,2.11433139373493e-12,2.15188531010089e-12,2.15642587126459e-12,2.16659905223837e-12,2.1646374976466e-12,2.15880066177588e-12,3.30624870244094e-12,-3.68251516087057e-13,-3.34280957292458e-13,-3.21454683262534e-13,-1.91110908094183e-13,-2.27316235453959e-13,-2.72028551185804e-13,-1.26063306221413e-13,-1.78058075217427e-13,-3.06423580962659e-13,-2.20517703598929e-13,-1.30685976180668e-15,-3.86355236843524e-15,3.56645958573982e-14,2.71202348530797e-14,1.05403491546691e-14,1.3765419397062e-15,-7.51652488164686e-15,-3.9173155931953e-15,-4.79639766394687e-16,3.06708838729141e-15,5.76874128128943e-15,2.72474807636318e-14,3.57908404381469e-14,4.09969022288511e-14,3.47952191565073e-14,1.56437031665013e-14,-4.45005321034354e-15,-2.15199492198761e-12,-2.15652902485549e-12,-2.16675509029395e-12,-2.16472979891555e-12,-2.15884176524382e-12,-3.30625529464202e-12,3.68495037458885e-13,3.3439263697863e-13,3.21333968835698e-13,1.91247398676107e-13,2.27129862156521e-13,2.71926105593177e-13,1.25855636550032e-13,1.77777168349083e-13,3.06185438615167e-13,2.20353118777471e-13
"curr_pts_reg1",5.39862672465089e-14,-9.01932066819514e-14,-1.51113166601166e-13,-3.14438550516203e-13,-4.53225554594707e-13,-4.74649027251801e-13,-4.32062145295894e-13,-3.68251516087047e-13,3.30184679073191e-11,2.98093902345006e-13,2.86262457875828e-13,2.78741913821355e-13,2.85260778215355e-13,2.80516029556761e-13,2.65713384906921e-13,2.73251304659099e-13,2.58684056924547e-13,2.47548437659048e-13,1.69497906524459e-14,1.05948569548241e-14,-4.72866794441872e-15,1.50619063994399e-14,9.36856444275731e-15,-1.84552701186992e-15,3.40408863277727e-15,2.24112903179106e-14,2.1251434855686e-14,3.75696057701671e-14,-3.93667414968882e-14,3.85025177820981e-14,3.58632779875458e-14,4.60610870978531e-14,3.91250303551633e-14,3.4743443255894e-14,6.85251352141709e-15,1.51489761525647e-13,3.1463675545351e-13,4.5333355311233e-13,4.74785878401132e-13,4.32224133428794e-13,3.6842122446559e-13,-3.30183907664413e-11,-2.98012047249866e-13,-2.86129048807379e-13,-2.78535234170196e-13,-2.85007677348653e-13,-2.80179698810547e-13,-2.65380226473602e-13,-2.72809744043857e-13,-2.58237402079208e-13,-2.46636832621386e-13
"curr_pts_reg2",5.26865492193967e-15,-5.49722558368986e-14,-1.48214907392232e-13,-2.67357705887601e-13,-4.00277017395369e-13,-4.31340065467937e-13,-4.04895798465122e-13,-3.34280957292458e-13,2.98093902345006e-13,7.23240441845617e-12,2.84093540666644e-13,2.77573934434397e-13,2.82687624213689e-13,2.78648814620596e-13,2.65110460674126e-13,2.71819725479471e-13,2.5813368567651e-13,2.49676774479405e-13,1.54002331807071e-14,5.90567954257223e-15,9.25648178412991e-15,2.09732577008768e-14,1.8602167213564e-14,1.32968644678088e-14,4.51040465372196e-15,3.05456719956494e-14,2.97002913089308e-14,2.84386103650053e-14,-5.26609698307487e-14,4.56971904483238e-14,5.75136130877912e-14,6.46632668554508e-14,5.94897180716124e-14,4.43630490581819e-14,4.48396801452196e-15,1.49130849492197e-13,2.6777349771034e-13,4.00396577997346e-13,4.31581956538369e-13,4.05246032509249e-13,3.34678324027093e-13,-2.97653476190779e-13,-7.2320915638806e-12,-2.83824846093626e-13,-2.76870461936148e-13,-2.82171909426847e-13,-2.77806661311886e-13,-2.64349837939379e-13,-2.70818899131213e-13,-2.5706144155632e-13,-2.4721345356037e-13
