"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","4 yr.","mnwk","no","no","all","Male","LPM","(Intercept)",0.000492350645188393,3.03394969032901e-06,162.280425004345,0,NA,NA,3817878617
"1.1","all","4 yr.","mnwk","no","no","all","Male","LPM","policyTRUE",-6.62812158728968e-05,8.77533914905124e-07,-75.5312299013114,0,NA,NA,3817878617
"1.2","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp20-24",0.000166871173189476,3.46879840724836e-06,48.1063335478889,0,NA,NA,3817878617
"1.3","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp25-34",-8.24697150200264e-05,2.86500604188017e-06,-28.7851801408089,3.28832671154667e-182,NA,NA,3817878617
"1.4","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp35-44",-0.000202352445865481,2.77350612127452e-06,-72.9590767127974,0,NA,NA,3817878617
"1.5","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp45-54",-0.000299143596614563,2.71185246260077e-06,-110.309687101367,0,NA,NA,3817878617
"1.6","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp55-64",-0.000400597330285576,2.70917038304074e-06,-147.867159922201,0,NA,NA,3817878617
"1.7","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp65-199",-0.000536172834519606,2.66351672547562e-06,-201.302597198395,0,NA,NA,3817878617
"1.8","all","4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp1-3",0.000444841176608817,1.20122884647612e-06,370.321756685902,0,NA,NA,3817878617
"1.9","all","4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp4-6",0.00102390572563262,2.53549915466618e-06,403.828068231965,0,NA,NA,3817878617
"1.10","all","4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp7-9",0.00150244968466023,4.64047975370893e-06,323.770335051972,0,NA,NA,3817878617
"1.11","all","4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp10-150",0.00213576734014855,6.33275158255943e-06,337.257401037253,0,NA,NA,3817878617
"1.12","all","4 yr.","mnwk","no","no","all","Male","LPM","month02",0.000129103274731034,2.14781984829009e-06,60.10898671684,0,NA,NA,3817878617
"1.13","all","4 yr.","mnwk","no","no","all","Male","LPM","month03",0.000150418950291883,2.10745556253225e-06,71.3746723613684,0,NA,NA,3817878617
"1.14","all","4 yr.","mnwk","no","no","all","Male","LPM","month04",0.000120161277200441,2.1027932403521e-06,57.1436482173208,0,NA,NA,3817878617
