"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","high","4 yr.","mnwk","no","no","all","Male","LPM","(Intercept)",0.00230452584003398,3.32150081810413e-05,69.3820645014737,0,NA,NA,839042780
"1.1","high","4 yr.","mnwk","no","no","all","Male","LPM","policyTRUE",-0.000381901674947263,2.74526841598427e-06,-139.112690301483,0,NA,NA,839042780
"1.2","high","4 yr.","mnwk","no","no","all","Male","LPM","age_grp20-24",-0.00115098411819585,3.32438232981511e-05,-34.6224953692335,1.15951632186275e-262,NA,NA,839042780
"1.3","high","4 yr.","mnwk","no","no","all","Male","LPM","age_grp25-34",-0.00180622041364627,3.27976456265347e-05,-55.0716485632421,0,NA,NA,839042780
"1.4","high","4 yr.","mnwk","no","no","all","Male","LPM","age_grp35-44",-0.00179425050313236,3.28279886133674e-05,-54.6561205520143,0,NA,NA,839042780
"1.5","high","4 yr.","mnwk","no","no","all","Male","LPM","age_grp45-54",-0.00184020766664759,3.28431393736584e-05,-56.0301999669225,0,NA,NA,839042780
"1.6","high","4 yr.","mnwk","no","no","all","Male","LPM","age_grp55-64",-0.00196173650977145,3.29141769238223e-05,-59.6015666535353,0,NA,NA,839042780
"1.7","high","4 yr.","mnwk","no","no","all","Male","LPM","age_grp65-199",-0.0022056154721296,3.29840944418019e-05,-66.8690624816532,0,NA,NA,839042780
"1.8","high","4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp1-3",0.00071037748676971,3.16551014293341e-06,224.411691858115,0,NA,NA,839042780
"1.9","high","4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp4-6",0.00115668138723644,4.28804613589676e-06,269.745555569809,0,NA,NA,839042780
"1.10","high","4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp7-9",0.00134369132818597,5.96392538947103e-06,225.303175415001,0,NA,NA,839042780
"1.11","high","4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp10-150",0.00184626353537291,7.37555158544817e-06,250.32209645385,0,NA,NA,839042780
"1.12","high","4 yr.","mnwk","no","no","all","Male","LPM","month02",0.000239657654114238,6.75026591907931e-06,35.5034389736939,4.35209639241684e-276,NA,NA,839042780
"1.13","high","4 yr.","mnwk","no","no","all","Male","LPM","month03",0.000261175855434124,6.59503631164319e-06,39.6018828543873,0,NA,NA,839042780
"1.14","high","4 yr.","mnwk","no","no","all","Male","LPM","month04",0.000208230186777257,6.62384934669199e-06,31.4364315790559,6.43578224899609e-217,NA,NA,839042780
"1.15","high","4 yr.","mnwk","no","no","all","Male","LPM","month05",0.00025661421732367,6.61803221264929e-06,38.7750027618774,0,NA,NA,839042780
"1.16","high","4 yr.","mnwk","no","no","all","Male","LPM","month06",0.000230083512445162,6.64045679737162e-06,34.6487477391965,4.66722882936174e-263,NA,NA,839042780
"1.17","high","4 yr.","mnwk","no","no","all","Male","LPM","month07",0.000185235780037116,6.53563762272453e-06,28.3424190155599,1.03812823669904e-176,NA,NA,839042780
"1.18","high","4 yr.","mnwk","no","no","all","Male","LPM","month08",2.85622447430197e-05,6.35845336132144e-06,4.49201136187681,7.05536679913234e-06,NA,NA,839042780
"1.19","high","4 yr.","mnwk","no","no","all","Male","LPM","month09",0.000405965559342482,6.81989205652838e-06,59.5266839969804,0,NA,NA,839042780
"1.20","high","4 yr.","mnwk","no","no","all","Male","LPM","month10",0.000338461841205588,6.69380096575299e-06,50.5634755107354,0,NA,NA,839042780
"1.21","high","4 yr.","mnwk","no","no","all","Male","LPM","month11",0.00031708098412572,6.72020829331832e-06,47.1832077647032,0,NA,NA,839042780
"1.22","high","4 yr.","mnwk","no","no","all","Male","LPM","month12",-0.000592992848392181,5.62352025558336e-06,-105.44869075619,0,NA,NA,839042780
"1.23","high","4 yr.","mnwk","no","no","all","Male","LPM","weekdayMonday",0.000533858265506199,4.76075125120746e-06,112.137399611206,0,NA,NA,839042780
"1.24","high","4 yr.","mnwk","no","no","all","Male","LPM","weekdayTuesday",0.000699558889544093,4.90117456669707e-06,142.732906168557,0,NA,NA,839042780
"1.25","high","4 yr.","mnwk","no","no","all","Male","LPM","weekdayWednesday",0.000794443131842164,4.9797061385825e-06,159.536147261153,0,NA,NA,839042780
"1.26","high","4 yr.","mnwk","no","no","all","Male","LPM","weekdayThursday",0.000714167591661803,4.92336421199598e-06,145.056827183677,0,NA,NA,839042780
"1.27","high","4 yr.","mnwk","no","no","all","Male","LPM","weekdayFriday",0.000565297149720081,4.79679675187954e-06,117.848885195851,0,NA,NA,839042780
"1.28","high","4 yr.","mnwk","no","no","all","Male","LPM","weekdaySaturday",0.00011306321289521,4.3779104128314e-06,25.8258397805101,4.5470597519975e-147,NA,NA,839042780
"2","high","4 yr.","mnwk","no","no","1","Male","LPM","(Intercept)",5.43573309399386e-05,7.95625789749828e-06,6.8320222446573,8.37259195447294e-12,NA,NA,839042780
"2.1","high","4 yr.","mnwk","no","no","1","Male","LPM","policyTRUE",6.21301097974114e-06,7.43683415603396e-07,8.35437613557664,6.57795291158957e-17,NA,NA,839042780
"2.2","high","4 yr.","mnwk","no","no","1","Male","LPM","age_grp20-24",-5.12941795059926e-05,7.93761337178733e-06,-6.46216653588944,1.03214471026675e-10,NA,NA,839042780
"2.3","high","4 yr.","mnwk","no","no","1","Male","LPM","age_grp25-34",-5.59269803782733e-05,7.83838460746262e-06,-7.13501354922382,9.67777039360299e-13,NA,NA,839042780
"2.4","high","4 yr.","mnwk","no","no","1","Male","LPM","age_grp35-44",-4.19607319346485e-05,7.85349516816423e-06,-5.34293725738128,9.14524487542884e-08,NA,NA,839042780
"2.5","high","4 yr.","mnwk","no","no","1","Male","LPM","age_grp45-54",-4.19706980770964e-05,7.85974989714826e-06,-5.33995338608988,9.297050712395e-08,NA,NA,839042780
"2.6","high","4 yr.","mnwk","no","no","1","Male","LPM","age_grp55-64",-5.08675269448724e-05,7.88276822575016e-06,-6.4530029918559,1.09655252566259e-10,NA,NA,839042780
"2.7","high","4 yr.","mnwk","no","no","1","Male","LPM","age_grp65-199",-7.77190367877159e-05,7.8952817610956e-06,-9.84373188182851,7.29536097947958e-23,NA,NA,839042780
"2.8","high","4 yr.","mnwk","no","no","1","Male","LPM","curr_pts_grp1-3",4.92421152428914e-05,8.27879627691307e-07,59.479800680942,0,NA,NA,839042780
"2.9","high","4 yr.","mnwk","no","no","1","Male","LPM","curr_pts_grp4-6",9.23797488893128e-05,1.15453839382463e-06,80.0144450660384,0,NA,NA,839042780
"2.10","high","4 yr.","mnwk","no","no","1","Male","LPM","curr_pts_grp7-9",0.00012508221204066,1.67699683455208e-06,74.5870293035281,0,NA,NA,839042780
"2.11","high","4 yr.","mnwk","no","no","1","Male","LPM","curr_pts_grp10-150",0.000191057485921424,2.18085824872547e-06,87.606558579899,0,NA,NA,839042780
"2.12","high","4 yr.","mnwk","no","no","1","Male","LPM","month02",2.20896663561148e-05,1.84535388745165e-06,11.97042285836,5.0769532586368e-33,NA,NA,839042780
"2.13","high","4 yr.","mnwk","no","no","1","Male","LPM","month03",2.37864794229716e-05,1.80326688384712e-06,13.1907703934678,9.91675166730566e-40,NA,NA,839042780
"2.14","high","4 yr.","mnwk","no","no","1","Male","LPM","month04",1.26020754467037e-05,1.78259997723538e-06,7.06949153351171,1.55502539728839e-12,NA,NA,839042780
"2.15","high","4 yr.","mnwk","no","no","1","Male","LPM","month05",2.18278652212922e-05,1.80380069066973e-06,12.1010405053054,1.04281623890145e-33,NA,NA,839042780
"2.16","high","4 yr.","mnwk","no","no","1","Male","LPM","month06",1.64648008652259e-05,1.79607940358521e-06,9.16707848904677,4.8601294647449e-20,NA,NA,839042780
"2.17","high","4 yr.","mnwk","no","no","1","Male","LPM","month07",8.32079922349833e-06,1.74868939909071e-06,4.75830597922364,1.95224447788435e-06,NA,NA,839042780
"2.18","high","4 yr.","mnwk","no","no","1","Male","LPM","month08",-2.21848951197715e-06,1.70276666139168e-06,-1.30287347190834,0.19261796237368,NA,NA,839042780
"2.19","high","4 yr.","mnwk","no","no","1","Male","LPM","month09",3.83304396755074e-05,1.87966247953667e-06,20.3921927967385,1.96164390678524e-92,NA,NA,839042780
"2.20","high","4 yr.","mnwk","no","no","1","Male","LPM","month10",2.14272989519368e-05,1.7994421374009e-06,11.9077454654287,1.07854763421564e-32,NA,NA,839042780
"2.21","high","4 yr.","mnwk","no","no","1","Male","LPM","month11",1.71984941007154e-05,1.79434928196976e-06,9.58480841691849,9.26296319703392e-22,NA,NA,839042780
"2.22","high","4 yr.","mnwk","no","no","1","Male","LPM","month12",-4.35462771932594e-05,1.52076583364039e-06,-28.6344394580583,2.50512481879882e-180,NA,NA,839042780
"2.23","high","4 yr.","mnwk","no","no","1","Male","LPM","weekdayMonday",5.28866376851083e-05,1.27338531271211e-06,41.5323132418326,0,NA,NA,839042780
"2.24","high","4 yr.","mnwk","no","no","1","Male","LPM","weekdayTuesday",6.9126435528901e-05,1.32544709724475e-06,52.1532965537413,0,NA,NA,839042780
"2.25","high","4 yr.","mnwk","no","no","1","Male","LPM","weekdayWednesday",7.18030538613238e-05,1.33326030127067e-06,53.8552402654544,0,NA,NA,839042780
"2.26","high","4 yr.","mnwk","no","no","1","Male","LPM","weekdayThursday",6.54072291059637e-05,1.31585755691752e-06,49.7069221224707,0,NA,NA,839042780
"2.27","high","4 yr.","mnwk","no","no","1","Male","LPM","weekdayFriday",4.73236813481353e-05,1.25772422380927e-06,37.6264370617002,7.95173812735932e-310,NA,NA,839042780
"2.28","high","4 yr.","mnwk","no","no","1","Male","LPM","weekdaySaturday",6.78059198041663e-06,1.11255456615598e-06,6.09461520961123,1.09701050366733e-09,NA,NA,839042780
"3","high","4 yr.","mnwk","no","no","2","Male","LPM","(Intercept)",0.000253208993586837,1.59447105635124e-05,15.8804383797519,8.65728956526446e-57,NA,NA,839042780
"3.1","high","4 yr.","mnwk","no","no","2","Male","LPM","policyTRUE",-4.75098726320515e-05,1.66477060819674e-06,-28.5383898527098,3.91500434860047e-179,NA,NA,839042780
"3.2","high","4 yr.","mnwk","no","no","2","Male","LPM","age_grp20-24",-7.09607893660901e-05,1.59017897879343e-05,-4.4624404115776,8.10314768133141e-06,NA,NA,839042780
"3.3","high","4 yr.","mnwk","no","no","2","Male","LPM","age_grp25-34",-0.000153266303858369,1.56386628635811e-05,-9.80047368469665,1.12059215244976e-22,NA,NA,839042780
"3.4","high","4 yr.","mnwk","no","no","2","Male","LPM","age_grp35-44",-0.000106513760849285,1.56699721716302e-05,-6.79731652887827,1.0658582362247e-11,NA,NA,839042780
"3.5","high","4 yr.","mnwk","no","no","2","Male","LPM","age_grp45-54",-0.000100510644812598,1.56867468394775e-05,-6.40736067465892,1.48060358447372e-10,NA,NA,839042780
"3.6","high","4 yr.","mnwk","no","no","2","Male","LPM","age_grp55-64",-0.000142114842398355,1.57482629169394e-05,-9.02415988022979,1.81079782625005e-19,NA,NA,839042780
"3.7","high","4 yr.","mnwk","no","no","2","Male","LPM","age_grp65-199",-0.000272819649453961,1.57908650141171e-05,-17.2770553867733,7.00352312366485e-67,NA,NA,839042780
"3.8","high","4 yr.","mnwk","no","no","2","Male","LPM","curr_pts_grp1-3",0.000244854181734178,1.92370923972443e-06,127.282323481096,0,NA,NA,839042780
"3.9","high","4 yr.","mnwk","no","no","2","Male","LPM","curr_pts_grp4-6",0.000454508289716633,2.64979365641497e-06,171.525918109246,0,NA,NA,839042780
