"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","Placebo","mnwk","no","no","all","Male","LPM","(Intercept)",0.000190952161603341,3.69591996443822e-06,51.6656646898917,0,NA,NA,1891258615
"1.1","all","Placebo","mnwk","no","no","all","Male","LPM","policyTRUE",5.17267263369862e-06,1.25480724321426e-06,4.12228464704151,3.75133269835403e-05,NA,NA,1891258615
"1.2","all","Placebo","mnwk","no","no","all","Male","LPM","age_grp20-24",0.000570201315048484,4.30529832129567e-06,132.441766515469,0,NA,NA,1891258615
"1.3","all","Placebo","mnwk","no","no","all","Male","LPM","age_grp25-34",0.000294585186376424,3.28228376446287e-06,89.750066574342,0,NA,NA,1891258615
"1.4","all","Placebo","mnwk","no","no","all","Male","LPM","age_grp35-44",0.00013397846571765,3.0807994112116e-06,43.4882145296697,0,NA,NA,1891258615
"1.5","all","Placebo","mnwk","no","no","all","Male","LPM","age_grp45-54",5.56336060702009e-05,2.99668197916089e-06,18.5650684514007,6.16094933910177e-77,NA,NA,1891258615
"1.6","all","Placebo","mnwk","no","no","all","Male","LPM","age_grp55-64",-4.23070499329897e-05,3.00513701654453e-06,-14.0782432548239,5.16788005973627e-45,NA,NA,1891258615
"1.7","all","Placebo","mnwk","no","no","all","Male","LPM","age_grp65-199",-0.00018329869475549,2.92609763729819e-06,-62.6427130862039,0,NA,NA,1891258615
"1.8","all","Placebo","mnwk","no","no","all","Male","LPM","curr_pts_grp1-3",0.000483860179981951,1.79240744259767e-06,269.949883314872,0,NA,NA,1891258615
"1.9","all","Placebo","mnwk","no","no","all","Male","LPM","curr_pts_grp4-6",0.00109885047573511,3.88954587295579e-06,282.513823368295,0,NA,NA,1891258615
"1.10","all","Placebo","mnwk","no","no","all","Male","LPM","curr_pts_grp7-9",0.00158583411852315,7.10779287594223e-06,223.112032975908,0,NA,NA,1891258615
"1.11","all","Placebo","mnwk","no","no","all","Male","LPM","curr_pts_grp10-150",0.00245692647641073,1.06095488842543e-05,231.576903336302,0,NA,NA,1891258615
