"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","(Intercept)",0.000532891321948809,3.16399591253743e-06,168.423517817204,0,NA,NA,3817878617
"1.1","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policyTRUE",-3.57577496018925e-05,1.078395617299e-06,-33.1582853530627,4.30230743838493e-241,NA,NA,3817878617
"1.2","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy01",0.000108545826950273,3.81765906320549e-06,28.432561722558,8.00724555035411e-178,NA,NA,3817878617
"1.3","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy02",7.99587162685937e-05,3.77180474278975e-06,21.1990603228982,9.74234787462328e-100,NA,NA,3817878617
"1.4","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy03",1.8885522394829e-05,3.71598620485916e-06,5.08223694967801,3.73015701742573e-07,NA,NA,3817878617
"1.5","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy04",-8.17281584377039e-05,3.51605248301408e-06,-23.244294228408,1.62473507638291e-119,NA,NA,3817878617
"1.6","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy05",-7.37695453589863e-05,3.30686579473627e-06,-22.3079949226877,3.09046581993826e-110,NA,NA,3817878617
"1.7","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy06",-0.000109072350703738,3.77087106839549e-06,-28.9249748202471,5.79462311932481e-184,NA,NA,3817878617
"1.8","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy07",-7.35946336258556e-05,3.69365613145606e-06,-19.9246034299474,2.49013686278962e-88,NA,NA,3817878617
"1.9","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy08",-0.000112974214013522,3.61263969352018e-06,-31.271929557813,1.12406471541833e-214,NA,NA,3817878617
"1.10","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy09",-0.000102266633411012,2.43655424770345e-06,-41.9718270206391,0,NA,NA,3817878617
"1.11","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy10",-0.000223871408127142,3.04163589794109e-06,-73.6023033784821,0,NA,NA,3817878617
"1.12","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy11",-0.000111250332253859,3.66908433711576e-06,-30.3210071048167,6.06049470329065e-202,NA,NA,3817878617
"1.13","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy12",-5.2550993162012e-05,3.60798241809036e-06,-14.5652021192017,4.67600903573526e-48,NA,NA,3817878617
"1.14","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","age_grp20-24",0.000167106799254278,3.46870624432357e-06,48.175540816621,0,NA,NA,3817878617
"1.15","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","age_grp25-34",-8.21531297002719e-05,2.86478286663947e-06,-28.6769132337913,7.40513626875927e-181,NA,NA,3817878617
"1.16","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","age_grp35-44",-0.000201830310805257,2.77311539788386e-06,-72.7810717719398,0,NA,NA,3817878617
"1.17","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","age_grp45-54",-0.000298831835287567,2.71157881700617e-06,-110.205845175286,0,NA,NA,3817878617
"1.18","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","age_grp55-64",-0.000400456621621323,2.7090282263709e-06,-147.822978632374,0,NA,NA,3817878617
"1.19","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","age_grp65-199",-0.000536138131967892,2.66344317896813e-06,-201.295126624628,0,NA,NA,3817878617
"1.20","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp1-3",0.000444724810310135,1.20123989130387e-06,370.221479930553,0,NA,NA,3817878617
"1.21","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp4-6",0.00102395272007381,2.53555395353205e-06,403.837874815259,0,NA,NA,3817878617
"1.22","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp7-9",0.00150290037403533,4.64061716532263e-06,323.857866420412,0,NA,NA,3817878617
"1.23","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp10-150",0.00213599500531862,6.33254385751615e-06,337.30441563123,0,NA,NA,3817878617
"1.24","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month02",0.000100715967618631,2.5511380250524e-06,39.4788391022324,0,NA,NA,3817878617
"1.25","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month03",0.000107404277904862,2.49459172714256e-06,43.0548521171791,0,NA,NA,3817878617
"1.26","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month04",3.66534080794598e-05,2.44776972626798e-06,14.9742059827433,1.08253334720067e-50,NA,NA,3817878617
"1.27","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month05",6.73036071585686e-05,2.45702377770082e-06,27.3923304159265,3.38485736506548e-165,NA,NA,3817878617
"1.28","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month06",6.49686868224482e-05,2.47489868362246e-06,26.2510490843023,6.95341633665787e-152,NA,NA,3817878617
"1.29","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month07",6.70870570688059e-05,2.45305302477647e-06,27.3483925505113,1.12853772851037e-164,NA,NA,3817878617
"1.30","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month08",-9.2573289978967e-06,2.39211904253147e-06,-3.86992822401517,0.00010886740204921,NA,NA,3817878617
"1.31","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month09",0.00018047853957911,2.57074221455079e-06,70.2048375591977,0,NA,NA,3817878617
"1.32","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month10",0.00014228696467093,2.51955772367221e-06,56.4729925947277,0,NA,NA,3817878617
"1.33","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month11",0.000128021342938098,2.53248062571191e-06,50.5517561075557,0,NA,NA,3817878617
"1.34","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month12",-0.000301859568612652,2.12546193691773e-06,-142.020688947457,0,NA,NA,3817878617
"1.35","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayMonday",0.000220457179020012,1.52814821729272e-06,144.264264765217,0,NA,NA,3817878617
"1.36","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayTuesday",0.000291476863167777,1.57021298792396e-06,185.628870356721,0,NA,NA,3817878617
"1.37","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayWednesday",0.000333023800195906,1.59411900269817e-06,208.907741286716,0,NA,NA,3817878617
"1.38","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayThursday",0.000295659289744215,1.57534434538e-06,187.679151298758,0,NA,NA,3817878617
"1.39","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayFriday",0.000239950019096133,1.54272613316848e-06,155.53636769173,0,NA,NA,3817878617
"1.40","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdaySaturday",5.07363663670101e-05,1.42273063656872e-06,35.661259456234,1.57681634408893e-278,NA,NA,3817878617
"2","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","(Intercept)",0.000146604099736772,2.26791659144938e-06,64.6426329299351,0,NA,NA,3432552779
"2.1","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policyTRUE",2.30487819550327e-05,7.81211812131148e-07,29.5038830661758,2.56713716921552e-191,NA,NA,3432552779
