"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","4 yr.","mnwk","no","with","all","Male","LPM","(Intercept)",0.000479300290839188,3.02764352519481e-06,158.308032914261,0,NA,NA,3817878617
"1.1","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE",-1.77622333549246e-05,8.55033130097321e-07,-20.7737369812827,7.48066904899222e-96,NA,NA,3817878617
"1.2","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp20-24",0.000154397622385753,3.46916212423615e-06,44.5057385202914,0,NA,NA,3817878617
"1.3","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp25-34",-9.58693936887546e-05,2.86815815673472e-06,-33.4254209321211,5.8593946758258e-245,NA,NA,3817878617
"1.4","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp35-44",-0.000212925709379419,2.77661455573012e-06,-76.6853681365326,0,NA,NA,3817878617
"1.5","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp45-54",-0.000309958169809254,2.71593674603338e-06,-114.125695402129,0,NA,NA,3817878617
"1.6","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp55-64",-0.000411863950494791,2.71366282457489e-06,-151.774180183683,0,NA,NA,3817878617
"1.7","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp65-199",-0.000548789996515355,2.6683691088554e-06,-205.664948936078,0,NA,NA,3817878617
"1.8","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg1",0.000420994235995024,5.75347078211936e-06,73.1722210710429,0,NA,NA,3817878617
"1.9","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg2",0.000463154225686054,2.70575187343746e-06,171.173946226507,0,NA,NA,3817878617
"1.10","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg3",0.000536922103983879,2.42880393065033e-06,221.064408373267,0,NA,NA,3817878617
"1.11","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg4",0.000980301859584181,7.58621063874963e-06,129.221545019709,0,NA,NA,3817878617
"1.12","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg5",0.00107733196884623,5.78501872874108e-06,186.227913747942,0,NA,NA,3817878617
"1.13","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg6",0.00126836399445707,6.97427600037714e-06,181.86317753821,0,NA,NA,3817878617
