"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",4.73524780903192e-12,-8.18005149529925e-14,-3.51959587847915e-12,-3.51027215535484e-12,-3.5154698611415e-12,-3.48797103254352e-12,-3.47007728683564e-12,-3.45504737849108e-12,-6.05821873189546e-14,-9.33150579422864e-14,-1.22299388172106e-13,-1.88273179966704e-13,-1.56713695343801e-13,-1.84255600206944e-13,-2.21424017700749e-13,-2.52024085330794e-13,-2.26646479164365e-13,-2.61221038997115e-13,-9.64376157313536e-13,-9.58201009429683e-13,-1.01777833609305e-12,-9.95770925323446e-13,-9.87650341126066e-13,-9.72198559774171e-13,-9.58471803589105e-13,-9.80873162169207e-13,-9.58329777025332e-13,-9.75172745119564e-13,-9.47748499009196e-13,-4.31535206252946e-13,-4.40077462465151e-13,-4.45990327768795e-13,-4.3989231053941e-13,-4.39343628951289e-13,-4.00733269237435e-13,4.20759395505101e-14,4.12197544691923e-14,3.06230731352219e-14,3.16465275447491e-14,3.47088857826749e-14,4.06070697079397e-14,1.03519033416717e-14,8.30395326683096e-14,-5.86810300576902e-14,-8.72850860226511e-14
"policyTRUE",-8.18005149529985e-14,3.45656049842969e-13,-8.88046593237936e-14,-1.0350379809235e-13,-8.89222190813964e-14,-1.12020807198198e-13,-1.20058251114131e-13,-1.23099111106137e-13,1.72342020418071e-13,1.72791918546179e-13,1.7298007076924e-13,1.71202246477696e-13,1.71098062626715e-13,1.71542352554409e-13,1.69094874020027e-13,1.69701818866177e-13,1.74470431781274e-13,1.69457317331853e-13,1.50388750987033e-14,2.07579267482081e-14,2.81125795448007e-14,2.04408251763553e-14,1.7487231314935e-14,1.39059900895092e-14,7.04613402219979e-15,1.41306066117593e-14,1.51164081856124e-14,7.94818576801456e-15,6.5534638192144e-15,1.74162515379921e-15,6.36899145764547e-16,3.80880663468722e-16,-1.1427959592318e-15,2.65549497186171e-15,1.97459322569933e-15,-3.49031787715478e-13,-3.48807735732231e-13,-3.49472823931875e-13,-3.49888696541074e-13,-3.49347474057113e-13,-3.50016772918951e-13,-3.49562321877063e-13,-3.49658826876215e-13,-3.50866056782637e-13,-3.51982374443261e-13
"age_grp20-24",-3.51959587847917e-12,-8.88046593237959e-14,5.82891553240198e-12,3.53980184439643e-12,3.54003692901059e-12,3.54522009265316e-12,3.5492642008885e-12,3.55260044082408e-12,-1.14812479319808e-13,-1.18209303123952e-13,-1.02964138012998e-13,-1.28342207421744e-13,-1.32804757437572e-13,-1.18950865495936e-13,-2.319881184818e-13,-2.10712228181007e-13,-1.21012131650933e-13,-6.68843856195858e-14,-7.30505319861991e-15,-1.24406106777466e-14,2.76122063889355e-14,2.26148946466647e-14,1.45432418551784e-14,2.04752892647311e-14,9.24133706687526e-15,8.88696623721388e-15,6.30278012244889e-15,3.46403420554962e-15,-2.76088420618099e-15,1.58396534583385e-14,1.10457559784181e-14,1.00640220107902e-14,8.69414846232796e-15,4.06167785768787e-15,-1.62289457703829e-15,4.94556651088185e-14,7.67419739118421e-14,7.25765040262256e-14,6.76483202303548e-14,1.7870933237215e-14,-1.35940926903443e-14,7.76520275997171e-14,3.14873468946255e-14,1.4202006063976e-13,-9.64741425280531e-14
"age_grp25-34",-3.51027215535486e-12,-1.03503798092353e-13,3.53980184439643e-12,4.3255312308386e-12,3.54352395134288e-12,3.5461714503613e-12,3.54820142726488e-12,3.54968587955408e-12,-1.9539413546394e-13,-1.7081121807402e-13,-1.49145487758878e-13,-1.75836629333646e-13,-2.04306073889243e-13,-1.97020733844647e-13,-2.05370705024075e-13,-2.46166512831354e-13,-6.98500699763656e-14,-2.29094033564362e-13,-5.84520655973744e-15,-1.87888364842279e-14,2.87430667409141e-14,1.60310866052808e-14,1.00634821188561e-14,6.07808912594973e-15,-5.96521853130005e-15,-2.19303290156812e-15,-3.75832519674854e-15,3.23595538462314e-16,4.23472299764827e-15,1.83974615305359e-14,2.49146742094066e-14,2.67888289743054e-14,2.51781074564572e-14,1.37715654597171e-14,3.05662964834483e-15,1.13149671911022e-13,1.15009471072618e-13,1.22357126019945e-13,1.08123037618202e-13,1.09790234645551e-13,9.17368911809143e-14,9.21034972118634e-14,9.70853134360158e-14,1.13373064856904e-13,1.57832648697274e-13
"age_grp35-44",-3.5154698611415e-12,-8.89222190813989e-14,3.54003692901058e-12,3.54352395134287e-12,4.17773303632076e-12,3.54356420206399e-12,3.5448148781746e-12,3.54570358333351e-12,-1.67284820361443e-13,-1.6864091885302e-13,-1.3701228596309e-13,-1.32242642774757e-13,-1.91445603095896e-13,-1.97408831062812e-13,-1.54968728148634e-13,-2.33409266428438e-13,-7.48845803092789e-14,-1.89588977888911e-13,-3.25702948874027e-15,-1.91292235964996e-14,2.0778302042731e-14,1.2073153802574e-14,3.72039033765296e-15,-3.73683970080365e-15,-1.28487335936472e-14,-8.75325416923658e-15,-1.19297700909349e-14,-8.29975390382506e-16,5.18886975543322e-15,2.21493538822906e-14,3.21570035546365e-14,3.62584755692738e-14,3.46397601355848e-14,1.99323943431923e-14,4.61856789232769e-15,8.46478924363236e-14,1.14943359673428e-13,1.10482182301814e-13,8.25460782739794e-14,1.0333045188298e-13,9.17412175274375e-14,5.82992989798781e-14,8.81941736666016e-14,1.29232508861204e-13,1.65843713619741e-13
"age_grp45-54",-3.48797103254352e-12,-1.12020807198201e-13,3.54522009265315e-12,3.54617145036129e-12,3.54356420206399e-12,3.93695280985792e-12,3.54374336857481e-12,3.54361588030835e-12,-1.6057346456189e-13,-1.53223185560277e-13,-1.27420928967071e-13,-1.33677934020122e-13,-1.52978600384676e-13,-1.81781762394942e-13,-1.12204009215059e-13,-1.84968455967167e-13,-6.22221465410282e-14,-1.75121218663144e-13,-1.18545480281612e-14,-2.87982171007888e-14,2.51257152205463e-14,1.57015960269045e-14,7.90194279998923e-15,-1.3038090593996e-15,-1.00044519357275e-14,-1.2516343706349e-14,-1.75420843286397e-14,-8.42700912662553e-15,1.57373302550422e-14,8.54802075518612e-15,1.55715633742532e-14,1.72861781871799e-14,1.6731399896697e-14,7.10180478170492e-15,1.04995847848728e-15,1.10358643039267e-13,1.26493513773e-13,1.3392397895867e-13,1.30611504817826e-13,1.02725792558143e-13,1.34820356163933e-13,7.16537267711747e-14,9.03950430306901e-14,1.51957532878e-13,1.99586114325751e-13
"age_grp55-64",-3.47007728683562e-12,-1.20058251114134e-13,3.54926420088848e-12,3.54820142726485e-12,3.54481487817459e-12,3.54374336857479e-12,3.9018112776667e-12,3.54140248778975e-12,-1.45897730255924e-13,-1.40493355211431e-13,-1.19898957968762e-13,-1.11637175420595e-13,-1.38061561940055e-13,-1.4540454931915e-13,-9.62537189616554e-14,-1.62563500404153e-13,-9.23237264376461e-14,-1.08357102019861e-13,-1.98693280237001e-14,-3.64056476095286e-14,2.28978142678317e-14,1.2957083998246e-14,7.22520698215883e-15,-1.77320823172246e-15,-8.86671733157558e-15,-1.67682941265817e-14,-2.12666837129113e-14,-1.47356876808251e-14,2.42975050015134e-14,6.07529727494644e-16,2.45688333057091e-15,5.18779078456226e-15,5.01366992226546e-15,-4.12331535085423e-15,-2.25006421587393e-15,1.2358836985812e-13,1.44612627578677e-13,1.43483361487119e-13,1.49094244527732e-13,1.27345995963601e-13,1.17331828719232e-13,1.00448177083487e-13,1.39344345111931e-13,1.89674139247443e-13,1.84845717032471e-13
"age_grp65-199",-3.45504737849107e-12,-1.2309911110614e-13,3.55260044082406e-12,3.54968587955407e-12,3.54570358333351e-12,3.54361588030835e-12,3.54140248778976e-12,3.82912840158734e-12,-1.16336515626023e-13,-1.16668664251498e-13,-1.13507539487619e-13,-8.03488476894338e-14,-1.10830617384556e-13,-1.30171426559217e-13,-7.2637641294964e-14,-1.31289422364109e-13,-1.92441165875364e-13,-1.05827119954023e-13,-2.38955751273324e-14,-4.29672905757637e-14,2.15522610659674e-14,1.13994444390401e-14,4.45831040469085e-15,-2.22937422403277e-16,-6.50874700811185e-15,-2.03289620610186e-14,-2.46240604871337e-14,-1.83671345186513e-14,3.27154247198145e-14,-1.02642745662678e-14,-9.97891629059039e-15,-1.01674710932768e-14,-8.15670798175876e-15,-1.46223343681818e-14,-4.93882439515748e-15,1.16528498324622e-13,1.46423018977628e-13,1.48812407586151e-13,1.36623708220551e-13,1.29359293500106e-13,1.32884493865566e-13,1.0974605077667e-13,1.16399707848949e-13,2.02687242251182e-13,1.85828590686054e-13
"curr_pts_reg1",-6.05821873189476e-14,1.72342020418071e-13,-1.14812479319812e-13,-1.95394135463941e-13,-1.67284820361446e-13,-1.60573464561893e-13,-1.45897730255929e-13,-1.16336515626027e-13,3.23039031464851e-11,1.81155326374273e-13,1.77921843092918e-13,1.8087399979296e-13,1.82762172337207e-13,1.8116103780263e-13,1.84851316057756e-13,1.85056522991394e-13,1.61126135441851e-13,1.78822299387665e-13,-9.39742437252717e-15,1.22588956096237e-15,-9.74531381860461e-16,1.40764530833238e-14,2.5895944586314e-15,-6.19591190533106e-17,4.72916036419036e-15,2.7229181767062e-14,2.40354212244623e-14,1.15979905264805e-14,-4.86045796116874e-14,3.54171230519976e-14,4.66954514104549e-14,4.87622903024038e-14,4.61018502862595e-14,2.82251059033659e-14,-3.3059280671747e-15,-3.2296888115297e-11,-1.73973220164663e-13,-1.74765557235279e-13,-1.72366220306958e-13,-1.74649622721355e-13,-1.73354764638995e-13,-1.74812712839204e-13,-1.74495878776862e-13,-1.71327483553939e-13,-1.7371027307175e-13
"curr_pts_reg2",-9.33150579422821e-14,1.72791918546179e-13,-1.18209303123956e-13,-1.70811218074023e-13,-1.68640918853021e-13,-1.53223185560277e-13,-1.40493355211433e-13,-1.166686642515e-13,1.81155326374273e-13,7.23767723825001e-12,1.77990830814545e-13,1.80696086828659e-13,1.82973301466891e-13,1.8206516563543e-13,1.83930485371066e-13,1.85320209552891e-13,1.62302875672959e-13,1.81751415658019e-13,8.26589719844625e-15,1.81300947598616e-15,1.70527518073829e-14,2.086342072937e-14,1.71836106916481e-14,1.43385093892666e-15,-4.97029735472427e-16,2.45963400403044e-14,2.35565383896165e-14,2.52244785802649e-14,-5.06511039932954e-14,6.26615465016738e-14,7.64928921396156e-14,8.20332325065105e-14,7.95564848287513e-14,5.25181870954728e-14,5.80686180450349e-15,-1.74111605172348e-13,-7.23089810563264e-12,-1.74705102483876e-13,-1.72458852085917e-13,-1.74760559327688e-13,-1.73739532940756e-13,-1.73525137410868e-13,-1.73633015345418e-13,-1.70252282046686e-13,-1.74875506777224e-13
