"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",9.16662531565405e-12,-1.33153211437622e-13,-6.45069203760985e-12,-6.42930881687757e-12,-6.43426034510256e-12,-6.41281794452661e-12,-6.39982307812114e-12,-6.38240066081195e-12,-7.06925762181266e-14,-1.10351801571058e-13,-1.56674279815817e-13,-2.58856542069215e-13,-1.64150842048852e-13,-1.78344996658663e-13,-2.94783757622495e-13,-2.13892649478766e-13,-2.39348772660295e-13,-2.5527483331969e-13,-2.03330494527319e-12,-2.00273152488086e-12,-2.10771998230614e-12,-2.06861101945909e-12,-2.04408117276398e-12,-2.02015372341191e-12,-1.99779229389235e-12,-2.03000344331607e-12,-1.99300613649055e-12,-2.03609781329938e-12,-2.00108900005713e-12,-1.05607104179778e-12,-1.06306673556541e-12,-1.06890237165886e-12,-1.06168636766448e-12,-1.06345288966293e-12,-9.84607688450603e-13,4.41657450125562e-14,5.05423810614129e-14,2.12966396406168e-14,-3.07352369986656e-14,3.04057378367063e-14,2.62905314300655e-15,-3.2829232559436e-14,6.75142564083026e-15,-1.29946407535369e-13,-2.53633632926445e-13
"policyTRUE",-1.33153211437624e-13,7.31081653564022e-13,-2.35942835742439e-13,-2.69662724287563e-13,-2.32516865782931e-13,-2.6988590801611e-13,-2.84758733815393e-13,-2.91523221867411e-13,3.74769309894046e-13,3.75372537168917e-13,3.7277854198017e-13,3.67808178153796e-13,3.7153441891319e-13,3.71519548495718e-13,3.65722935155041e-13,3.68858039555444e-13,3.70603213530608e-13,3.66710749192786e-13,1.54900792020523e-14,1.94625365705527e-14,5.01613582044369e-14,4.6541051038323e-14,3.77615603190407e-14,2.72840943540423e-14,1.99728231917543e-14,2.42412588421532e-14,2.60451664877582e-14,1.26295957515764e-14,1.53164319736638e-14,2.46651588978068e-15,-2.89161400855524e-16,-2.61200568339753e-15,-5.39858016843278e-15,9.2972588565955e-16,2.08103117852995e-15,-7.3719269126024e-13,-7.37798515307719e-13,-7.39828043529683e-13,-7.40240353281302e-13,-7.39816553368282e-13,-7.4151633429014e-13,-7.41285836097834e-13,-7.41168955202253e-13,-7.44460209321812e-13,-7.50363397838866e-13
"age_grp20-24",-6.45069203760984e-12,-2.3594283574244e-13,1.20350858442347e-11,6.60822204044514e-12,6.59671630594961e-12,6.60001829567895e-12,6.59847506419875e-12,6.59399613051215e-12,-3.36892487220393e-13,-3.3396794071569e-13,-3.59987393765984e-13,-5.06185432046569e-13,-4.91810324870945e-13,-5.26512986882672e-13,-7.14347888995683e-13,-6.78860341856173e-13,-6.20544813795068e-13,-1.03097895998611e-12,-1.0313960776544e-14,-2.34243777542571e-14,5.28704910965917e-14,4.45635192850265e-14,2.96091940939915e-14,3.09409197090608e-14,7.50931196841667e-16,6.16941871015239e-15,-1.36527906078139e-15,3.30341638024569e-15,-1.07247778139634e-14,-3.63814745873201e-15,-8.49159493472653e-15,-5.41679893414902e-15,-3.56085451272781e-15,-4.00789066093601e-15,-3.99812702523688e-15,2.15993743126498e-13,2.10154168678725e-13,2.35747736496212e-13,3.73798124482113e-13,1.60679947226076e-13,1.78551527771416e-13,3.61490098642981e-13,1.46801438105279e-13,2.25864266480182e-13,3.34257533308235e-13
"age_grp25-34",-6.42930881687754e-12,-2.69662724287564e-13,6.60822204044515e-12,8.22633121204391e-12,6.59553545544516e-12,6.59789306372648e-12,6.59579782977906e-12,6.59077396026996e-12,-4.11291907774231e-13,-3.81409794593448e-13,-3.63493054317467e-13,-3.65814579018132e-13,-4.80994281802658e-13,-5.02079134811214e-13,-4.85893161009551e-13,-6.03118721921839e-13,-4.54206532895627e-13,-6.77945655722869e-13,-8.98884556592561e-15,-3.97610862708087e-14,3.69965580162968e-14,1.03666867154121e-14,-8.51583050974681e-15,-7.99368073386706e-15,-3.71653406333571e-14,-3.18627921984362e-14,-3.10582773147869e-14,-1.41709594277411e-14,-2.61881935915985e-16,2.20628684745688e-14,2.46122120855703e-14,2.73658645380293e-14,2.54891280429978e-14,9.55045946821124e-15,-4.34408780636751e-15,3.13621384981588e-13,3.06631134088325e-13,3.39928276150979e-13,4.01567816440902e-13,3.23199826459311e-13,3.59404307672981e-13,4.30221024090104e-13,3.89178174330964e-13,4.43991083463615e-13,6.25956632273431e-13
"age_grp35-44",-6.43426034510256e-12,-2.32516865782933e-13,6.59671630594963e-12,6.59553545544518e-12,7.70958839109238e-12,6.58360548458873e-12,6.58087376071004e-12,6.5758985429868e-12,-3.65539090066371e-13,-3.32909443681599e-13,-2.94527712273373e-13,-2.6621577853883e-13,-3.62779417619625e-13,-3.76643349027407e-13,-3.03189896023702e-13,-3.87902275048262e-13,-2.99618752180184e-13,-3.86820981900824e-13,-8.98439194258569e-15,-4.4473241495741e-14,1.44062860790573e-14,-1.3500438767137e-14,-3.68545644574299e-14,-4.38038657309021e-14,-6.58068991046586e-14,-5.86484404552436e-14,-5.22400546787891e-14,-2.25902544819878e-14,3.94296251012265e-15,3.58951562733004e-14,4.38836891930099e-14,4.75665189201916e-14,4.56729409149675e-14,2.004916441022e-14,-6.91172907669047e-15,2.97127511067744e-13,2.89611834505574e-13,3.2312053582953e-13,3.65770159168525e-13,3.02490600239044e-13,3.39407748993058e-13,3.72653542222112e-13,3.18696711178656e-13,4.01852028689651e-13,5.58224214057293e-13
"age_grp45-54",-6.41281794452657e-12,-2.69885908016113e-13,6.60001829567894e-12,6.59789306372647e-12,6.5836054845887e-12,7.37631240845436e-12,6.58061615092744e-12,6.57477611377069e-12,-3.72756737181984e-13,-3.45574537367611e-13,-2.8336198610467e-13,-2.415187515298e-13,-3.36684180516676e-13,-3.37681851410656e-13,-2.32928723415518e-13,-3.291798914147e-13,-2.82782727827269e-13,-3.29082683334374e-13,-1.30633017852648e-14,-5.30207200130793e-14,2.74451942429096e-14,-3.81935554822562e-15,-2.99818149969262e-14,-4.16804737427148e-14,-5.89040188093415e-14,-5.56117038617715e-14,-4.97969586644126e-14,-2.35792648045497e-14,1.52936754379089e-14,3.19789316760688e-14,3.72559257326897e-14,4.14511921257349e-14,4.12105665032351e-14,1.49923264143193e-14,-8.60626483268396e-15,3.28513426600833e-13,3.31214107562949e-13,3.60503305082885e-13,3.90526219442441e-13,3.42344082018707e-13,3.65423335641626e-13,3.81710427909168e-13,3.57621816536163e-13,4.52600548659134e-13,5.92414884050522e-13
"age_grp55-64",-6.39982307812111e-12,-2.84758733815398e-13,6.59847506419874e-12,6.59579782977905e-12,6.58087376071002e-12,6.58061615092745e-12,7.36396592547975e-12,6.57016373061249e-12,-3.47688687298596e-13,-3.28708567331591e-13,-2.68208540753427e-13,-2.14141638544221e-13,-2.9423133612841e-13,-2.98580653030588e-13,-2.04467056809884e-13,-2.8030550528838e-13,-2.2960024204089e-13,-2.75300011000021e-13,-2.06544736035031e-14,-5.7306843635371e-14,3.39792333533635e-14,3.70984082528869e-15,-2.27272722849182e-14,-3.89951414283141e-14,-5.18377184175652e-14,-5.253373739424e-14,-4.92018370139141e-14,-2.37169784800077e-14,2.86349496450704e-14,3.21028160877467e-14,3.37596718518035e-14,3.58784128175855e-14,3.66295130827584e-14,7.67738001445062e-15,-1.50830440992456e-14,3.32469167622392e-13,3.49177520880597e-13,3.80189019337963e-13,4.10281032752053e-13,3.51771990461182e-13,3.92488283099894e-13,4.21161236568234e-13,3.63111906900883e-13,4.51907902190209e-13,6.03932208957749e-13
"age_grp65-199",-6.38240066081191e-12,-2.91523221867414e-13,6.59399613051214e-12,6.59077396026995e-12,6.57589854298678e-12,6.57477611377069e-12,6.57016373061249e-12,7.12019370109378e-12,-3.13152580235692e-13,-2.90467807866066e-13,-2.5003054741099e-13,-1.50394004911948e-13,-2.39213565852058e-13,-2.64881317247052e-13,-1.36973942236875e-13,-2.21753568985333e-13,-2.52799690844634e-13,-2.40788855757373e-13,-2.99562017929045e-14,-6.3670169260607e-14,4.0057409609145e-14,9.95169173638129e-15,-1.78923736463664e-14,-3.3775572117794e-14,-4.24262670876217e-14,-5.55158013751498e-14,-5.04837151421205e-14,-2.84386487089743e-14,4.68413439307328e-14,2.43143433842368e-14,2.54175605457445e-14,2.55213987611325e-14,2.56169328473842e-14,-6.28329725212057e-15,-1.74414461270991e-14,3.5265252606086e-13,3.62827757717255e-13,3.93494399255403e-13,4.25005968429935e-13,3.65548271966325e-13,3.99600951037114e-13,4.17102443532902e-13,3.74465431200637e-13,4.81664522889312e-13,6.12756305563955e-13
"curr_pts_reg1",-7.06925762181239e-14,3.74769309894045e-13,-3.36892487220396e-13,-4.11291907774233e-13,-3.65539090066371e-13,-3.72756737181984e-13,-3.47688687298597e-13,-3.13152580235695e-13,3.31024260407011e-11,3.848102742421e-13,3.8214259266388e-13,3.85370361846248e-13,3.90534031557417e-13,3.89389582406674e-13,3.91409207993249e-13,3.95916683470561e-13,3.82043781829756e-13,3.94691450182998e-13,1.62619132072686e-14,8.60347327112148e-15,-3.7611397129164e-15,1.77203332547508e-14,1.03862727438257e-14,-3.80561961256683e-15,4.22677785303275e-15,2.12443012191077e-14,2.06120215261331e-14,3.98711748780537e-14,-3.60996895562922e-14,4.03244478043385e-14,3.61877695582928e-14,4.68799940920468e-14,3.94143806950349e-14,3.51565204983552e-14,6.28969077655794e-15,-3.3094326403685e-11,-3.76676885648501e-13,-3.78699391811749e-13,-3.81437215575274e-13,-3.7742643591137e-13,-3.79229558323365e-13,-3.82848337643351e-13,-3.80291847565061e-13,-3.81391939048235e-13,-3.89723946005006e-13
"curr_pts_reg2",-1.10351801571048e-13,3.75372537168916e-13,-3.33967940715697e-13,-3.81409794593455e-13,-3.32909443681603e-13,-3.45574537367617e-13,-3.28708567331596e-13,-2.9046780786607e-13,3.84810274242101e-13,7.32109320061033e-12,3.81838666570842e-13,3.8594868569241e-13,3.90217527970821e-13,3.89565100757206e-13,3.92538305791467e-13,3.96494408583705e-13,3.82843573757985e-13,3.9778391758793e-13,1.40655962066553e-14,2.55214447262305e-15,1.36075422408904e-14,2.59279361413998e-14,2.23103753914458e-14,1.47568267067182e-14,6.56078492238719e-15,3.14771890792606e-14,3.09542812738487e-14,2.98272635954275e-14,-5.10036488432677e-14,4.8577156415356e-14,6.09287622810016e-14,6.81659101497784e-14,6.26685607478125e-14,4.61945255511255e-14,3.62637495883738e-15,-3.76626989696452e-13,-7.31323543431626e-12,-3.78093728237411e-13,-3.81078311627523e-13,-3.76884419599405e-13,-3.78271322983316e-13,-3.82703301897984e-13,-3.79554323632566e-13,-3.79909511561858e-13,-3.87783860648217e-13
