"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",4.54611704507067e-12,-3.32662908204152e-12,-3.31390739680231e-12,-3.31855697394056e-12,-3.32049539540623e-12,-3.31042495202138e-12,-3.2987337410376e-12,-3.28802491456397e-12,-7.92414325042587e-15,-5.66797791638345e-14,-9.97081738158722e-14,-1.75468250976055e-13,-1.25942097032098e-13,-1.44596762180923e-13,-2.17051026149134e-13,-1.89451244516571e-13,-2.46394223254159e-13,-2.36070957789185e-13,-9.76457714720944e-13,-9.8397454793951e-13,-1.01674296809937e-12,-1.00249186225318e-12,-9.99151928981624e-13,-9.76085650750222e-13,-9.67692326998624e-13,-9.99879049992721e-13,-9.73141090900623e-13,-9.89447468451062e-13,-9.29502116192136e-13,-4.49627037581263e-13,-4.62888401328251e-13,-4.72592184758264e-13,-4.60531474595869e-13,-4.56032030214764e-13,-4.05242587826574e-13,3.31135138708146e-12,3.3163481030632e-12,3.31827202975965e-12,3.32628215799547e-12,3.32716482117899e-12,3.32906249895924e-12,-5.02238633736978e-14,-9.01067355984609e-15,1.72589730129318e-14,2.19752311185791e-14,-3.17621369863706e-14,-4.54762314531164e-14,-2.65961857358996e-14,-5.30465265905587e-14,3.4358830435835e-14,-8.78200829545983e-14
"policyTRUE",-3.3266290820413e-12,1.30961696500331e-11,3.28451105607635e-12,3.28098617043612e-12,3.27998066570697e-12,3.27690157888586e-12,3.27358153492136e-12,3.27061404896747e-12,-2.4100566176971e-14,-2.70212840711424e-15,3.19811821297199e-14,4.38830749063326e-14,-3.5138048351279e-15,-2.21312550208834e-14,4.72086788905022e-14,-6.82004531330703e-14,1.08570387219834e-13,6.50291300407691e-15,3.79629291097465e-14,6.93839523488558e-14,2.55515951540991e-14,3.2225412740738e-14,3.81760563722876e-14,2.04816823255624e-14,2.36133582110128e-14,4.91580537885002e-14,4.25140925841869e-14,3.43698105815933e-14,-2.74909585947261e-14,3.55382031733437e-14,4.32773132050545e-14,5.01124550979769e-14,3.7461404040639e-14,3.38866591293209e-14,1.0390660718732e-14,-1.31691159329862e-11,-1.31487591440137e-11,-1.3143261207927e-11,-1.31285987528599e-11,-1.31155404552664e-11,-1.31027560537401e-11,-9.41796603012393e-14,-1.37440928170731e-13,-2.35887280001841e-13,-2.36364122463212e-13,-9.56394975720084e-14,-6.51398229780844e-14,-1.67736412533989e-13,3.80617313436738e-14,-4.41873809913362e-13,-2.83092429037253e-13
"age_grp20-24",-3.31390739680224e-12,3.28451105607644e-12,7.55562800067534e-12,3.23523591054995e-12,3.2412253703751e-12,3.25504474436564e-12,3.26799168473919e-12,3.27796320143475e-12,-1.33681511325524e-13,-1.32772214648809e-13,-1.06818823325175e-13,-1.48695585033297e-13,-1.46571482480431e-13,-1.17922261170124e-13,-3.38606003284813e-13,-2.98619430160996e-13,-1.27952630888391e-13,-3.39875699698098e-15,3.60030869351368e-15,7.68844490736037e-15,9.63841608547769e-15,1.39626938695696e-14,1.69397667224889e-14,1.80778006523998e-14,1.24916970353572e-14,2.11910645988768e-14,1.97760861732777e-14,1.68938941078841e-14,-2.2134163667515e-14,3.00726405336253e-14,2.91607697727465e-14,3.33095695261964e-14,2.49268950817384e-14,1.92940149316648e-14,2.36352104541864e-15,-7.55630657066594e-12,-3.23575413552654e-12,-3.24173891568088e-12,-3.25555882910478e-12,-3.26845999076644e-12,-3.27836746152382e-12,1.33803889425534e-13,1.32685920887954e-13,1.06487785618657e-13,1.48446370742696e-13,1.46056170355291e-13,1.17267133661905e-13,3.37905633782039e-13,2.97652551360894e-13,1.26969657573117e-13,2.0354018896144e-15
"age_grp25-34",-3.3185569739404e-12,3.28098617043617e-12,3.23523591054988e-12,4.80220811490325e-12,3.25752989956929e-12,3.26722546023812e-12,3.27608007745737e-12,3.28193468603755e-12,-3.00670579693818e-13,-2.39672299585998e-13,-2.02765504572553e-13,-2.52026586294208e-13,-2.97113801094147e-13,-2.80935126882456e-13,-3.0022114969977e-13,-3.8181081609945e-13,-3.59949784535057e-14,-3.49971259389764e-13,1.62663863955032e-15,1.43539129024006e-15,2.16962252055771e-14,1.95959575366931e-14,1.7557382078729e-14,8.11780879022308e-15,1.62163495882906e-15,1.66973858690157e-14,7.86531426200418e-15,1.14348442555667e-14,-1.64593409701527e-14,3.54180374745913e-14,4.58481863120469e-14,5.00404767697971e-14,4.43345409480328e-14,2.86910889509165e-14,7.91227409159852e-15,-3.23587094437489e-12,-4.80271407918945e-12,-3.25805653892576e-12,-3.26772620784779e-12,-3.27651550228789e-12,-3.28229281290538e-12,3.00879637592553e-13,2.39646080375222e-13,2.02462067836061e-13,2.51898198300528e-13,2.96654625474449e-13,2.80399876059581e-13,2.99644285652899e-13,3.80983697494863e-13,3.51730755148675e-14,3.4889857575412e-13
"age_grp35-44",-3.32049539540614e-12,3.27998066570709e-12,3.24122537037509e-12,3.25752989956936e-12,4.43881019831464e-12,3.26801730044518e-12,3.27565897495763e-12,3.28067932441819e-12,-2.41220056357218e-13,-2.31325728961836e-13,-1.75487999317437e-13,-1.60766724192036e-13,-2.65477896295122e-13,-2.76043446357152e-13,-1.93774348460271e-13,-3.50027447640386e-13,-4.4892149816648e-14,-2.66062489150848e-13,7.81427901126195e-15,4.4093450140033e-15,1.5077164601529e-14,1.5896369673835e-14,1.28451931067076e-14,-3.20053963964975e-15,-4.18458026260113e-15,7.10819035402435e-15,-1.80948817980405e-15,1.36063554090882e-14,-1.34393503872724e-14,4.02746716999327e-14,5.38523046027113e-14,6.17130255330076e-14,5.44301815401754e-14,3.58239945094262e-14,8.75205019264102e-15,-3.24201354127071e-12,-3.25810733217952e-12,-4.43936332724133e-12,-3.26858642543724e-12,-3.2761951651938e-12,-3.28115523635699e-12,2.4121302703046e-13,2.312124444367e-13,1.75142018844304e-13,1.60451559451087e-13,2.64925421000953e-13,2.7528062669587e-13,1.92990685193611e-13,3.48968379541348e-13,4.37278066723289e-14,2.64477272389364e-13
"age_grp45-54",-3.31042495202125e-12,3.2769015788859e-12,3.2550447443656e-12,3.26722546023816e-12,3.26801730044515e-12,4.08622321648257e-12,3.27701007004169e-12,3.2795576227348e-12,-2.32375268342493e-13,-2.06154258284465e-13,-1.60621349857302e-13,-1.69433489212414e-13,-1.9603927626868e-13,-2.52598158335426e-13,-1.1508389255696e-13,-2.61192639580856e-13,-2.14140394712684e-14,-2.43867232622932e-13,1.00602866531302e-15,-5.35421323720309e-16,2.67478107867981e-14,2.44028009030804e-14,2.16414268399839e-14,3.17116161383552e-15,-5.64766656229516e-17,7.70955014109187e-15,-1.22987462079501e-15,7.54806361825128e-15,-3.62589826140045e-15,2.81285839791247e-14,4.0765480409064e-14,4.67192045347653e-14,4.03563309316015e-14,2.47545395050547e-14,5.62253319537083e-15,-3.25561689818376e-12,-3.26769589673585e-12,-3.26852157777106e-12,-4.08668860057738e-12,-3.27740278943134e-12,-3.27987022980825e-12,2.32615211517743e-13,2.06159793923608e-13,1.60351309890611e-13,1.693804311887e-13,1.95635888194108e-13,2.5216027813064e-13,1.14603267742649e-13,2.60486655137735e-13,2.07270954106488e-14,2.43026733084723e-13
"age_grp55-64",-3.29873374103753e-12,3.27358153492151e-12,3.26799168473919e-12,3.27608007745745e-12,3.27565897495764e-12,3.27701007004174e-12,4.06517918008201e-12,3.27832763114219e-12,-2.01160339535408e-13,-1.78991245370565e-13,-1.43901619204535e-13,-1.22228141885296e-13,-1.6319710856822e-13,-1.75985822944504e-13,-7.8871630673422e-14,-2.12348658062669e-13,-8.0272270796535e-14,-1.04226960703234e-13,-4.74355272767289e-15,-4.72934826144577e-15,2.66707295872209e-14,2.41432413224258e-14,2.23233170504196e-14,4.87146563280357e-15,2.23440404026169e-15,5.10064237505186e-15,-2.525162234581e-15,7.62260766169443e-16,5.54120024716594e-15,2.07975931165426e-14,2.80581900271747e-14,3.57463138691107e-14,2.76960683711294e-14,1.58353964539199e-14,3.15726380474502e-15,-3.26842194065285e-12,-3.27646176112661e-12,-3.27609360312773e-12,-3.2773889072326e-12,-4.06547737504219e-12,-3.27854627112413e-12,2.0147178326879e-13,1.79038823246846e-13,1.43687090619544e-13,1.22280128151422e-13,1.62889387459139e-13,1.75714853989445e-13,7.85495259641813e-14,2.11841552637494e-13,7.98387393303402e-14,1.03752564681462e-13
"age_grp65-199",-3.28802491456386e-12,3.27061404896759e-12,3.27796320143473e-12,3.2819346860376e-12,3.28067932441817e-12,3.27955762273482e-12,3.27832763114216e-12,3.94734659471997e-12,-1.36243742594576e-13,-1.2631976485469e-13,-1.28900885124721e-13,-5.35787935450901e-14,-1.03030033411365e-13,-1.41313492119204e-13,-2.60142909431746e-14,-1.43346205931469e-13,-2.93346046629425e-13,-9.57458134468342e-14,-6.27516679400629e-15,-9.71630440716851e-15,3.07771559791052e-14,2.52356064711983e-14,2.22787707299066e-14,9.4607350512145e-15,6.46163238071406e-15,5.18866679838225e-15,-2.83237169911978e-15,-1.16428606208915e-15,1.6267099118428e-14,1.02911018728051e-14,1.70920987368365e-14,2.05502282532906e-14,1.51697845721719e-14,4.42050670548836e-15,-1.79534054518693e-16,-3.27824571144645e-12,-3.28222714921308e-12,-3.2810474345989e-12,-3.279849285594e-12,-3.27852777281874e-12,-3.94746581310453e-12,1.36641520467348e-13,1.26416129233805e-13,1.28744045609593e-13,5.37491681693904e-14,1.02822492817111e-13,1.41222666507116e-13,2.58615012045546e-14,1.43053309410219e-13,2.93186667774937e-13,9.56718899099374e-14
"curr_pts_reg1",-7.92414325042563e-15,-2.41005661769825e-14,-1.33681511325528e-13,-3.00670579693823e-13,-2.41220056357217e-13,-2.32375268342499e-13,-2.01160339535412e-13,-1.36243742594575e-13,3.23107119692978e-11,1.87671874037976e-13,1.81176716985966e-13,1.86981117648674e-13,1.90392602111322e-13,1.86927630961115e-13,1.94199783805903e-13,1.9473300789571e-13,1.46137984418153e-13,1.82022268145563e-13,-8.77814879631925e-15,1.98787516321739e-15,9.38249739134406e-16,1.52493058349967e-14,3.43414007044823e-15,7.44783737767659e-16,5.08045529347726e-15,2.76139391360165e-14,2.47548780524153e-14,1.1704178807412e-14,-4.78333058278878e-14,3.53887053061614e-14,4.68294214060863e-14,4.89058614187061e-14,4.60956426701008e-14,2.82993430635124e-14,-3.35854713171839e-15,1.34285739309364e-13,3.0103823645627e-13,2.41494594209716e-13,2.32741233009337e-13,2.01574828351253e-13,1.36668842198855e-13,-3.23103175543026e-11,-1.87465592984879e-13,-1.8097472864198e-13,-1.86551750028274e-13,-1.900303652635e-13,-1.86235913496712e-13,-1.93515061325515e-13,-1.93900856767965e-13,-1.45088114736928e-13,-1.80480592003134e-13
"curr_pts_reg2",-5.66797791638363e-14,-2.70212840710812e-15,-1.327722146488e-13,-2.39672299585998e-13,-2.31325728961833e-13,-2.0615425828446e-13,-1.78991245370562e-13,-1.26319764854691e-13,1.87671874037976e-13,7.24350484287476e-12,1.80853897947968e-13,1.86052090284581e-13,1.90166663761436e-13,1.88006860092709e-13,1.91666204035677e-13,1.94578273243985e-13,1.48236653878636e-13,1.87353722570897e-13,8.75123879403162e-15,2.30246221708021e-15,1.86528536822196e-14,2.17559858860396e-14,1.7813808156267e-14,2.13282249819609e-15,-2.78767640635556e-16,2.48262863552364e-14,2.41785550719843e-14,2.52231989043884e-14,-4.98605513877677e-14,6.24866151663277e-14,7.64401332328798e-14,8.19749192148067e-14,7.938034902755e-14,5.24836409593089e-14,5.7361130644223e-15,1.33751689796939e-13,2.40269441909644e-13,2.31780394872614e-13,2.06746949197466e-13,1.796537629514e-13,1.26991508072656e-13,-1.87146210060686e-13,-7.24317665056279e-12,-1.80503148702839e-13,-1.8534264612571e-13,-1.89554270402867e-13,-1.8689173486871e-13,-1.90559947496502e-13,-1.93134449459706e-13,-1.46565942463773e-13,-1.84768183360675e-13
