"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",9.99105975308031e-12,-7.29100311157187e-12,-7.3439588018081e-12,-7.32374396777728e-12,-7.30531456334717e-12,-7.29717909959594e-12,-7.28727736730764e-12,-7.2714181926244e-12,7.80760137490424e-14,2.3667177447382e-15,-5.7373948077859e-14,-1.66337724462982e-13,-5.9283397775508e-14,-5.71489603713486e-14,-2.04580287287194e-13,-9.0809481823399e-14,-1.49915589093271e-13,-8.33873685451453e-14,-2.05153421771768e-12,-2.04417852948614e-12,-2.11378478073125e-12,-2.08543791331919e-12,-2.06326230447271e-12,-2.04177506409729e-12,-2.01417749440949e-12,-2.05578398281066e-12,-2.0181512787619e-12,-2.05673266875768e-12,-1.97813272396158e-12,-1.06043396881636e-12,-1.07452517741629e-12,-1.08698358336145e-12,-1.07419112735719e-12,-1.08269946834644e-12,-9.90509571368053e-13,7.34904708776514e-12,7.33811488103976e-12,7.3255879315665e-12,7.32241198125473e-12,7.31607330694929e-12,7.31140467588110e-12,-1.30856347274874e-13,-6.03684239511598e-14,-2.85429743189051e-15,3.1543578054412e-14,-6.57222454123336e-14,-8.97634432920281e-14,1.53512773037861e-14,-1.05538302762681e-13,-7.28371811027243e-14,-2.11581410709748e-13
"policyTRUE",-7.29100311157178e-12,2.50914442102624e-11,7.3235318722298e-12,7.29839192352853e-12,7.28325886883724e-12,7.2713577213524e-12,7.25947603557084e-12,7.24295536918833e-12,-1.1535015902688e-13,-5.55457659192387e-14,8.05803038703649e-16,4.68034940097018e-14,-4.83488515943498e-14,-7.61166740698722e-14,2.84598578685812e-14,-8.40386184535207e-14,2.59510831541967e-15,-1.54149459219129e-13,5.14231072570868e-14,1.00291667900123e-13,5.96246865118233e-14,7.66360209916624e-14,7.18984693011243e-14,6.62776560605204e-14,4.92758148652891e-14,7.18626866922213e-14,7.31426675802189e-14,5.14200698469653e-14,-2.86353372013848e-14,1.11930387690426e-14,2.20043435852142e-14,3.24691801528817e-14,1.88603118929405e-14,3.79554617846163e-14,1.3406429660357e-14,-2.5141957840521e-11,-2.51508346741863e-11,-2.51432767595668e-11,-2.51335358419352e-11,-2.51195808559545e-11,-2.50964315835216e-11,-2.16737188067398e-13,-3.04254488367429e-13,-5.79442590826632e-13,-8.48063304997815e-13,-3.66045404591144e-13,-4.21936085140083e-13,-7.98230257210077e-13,-3.74552815673317e-13,-7.91081211285311e-13,-9.06698907807717e-13
"age_grp20-24",-7.34395880180806e-12,7.32353187222982e-12,1.85486810750459e-11,7.33804114880874e-12,7.3352282076561e-12,7.35432431776026e-12,7.36135328132222e-12,7.36490887900762e-12,-4.87398259155494e-13,-4.67760534097468e-13,-5.57846129792011e-13,-8.99263619515221e-13,-7.91527184791806e-13,-8.70572605699747e-13,-1.30593190146472e-12,-1.18282486668728e-12,-1.08838186248034e-12,-1.94609169166128e-12,3.48220657507945e-15,1.01953259087828e-14,2.70510930993777e-14,3.30185390371472e-14,3.65446746979199e-14,4.83235692196712e-14,1.00750909284399e-14,3.29399556654946e-14,2.53231419312632e-14,2.21053445615464e-14,-3.93624166234052e-14,-5.7850973702195e-15,-1.69935859709443e-15,5.3862186517571e-15,6.86158392678288e-15,1.40251195909543e-14,3.43527448842628e-15,-1.85499764924712e-11,-7.33877482356967e-12,-7.33570717555054e-12,-7.35477814211041e-12,-7.36178010423749e-12,-7.36529437702636e-12,4.87710528955791e-13,4.67732392225135e-13,5.57353008309881e-13,8.98954915457186e-13,7.9064184452611e-13,8.69598821757241e-13,1.30476633806766e-12,1.18125330445192e-12,1.08690847832163e-12,1.94349935915607e-12
"age_grp25-34",-7.32374396777728e-12,7.29839192352862e-12,7.33804114880878e-12,1.07850372501901e-11,7.34917836536829e-12,7.35893208927721e-12,7.35808900005991e-12,7.35264225888465e-12,-6.39206080367699e-13,-5.66245330358409e-13,-5.65692843122743e-13,-6.09626962575518e-13,-7.7027192894467e-13,-8.18558236633176e-13,-8.36445553327364e-13,-1.02426459092503e-12,-7.41766037449878e-13,-1.20983812483025e-12,7.18504124657602e-15,-1.10041021550934e-15,3.45026600934052e-14,1.96392295411443e-14,8.62926907369295e-15,1.25841503869945e-14,-2.11736020766043e-14,-5.11601278183865e-15,-6.52253145203796e-15,6.30518259849827e-15,-2.7279506288116e-14,2.39907650308429e-14,3.30776108534386e-14,4.15323476758552e-14,3.50495304912086e-14,2.81009908463424e-14,9.65472356730591e-16,-7.33904669620343e-12,-1.07855836218721e-11,-7.34951035520413e-12,-7.35924968992981e-12,-7.35839673263149e-12,-7.35292004239325e-12,6.39347406532679e-13,5.66254135752204e-13,5.65390151391042e-13,6.09414854672529e-13,7.69707909950265e-13,8.17906275374984e-13,8.35681938796386e-13,1.02323624563127e-12,7.4076922355921e-13,1.20803922404583e-12
"age_grp35-44",-7.30531456334695e-12,7.28325886883714e-12,7.33522820765594e-12,7.34917836536815e-12,9.50233828232619e-12,7.33327919843361e-12,7.33065733970556e-12,7.32496936055258e-12,-5.37234608202826e-13,-4.58821213921552e-13,-4.13660926155172e-13,-3.93002057589281e-13,-5.10901044516243e-13,-5.43615300013402e-13,-4.43555819327785e-13,-5.63401199819330e-13,-4.07625069418953e-13,-5.92227847055882e-13,7.55493745242043e-15,4.61899484250605e-16,1.74295236659215e-14,5.25517807924266e-16,-1.95901125324618e-14,-2.57825402596539e-14,-4.97772851650994e-14,-3.52947228111589e-14,-3.14200955835913e-14,-2.15245426989767e-15,-1.78767149992598e-14,3.82638598044422e-14,5.30846017459328e-14,6.37907248189216e-14,5.57334866020437e-14,3.73283525664767e-14,-2.1569056351878e-15,-7.33633078166118e-12,-7.34969310015734e-12,-9.50251576134256e-12,-7.33352259177638e-12,-7.33096332383983e-12,-7.32528141822472e-12,5.36975385371092e-13,4.58709046733417e-13,4.13500006152648e-13,3.92568232063852e-13,5.10534357393389e-13,5.43003304592098e-13,4.42970664477858e-13,5.62625629447127e-13,4.06787718782889e-13,5.9035813730903e-13
"age_grp45-54",-7.29717909959623e-12,7.27135772135285e-12,7.35432431776052e-12,7.35893208927745e-12,7.33327919843402e-12,8.98876712588325e-12,7.32788099827456e-12,7.31804067223852e-12,-5.56067524967895e-13,-4.87969372179828e-13,-3.94302866620138e-13,-3.48304678934098e-13,-4.641003464129e-13,-4.70464719856673e-13,-3.07462797182438e-13,-4.50766720894789e-13,-3.75939729787031e-13,-4.78090172168354e-13,6.22527100265569e-15,-1.06752551365044e-14,3.39303653381398e-14,1.34518402827233e-14,-1.20431724207032e-14,-2.10801518871574e-14,-4.37067733251464e-14,-3.02768468368435e-14,-2.6702590229589e-14,-3.36625616116057e-15,-1.07167403266194e-14,3.76157101685397e-14,5.04920104415238e-14,6.26447899075431e-14,5.62360304211212e-14,3.76673946172372e-14,-1.6055893515375e-15,-7.35503846138285e-12,-7.35930246948625e-12,-7.33348299452215e-12,-8.98896755115615e-12,-7.32808570402359e-12,-7.3182267256999e-12,5.56063518835563e-13,4.87993046196612e-13,3.94161783367139e-13,3.48166057726221e-13,4.63815522360888e-13,4.70094414506319e-13,3.07049624287721e-13,4.50214518411453e-13,3.75368993270173e-13,4.77011692992231e-13
"age_grp55-64",-7.28727736730742e-12,7.25947603557067e-12,7.36135328132205e-12,7.35808900005971e-12,7.33065733970555e-12,7.32788099827413e-12,9.03682060167936e-12,7.30677826209433e-12,-5.03427269416679e-13,-4.5246850911665e-13,-3.61133954670669e-13,-2.89300204005435e-13,-3.73960588564293e-13,-3.86726418078336e-13,-2.44442657485213e-13,-3.45886222208627e-13,-2.62236437722825e-13,-3.62446283782351e-13,1.96276602388903e-15,-1.1152002247531e-14,4.48821180182332e-14,2.60117778277153e-14,-1.17610419008518e-15,-1.43368763360621e-14,-3.38496319901009e-14,-2.47951721063259e-14,-2.02291728858988e-14,1.8901530735486e-16,4.53239352835583e-15,3.8125480106265e-14,4.62785797323517e-14,5.61959268005382e-14,5.1843389061032e-14,2.83464796543517e-14,-8.93621981684928e-15,-7.36187480940873e-12,-7.35839776204342e-12,-7.33089398632995e-12,-7.32807403865451e-12,-9.03698315624317e-12,-7.30690701575065e-12,5.03579215909662e-13,4.52561472892817e-13,3.60985084214629e-13,2.89315814226771e-13,3.73690259909821e-13,3.86460190915001e-13,2.44085612946959e-13,3.45407096310758e-13,2.61770839797135e-13,3.6174456724114e-13
"age_grp65-199",-7.2714181926244e-12,7.24295536918832e-12,7.36490887900761e-12,7.35264225888463e-12,7.32496936055273e-12,7.31804067223826e-12,7.30677826209449e-12,8.56525174068385e-12,-4.25552756001729e-13,-3.6749530527806e-13,-3.19277087411647e-13,-1.49960256177163e-13,-2.53088553353073e-13,-3.11096106367979e-13,-9.81130454269814e-14,-2.17984850749144e-13,-3.06723174160126e-13,-2.86387731898644e-13,-7.23810610225162e-15,-1.52505297340341e-14,6.04273366504631e-14,4.10897060362584e-14,1.12525036800823e-14,-3.75637453504795e-15,-2.0361073092586e-14,-2.37706665013217e-14,-1.59202863264375e-14,-4.73281343735702e-15,2.63311365200504e-14,3.27102778763853e-14,4.30069779526568e-14,4.96955688356441e-14,4.12249447770368e-14,1.54619390178902e-14,-1.02902140592232e-14,-7.36525540608526e-12,-7.35291967245343e-12,-7.32528815046219e-12,-7.31825914978221e-12,-7.30691678908453e-12,-8.56533260736729e-12,4.25936655444039e-13,3.67684863407214e-13,3.19089175652387e-13,1.50173795687754e-13,2.52782051839001e-13,3.10914535846776e-13,9.77639142940699e-14,2.17514721141455e-13,3.06316741550928e-13,2.86057396986069e-13
"curr_pts_reg1",7.80760137490298e-14,-1.15350159026868e-13,-4.87398259155488e-13,-6.39206080367703e-13,-5.37234608202819e-13,-5.560675249679e-13,-5.03427269416673e-13,-4.25552756001731e-13,3.31170676376622e-11,3.97874284087822e-13,3.93797648155082e-13,4.02288889002344e-13,4.10371000098996e-13,4.08168922815555e-13,4.14491130797828e-13,4.22084492352641e-13,3.94569303731103e-13,4.2138395386463e-13,1.62085212432853e-14,7.88670414723888e-15,-2.06750554524421e-15,1.89339845350752e-14,1.06778938616822e-14,-3.81993621538868e-15,4.13828470980617e-15,2.07183480929548e-14,2.05299911343197e-14,3.94194557443027e-14,-3.4865581556639e-14,4.07118072369766e-14,3.64524301477766e-14,4.69764778191376e-14,3.94089953946656e-14,3.47085750697638e-14,6.1811865395556e-15,4.88048088311886e-13,6.39534042719582e-13,5.37375692362682e-13,5.56252634628092e-13,5.03650125559782e-13,4.25785871484657e-13,-3.31169739924783e-11,-3.97790969842732e-13,-3.93672376889813e-13,-4.02036507209053e-13,-4.10100266245182e-13,-4.0777510150098e-13,-4.14113289745313e-13,-4.21569053456845e-13,-3.94041373479738e-13,-4.20224034433151e-13
"curr_pts_reg2",2.36671774473723e-15,-5.554576591924e-14,-4.67760534097473e-13,-5.66245330358434e-13,-4.58821213921549e-13,-4.87969372179843e-13,-4.52468509116659e-13,-3.67495305278066e-13,3.97874284087822e-13,7.3326514709664e-12,3.92433939296202e-13,4.02380672965638e-13,4.0860144187547e-13,4.07268075709633e-13,4.1533041569264e-13,4.21848337416195e-13,3.9527876665551e-13,4.25613605057123e-13,1.39532749335816e-14,1.74180668426729e-15,1.52099717172401e-14,2.70335340604735e-14,2.25156221327555e-14,1.4656201592624e-14,6.41270948535992e-15,3.0872611475668e-14,3.07727762387614e-14,2.93227014089012e-14,-4.97327660583516e-14,4.8932627544727e-14,6.11450670735777e-14,6.82040265892706e-14,6.26260073932982e-14,4.57012013250331e-14,3.50307111319653e-15,4.69178109139447e-13,5.66851778112499e-13,4.58916760578233e-13,4.88218003708168e-13,4.52851902716241e-13,3.67931260553262e-13,-3.97401557544784e-13,-7.33235830394401e-12,-3.92231086891374e-13,-4.01621985241878e-13,-4.08120869678963e-13,-4.06382325292809e-13,-4.14563517537531e-13,-4.20802002633235e-13,-3.94139879483109e-13,-4.22795491029881e-13
