"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","4 yr.","mnwk","no","no","all","Male","LPM","(Intercept)",-7.68352850830213e-05,3.86266721626146e-06,-19.8917692830364,4.79533730391632e-88,NA,NA,5335033221
"1.1","all","4 yr.","mnwk","no","no","all","Male","LPM","policyTRUE",-5.96628241509422e-05,6.27944338252177e-07,-95.0129183694975,0,NA,NA,5335033221
"1.2","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp16-19",0.000599530382750648,4.5902918391301e-06,130.608336846893,0,NA,NA,5335033221
"1.3","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp20-24",0.00045607177657618,3.99295278107272e-06,114.219176028837,0,NA,NA,5335033221
"1.4","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp25-34",0.000288066447129391,3.75912770566818e-06,76.6311947037691,0,NA,NA,5335033221
"1.5","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp35-44",0.00022551491232535,3.73608273012978e-06,60.3613272550621,0,NA,NA,5335033221
"1.6","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp45-54",0.000180093339162226,3.72075136892464e-06,48.4024115844851,0,NA,NA,5335033221
"1.7","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp55-64",0.000122758610984006,3.72439502561553e-06,32.9606849272702,2.97399721007369e-238,NA,NA,5335033221
"1.8","all","4 yr.","mnwk","no","no","all","Male","LPM","age_grp65-199",3.97476760117447e-05,3.71154262963775e-06,10.7092063807507,9.21484103854264e-27,NA,NA,5335033221
"1.9","all","4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp1-3",0.000616930563764729,1.13373171576192e-06,544.159217906436,0,NA,NA,5335033221
"1.10","all","4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp4-6",0.00119821175935464,2.46042079672409e-06,486.99464780577,0,NA,NA,5335033221
"1.11","all","4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp7-9",0.00167196968563447,4.51871723509331e-06,370.00980558146,0,NA,NA,5335033221
"1.12","all","4 yr.","mnwk","no","no","all","Male","LPM","curr_pts_grp10-150",0.00227582797470077,6.09804220556808e-06,373.206333767702,0,NA,NA,5335033221
"1.13","all","4 yr.","mnwk","no","no","all","Male","LPM","month02",9.16110375353302e-05,1.53061614398651e-06,59.8523920548284,0,NA,NA,5335033221
"1.14","all","4 yr.","mnwk","no","no","all","Male","LPM","month03",0.00010632859387725,1.5010855008351e-06,70.8344686682381,0,NA,NA,5335033221
"1.15","all","4 yr.","mnwk","no","no","all","Male","LPM","month04",9.10251962299313e-05,1.50848214944149e-06,60.34224287217,0,NA,NA,5335033221
"1.16","all","4 yr.","mnwk","no","no","all","Male","LPM","month05",0.000107318523172868,1.50724897673136e-06,71.2015896707394,0,NA,NA,5335033221
"1.17","all","4 yr.","mnwk","no","no","all","Male","LPM","month06",9.37648743277576e-05,1.50905746943e-06,62.1347272898589,0,NA,NA,5335033221
"1.18","all","4 yr.","mnwk","no","no","all","Male","LPM","month07",7.63713977352344e-05,1.4828321199743e-06,51.5037384923644,0,NA,NA,5335033221
"1.19","all","4 yr.","mnwk","no","no","all","Male","LPM","month08",2.25353488645851e-05,1.44038921559648e-06,15.6453190711047,3.57573569388794e-55,NA,NA,5335033221
"1.20","all","4 yr.","mnwk","no","no","all","Male","LPM","month09",0.000151280455742678,1.55013111148687e-06,97.5920389066774,0,NA,NA,5335033221
"1.21","all","4 yr.","mnwk","no","no","all","Male","LPM","month10",0.000129638152065787,1.52138554615685e-06,85.2105847812632,0,NA,NA,5335033221
"1.22","all","4 yr.","mnwk","no","no","all","Male","LPM","month11",0.000111772607515248,1.51985303141426e-06,73.5417209460323,0,NA,NA,5335033221
"1.23","all","4 yr.","mnwk","no","no","all","Male","LPM","month12",-0.000193525344913271,1.26482268084388e-06,-153.005909717046,0,NA,NA,5335033221
"1.24","all","4 yr.","mnwk","no","no","all","Male","LPM","weekdayMonday",0.000157731848926031,1.09343352991157e-06,144.253715119554,0,NA,NA,5335033221
"1.25","all","4 yr.","mnwk","no","no","all","Male","LPM","weekdayTuesday",0.000208909849159247,1.12332294467459e-06,185.974879396561,0,NA,NA,5335033221
"1.26","all","4 yr.","mnwk","no","no","all","Male","LPM","weekdayWednesday",0.000238832169852909,1.14038482828413e-06,209.43120596603,0,NA,NA,5335033221
"1.27","all","4 yr.","mnwk","no","no","all","Male","LPM","weekdayThursday",0.000211546719519209,1.12704161662688e-06,187.700894446424,0,NA,NA,5335033221
"1.28","all","4 yr.","mnwk","no","no","all","Male","LPM","weekdayFriday",0.000171754067169828,1.10386735606948e-06,155.593030471877,0,NA,NA,5335033221
"1.29","all","4 yr.","mnwk","no","no","all","Male","LPM","weekdaySaturday",3.61399092398713e-05,1.01786630903606e-06,35.5055560038101,4.03511363506482e-276,NA,NA,5335033221
"2","all","4 yr.","mnwk","with","no","all","Male","LPM","(Intercept)",-0.000100569036709159,5.23778164692337e-06,-19.200692867415,3.65190405783542e-82,NA,NA,5335033221
"2.1","all","4 yr.","mnwk","with","no","all","Male","LPM","policyTRUE",-1.09150409027165e-05,7.34175239136204e-06,-1.4867078486001,0.13709198893456,NA,NA,5335033221
"2.2","all","4 yr.","mnwk","with","no","all","Male","LPM","age_grp16-19",0.00065649394292151,6.54877683294199e-06,100.24680328381,0,NA,NA,5335033221
"2.3","all","4 yr.","mnwk","with","no","all","Male","LPM","age_grp20-24",0.00051505963321185,5.60213404987026e-06,91.9398980150749,0,NA,NA,5335033221
"2.4","all","4 yr.","mnwk","with","no","all","Male","LPM","age_grp25-34",0.000330652958473257,5.24856764268624e-06,62.9987038338001,0,NA,NA,5335033221
"2.5","all","4 yr.","mnwk","with","no","all","Male","LPM","age_grp35-44",0.000250013997104059,5.20700699881956e-06,48.0149147409899,0,NA,NA,5335033221
"2.6","all","4 yr.","mnwk","with","no","all","Male","LPM","age_grp45-54",0.000197218405500039,5.18588912556046e-06,38.0298152785372,1.85653229576189e-316,NA,NA,5335033221
"2.7","all","4 yr.","mnwk","with","no","all","Male","LPM","age_grp55-64",0.000134291077126417,5.19196307928275e-06,25.8651833758743,1.64213269410789e-147,NA,NA,5335033221
"2.8","all","4 yr.","mnwk","with","no","all","Male","LPM","age_grp65-199",3.92324975392327e-05,5.17111155103699e-06,7.58685964362249,3.27751831262657e-14,NA,NA,5335033221
"2.9","all","4 yr.","mnwk","with","no","all","Male","LPM","curr_pts_grp1-3",0.000616774916320631,1.13371452130649e-06,544.030181081089,0,NA,NA,5335033221
"2.10","all","4 yr.","mnwk","with","no","all","Male","LPM","curr_pts_grp4-6",0.00119829403264976,2.46044891797566e-06,487.022520116231,0,NA,NA,5335033221
"2.11","all","4 yr.","mnwk","with","no","all","Male","LPM","curr_pts_grp7-9",0.00167211201183943,4.51875117183668e-06,370.038523532994,0,NA,NA,5335033221
"2.12","all","4 yr.","mnwk","with","no","all","Male","LPM","curr_pts_grp10-150",0.00227792710575511,6.09921112592611e-06,373.478972726859,0,NA,NA,5335033221
"2.13","all","4 yr.","mnwk","with","no","all","Male","LPM","month02",9.16174115485394e-05,1.53061517986113e-06,59.856594102805,0,NA,NA,5335033221
"2.14","all","4 yr.","mnwk","with","no","all","Male","LPM","month03",0.000106335906571164,1.50108467285599e-06,70.8393793461678,0,NA,NA,5335033221
"2.15","all","4 yr.","mnwk","with","no","all","Male","LPM","month04",9.09963099753808e-05,1.50848957884883e-06,60.322796558411,0,NA,NA,5335033221
"2.16","all","4 yr.","mnwk","with","no","all","Male","LPM","month05",0.000107288878095254,1.50725598896632e-06,71.1815901748934,0,NA,NA,5335033221
"2.17","all","4 yr.","mnwk","with","no","all","Male","LPM","month06",9.37353639668726e-05,1.50906176455739e-06,62.1149950044394,0,NA,NA,5335033221
"2.18","all","4 yr.","mnwk","with","no","all","Male","LPM","month07",7.63451425270669e-05,1.48283476210442e-06,51.4859406308488,0,NA,NA,5335033221
"2.19","all","4 yr.","mnwk","with","no","all","Male","LPM","month08",2.25129456079626e-05,1.44039111507377e-06,15.6297448466346,4.56629124991543e-55,NA,NA,5335033221
"2.20","all","4 yr.","mnwk","with","no","all","Male","LPM","month09",0.000151262812402265,1.55013179058808e-06,97.580614319818,0,NA,NA,5335033221
"2.21","all","4 yr.","mnwk","with","no","all","Male","LPM","month10",0.000129624636964838,1.52138629628078e-06,85.2016593561555,0,NA,NA,5335033221
"2.22","all","4 yr.","mnwk","with","no","all","Male","LPM","month11",0.0001117635659234,1.51985286184406e-06,73.5357801595318,0,NA,NA,5335033221
"2.23","all","4 yr.","mnwk","with","no","all","Male","LPM","month12",-0.000193529795894389,1.26482248936265e-06,-153.00945193654,0,NA,NA,5335033221
"2.24","all","4 yr.","mnwk","with","no","all","Male","LPM","weekdayMonday",0.000157731878587216,1.09343319136548e-06,144.253786909688,0,NA,NA,5335033221
"2.25","all","4 yr.","mnwk","with","no","all","Male","LPM","weekdayTuesday",0.000208909598843826,1.12332259980314e-06,185.97471365789,0,NA,NA,5335033221
"2.26","all","4 yr.","mnwk","with","no","all","Male","LPM","weekdayWednesday",0.000238832147056275,1.14038452893907e-06,209.431240950337,0,NA,NA,5335033221
"2.27","all","4 yr.","mnwk","with","no","all","Male","LPM","weekdayThursday",0.000211547377998796,1.12704125533789e-06,187.701538871684,0,NA,NA,5335033221
"2.28","all","4 yr.","mnwk","with","no","all","Male","LPM","weekdayFriday",0.000171754754580088,1.10386701103984e-06,155.59370183397,0,NA,NA,5335033221
"2.29","all","4 yr.","mnwk","with","no","all","Male","LPM","weekdaySaturday",3.6139725192714e-05,1.01786592393246e-06,35.5053886204288,4.05918492114973e-276,NA,NA,5335033221
"2.30","all","4 yr.","mnwk","with","no","all","Male","LPM","policyTRUE:age_grp16-19",-0.000111587299181936,9.19117890671305e-06,-12.1406949330989,6.42778536872929e-34,NA,NA,5335033221
"2.31","all","4 yr.","mnwk","with","no","all","Male","LPM","policyTRUE:age_grp20-24",-0.000119225475150935,8.0173427119446e-06,-14.8709465760154,5.08888249002437e-50,NA,NA,5335033221
"2.32","all","4 yr.","mnwk","with","no","all","Male","LPM","policyTRUE:age_grp25-34",-8.61578712283855e-05,7.53576035329636e-06,-11.4332021175139,2.85387109300567e-30,NA,NA,5335033221
"2.33","all","4 yr.","mnwk","with","no","all","Male","LPM","policyTRUE:age_grp35-44",-5.02952044354314e-05,7.48411995284409e-06,-6.72025632303213,1.81405182040725e-11,NA,NA,5335033221
"2.34","all","4 yr.","mnwk","with","no","all","Male","LPM","policyTRUE:age_grp45-54",-3.57402623499159e-05,7.45046411677439e-06,-4.79705180640334,1.61017971751023e-06,NA,NA,5335033221
"2.35","all","4 yr.","mnwk","with","no","all","Male","LPM","policyTRUE:age_grp55-64",-2.51999047770604e-05,7.45535943172557e-06,-3.38010595033482,0.000724578928155879,NA,NA,5335033221
