"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","(Intercept)",-4.7369015861064e-05,3.9138554855106e-06,-12.1029036550858,1.01940570104775e-33,NA,NA,5335033221
"1.1","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policyTRUE",-4.18591393719717e-05,7.62729774144773e-07,-54.8806940425358,0,NA,NA,5335033221
"1.2","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy01",8.68230382736596e-05,2.76071992544635e-06,31.4494192161206,4.27526554789287e-217,NA,NA,5335033221
"1.3","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy02",6.638633254517e-05,2.72626782749065e-06,24.3506275780228,5.70934093741396e-131,NA,NA,5335033221
"1.4","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy03",2.2263948632769e-05,2.68344427981531e-06,8.29678067110876,1.0697063168996e-16,NA,NA,5335033221
"1.5","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy04",-5.041568423583e-05,2.53426441316932e-06,-19.8936164568482,4.62190241643977e-88,NA,NA,5335033221
"1.6","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy05",-4.56410682889244e-05,2.37879066467035e-06,-19.186668657643,4.78340019784059e-82,NA,NA,5335033221
"1.7","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy06",-6.95094325281173e-05,2.70778692148086e-06,-25.6702002571545,2.51590931251206e-145,NA,NA,5335033221
"1.8","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy07",-4.43526017602876e-05,2.64756883243918e-06,-16.7521996848051,5.45708287893531e-63,NA,NA,5335033221
"1.9","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","policy_monthpolicy08",-7.30878611271296e-05,2.58391484251018e-06,-28.2857081528768,5.18085227545623e-176,NA,NA,5335033221
