"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1","all","4 yr.","mnwk","no","with","all","Male","LPM","(Intercept)",-9.20491448762115e-05,3.8596136157489e-06,-23.849316030136,1.02933909020891e-125,NA,NA,5335033221
"1.1","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE",-3.20465127192047e-05,5.42113291887113e-07,-59.1140508797521,0,NA,NA,5335033221
"1.2","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp16-19",0.000600528449880984,4.59037698679401e-06,130.823340132768,0,NA,NA,5335033221
"1.3","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp20-24",0.000454386064291245,3.99324573596796e-06,113.788655728972,0,NA,NA,5335033221
"1.4","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp25-34",0.000288330326280899,3.75973638933523e-06,76.6889740192341,0,NA,NA,5335033221
"1.5","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp35-44",0.000226760602538408,3.73675108781006e-06,60.6838928282222,0,NA,NA,5335033221
"1.6","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp45-54",0.000181917886933561,3.72150818846062e-06,48.8828393546571,0,NA,NA,5335033221
"1.7","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp55-64",0.000124430215043154,3.72514000680154e-06,33.4028291060104,1.24732190374753e-244,NA,NA,5335033221
"1.8","all","4 yr.","mnwk","no","with","all","Male","LPM","age_grp65-199",4.06923293576637e-05,3.71216944095405e-06,10.9618728360647,5.82806551266586e-28,NA,NA,5335033221
"1.9","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg1",0.000579431404569176,5.67036608368879e-06,102.185889943852,0,NA,NA,5335033221
"1.10","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg2",0.00061953315141612,2.63008838577997e-06,235.556019624943,0,NA,NA,5335033221
"1.11","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg3",0.000692627701920147,2.34258392231161e-06,295.668255605835,0,NA,NA,5335033221
"1.12","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg4",0.00112389619648723,7.36919691633968e-06,152.512710577082,0,NA,NA,5335033221
"1.13","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg5",0.00124763529923529,5.69678046455798e-06,219.007087774812,0,NA,NA,5335033221
"1.14","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg6",0.00141614060070326,6.79077396160914e-06,208.538910102037,0,NA,NA,5335033221
"1.15","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg7",0.00169079909803498,1.19520328471783e-05,141.465399204801,0,NA,NA,5335033221
"1.16","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg8",0.00186191046451467,1.16086450989869e-05,160.389989412044,0,NA,NA,5335033221
"1.17","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg9",0.00170901567963171,1.23763732670888e-05,138.086953483886,0,NA,NA,5335033221
"1.18","all","4 yr.","mnwk","no","with","all","Male","LPM","curr_pts_reg10-150",0.00259240854915011,1.0200712125241e-05,254.139957810922,0,NA,NA,5335033221
"1.19","all","4 yr.","mnwk","no","with","all","Male","LPM","month02",9.14184707555933e-05,1.53062163974442e-06,59.7263676285527,0,NA,NA,5335033221
"1.20","all","4 yr.","mnwk","no","with","all","Male","LPM","month03",0.000106014982933652,1.50113266069166e-06,70.6233271114122,0,NA,NA,5335033221
"1.21","all","4 yr.","mnwk","no","with","all","Male","LPM","month04",9.1648298998819e-05,1.50819048614984e-06,60.7670581670235,0,NA,NA,5335033221
"1.22","all","4 yr.","mnwk","no","with","all","Male","LPM","month05",0.000108010853880282,1.50699688632915e-06,71.6729111122337,0,NA,NA,5335033221
"1.23","all","4 yr.","mnwk","no","with","all","Male","LPM","month06",9.44959952423661e-05,1.50884627148269e-06,62.6279807481702,0,NA,NA,5335033221
"1.24","all","4 yr.","mnwk","no","with","all","Male","LPM","month07",7.70565545210294e-05,1.48266358581585e-06,51.9717050167036,0,NA,NA,5335033221
"1.25","all","4 yr.","mnwk","no","with","all","Male","LPM","month08",2.31417313274313e-05,1.44029656982071e-06,16.067337666653,4.32257843102819e-58,NA,NA,5335033221
"1.26","all","4 yr.","mnwk","no","with","all","Male","LPM","month09",0.000151761071745927,1.55003755501625e-06,97.9079966513043,0,NA,NA,5335033221
