"","(Intercept)","policyTRUE","age_grp16-19","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",1.48966172628743e-11,-1.52047386042917e-13,-1.34663116926266e-11,-1.34432553342553e-11,-1.34427115993692e-11,-1.34478763946924e-11,-1.34438625693129e-11,-1.34430288824012e-11,-1.34414185014048e-11,-1.54438538683433e-13,-1.63730046351478e-13,-3.06103764972835e-13,-3.49688779163744e-13,-1.7982107103859e-13,-2.85097416989141e-13,-3.3786809458698e-13,-2.15980633054454e-13,-4.14871470305579e-13,-2.93247947181973e-13,-1.05311407870186e-12,-1.05176726126306e-12,-1.05182369634356e-12,-1.03299535282423e-12,-1.00220078426435e-12,-9.95543985377386e-13,-9.67747655982438e-13,-9.92793334847825e-13,-1.00398031095308e-12,-1.03200659267212e-12,-9.75708348122229e-13,-5.3484086778618e-13,-5.35974778834338e-13,-5.46881789660745e-13,-5.39902917284485e-13,-5.48582060178307e-13,-5.06356714288167e-13,1.04664726037231e-13,1.34790514386639e-13,1.33190934465515e-13,1.52466491408452e-13,1.13801720064011e-13,1.44659549506626e-13,1.79929537652901e-13,9.86454505630042e-14,1.09156814382976e-13,1.0094785212432e-13
"policyTRUE",-1.52047386042914e-13,2.93886821240682e-13,-2.49811722415489e-14,-1.50901896015695e-14,-1.59695717886951e-14,-7.56905386853153e-15,-1.21557187786951e-14,-1.49506064778688e-14,-1.40456836635373e-14,1.55777823262149e-13,1.56134497169838e-13,1.56326461560045e-13,1.56488730209289e-13,1.56206573304152e-13,1.56246980511401e-13,1.56579523700854e-13,1.56250399682823e-13,1.57188316237469e-13,1.57158381387067e-13,6.24828762892247e-15,7.17709317005679e-15,2.33120766941672e-14,2.14283995233215e-14,1.73219653540366e-14,1.24233617049151e-14,9.2518122861462e-15,1.02835044394583e-14,1.1136649555889e-14,5.15050992802092e-15,8.48739737077177e-15,6.36557505110019e-16,-1.06874810376897e-15,-2.29176920899265e-15,-3.26373184939171e-15,-4.30007433563496e-16,6.55933500095186e-16,-2.93431496096329e-13,-2.93868335659186e-13,-2.93941620633606e-13,-2.9401073701905e-13,-2.94197676585521e-13,-2.93952271396026e-13,-2.94435528673296e-13,-2.94257072727112e-13,-2.94040312810399e-13,-2.93839166360793e-13
"age_grp16-19",-1.34663116926277e-11,-2.49811722415109e-14,2.10715608808881e-11,1.34252359268339e-11,1.34329370436823e-11,1.34385812874472e-11,1.34427635514565e-11,1.34462156559634e-11,1.34493726282919e-11,-1.27310991449558e-13,-1.85237083020305e-13,-1.4091750200497e-13,-3.949289591951e-13,-3.15190674673711e-13,-2.07416366520193e-13,-4.73639593298364e-13,-4.16889029898607e-13,-2.76653210140175e-13,-5.17657814140394e-13,1.46735579783964e-14,3.13173864559938e-14,3.37444099438769e-14,4.40555849262101e-14,3.79823594827705e-14,5.12294222927413e-14,3.63406998598043e-14,5.29702749858531e-14,8.63115321286674e-14,8.82018430138597e-14,2.14112159948024e-14,-1.78404764407511e-14,-1.90512249925822e-14,-1.11239342861712e-14,-1.31908592370505e-14,3.22835443178163e-15,6.82149921337845e-15,2.24822319276005e-14,1.7983677745213e-14,4.77956376104842e-15,7.78967890867648e-14,5.38081956862856e-14,-3.54681418974622e-14,6.94861935761187e-14,1.05722097745271e-13,-4.54137019219618e-14,-1.08443545094318e-13
"age_grp20-24",-1.3443255334256e-11,-1.50901896015292e-14,1.34252359268334e-11,1.59460115078263e-11,1.33909905812782e-11,1.3409862380674e-11,1.34233301561672e-11,1.34354522004946e-11,1.3450500377632e-11,-3.18954318955069e-14,-3.11482239546737e-14,7.32777096542977e-14,3.00395936814953e-14,-1.29841471149471e-13,-6.8866057502768e-14,-1.54271331101256e-13,-2.3744156821251e-13,9.68843558488214e-15,-3.69253113550334e-13,1.17365378109588e-14,2.10806858825715e-14,1.09250891359203e-14,6.08851877304831e-15,-2.16312886386102e-14,-1.63202523473504e-14,-4.65262116086238e-14,-4.00060485179355e-14,-1.4764724123996e-14,-6.10299425989521e-15,-4.14815669356285e-14,-8.78345528042325e-15,-1.60663332026141e-14,-7.27260447596511e-15,-9.12805324536016e-15,-7.44447343373804e-16,-6.53562353177423e-16,4.98766302258219e-14,3.90994093018319e-15,8.0751963597761e-15,-1.10072379415306e-14,2.97776449111179e-15,-2.07490631077893e-14,-1.94952357193008e-15,1.64843708900427e-14,-4.3064198537052e-14,1.7447951884008e-14
"age_grp25-34",-1.3442711599369e-11,-1.59695717886702e-14,1.34329370436811e-11,1.33909905812773e-11,1.41356177172915e-11,1.34269102808564e-11,1.34361801135018e-11,1.34448634389209e-11,1.34560650450575e-11,-3.81817364393104e-14,-3.42616854921961e-14,9.99944906393837e-14,8.11940160516772e-14,-8.70082164861074e-14,-2.0277706481295e-15,1.12171664749181e-14,-1.30538829841777e-13,1.46889807375935e-13,-8.4862416198749e-14,1.28464488945187e-14,1.21353694071927e-14,-1.59949290490432e-15,-1.53296910227242e-14,-4.30813370722731e-14,-3.82262660700945e-14,-6.83125252621164e-14,-5.98006223561401e-14,-2.88000134308307e-14,-1.35154742517508e-14,-3.61560234912661e-14,2.6783367152353e-15,9.90837030421555e-16,9.63718694423248e-15,5.45067386426058e-15,4.79359618133234e-15,-1.93603456172673e-15,3.44135197417599e-14,5.28764538589275e-15,5.23281703828501e-15,-1.06054915490233e-14,1.18293918202318e-14,-1.09119609885905e-14,-4.83399845292593e-14,3.57036101276995e-14,-3.03851838867322e-14,-1.787336775159e-14
"age_grp35-44",-1.34478763946922e-11,-7.5690538684983e-15,1.3438581287446e-11,1.34098623806732e-11,1.34269102808565e-11,1.39633086922496e-11,1.34423243290439e-11,1.34490126826848e-11,1.34580045463368e-11,-4.68107795374768e-14,-4.18874491852118e-14,9.72158322333784e-14,1.00941504025381e-13,-7.19672992903934e-14,1.5270859423465e-14,4.72103789967586e-14,-7.63486572087844e-14,1.47995133018295e-13,-2.61899922517967e-14,1.3387023616436e-14,9.62972682425113e-15,-1.01844585230134e-14,-2.36843782269539e-14,-5.38592708277587e-14,-5.20099905945188e-14,-7.84206832078008e-14,-6.90062746048735e-14,-3.43696930088212e-14,-1.39790897980689e-14,-3.33351768385832e-14,9.87531320805338e-15,1.0921670274263e-14,2.0141124059685e-14,1.63022580597921e-14,1.11562208365176e-14,-1.70760815866321e-15,4.26920677073723e-14,1.14948230872314e-14,1.343610822275e-14,-2.0171842966251e-14,1.95411352434401e-14,-5.1620628509719e-15,-5.21002814017314e-14,2.25662824834838e-14,-1.72284397337e-14,-3.06441276688524e-15
"age_grp45-54",-1.34438625693139e-11,-1.21557187786723e-14,1.34427635514563e-11,1.34233301561675e-11,1.34361801135029e-11,1.3442324329045e-11,1.38496231967795e-11,1.34531399416318e-11,1.34604436913893e-11,-4.29154728211354e-14,-4.33150316192939e-14,1.09444161108702e-13,1.13140445492233e-13,-5.63258821741619e-14,4.19916898665238e-14,8.10008416467309e-14,-5.31661086229813e-14,1.65967920625514e-13,-1.46089563586662e-16,1.23778817060075e-14,6.48095805551818e-15,-7.28172439635941e-15,-2.26821810640456e-14,-5.41730115756485e-14,-5.46604997690334e-14,-7.97538584677599e-14,-7.05311348201941e-14,-3.73466856664961e-14,-1.85080582687773e-14,-3.29257358826657e-14,9.1314721068911e-15,8.81235488029579e-15,1.8326755484011e-14,1.51190196524966e-14,9.61470088065688e-15,-2.92487003608288e-15,3.47930606517548e-14,9.11559291032987e-15,7.76117537479253e-15,-2.61574294848914e-14,1.91540843163479e-14,-1.86585658732371e-14,-6.27577526257697e-14,2.60081206976269e-14,-1.39925918713761e-14,2.47021602398571e-16
"age_grp55-64",-1.3443028882402e-11,-1.49506064778445e-14,1.34462156559631e-11,1.34354522004947e-11,1.34448634389218e-11,1.34490126826857e-11,1.34531399416316e-11,1.38766680702734e-11,1.34627137876994e-11,-3.59256447341987e-14,-3.93372894845333e-14,1.09383411123376e-13,1.25967929764774e-13,-4.22866934248768e-14,5.14004813823849e-14,8.79059275881468e-14,-3.01785974296496e-14,1.82759119043073e-13,1.80069945217989e-14,9.86034123258617e-15,5.9246762899904e-15,-4.82673968423778e-15,-1.92127868916594e-14,-5.11777525614916e-14,-5.42250004478833e-14,-7.67597322894968e-14,-6.9104818269097e-14,-3.71388441239105e-14,-1.90873043887801e-14,-2.82282989285865e-14,1.02739390545639e-14,8.55358973845636e-15,1.74696551541434e-14,1.42245256071608e-14,6.97394105801144e-15,-5.89712996381899e-15,2.48710867036731e-14,9.61719791607525e-15,1.28695636174385e-14,-2.66001818600169e-14,1.49537526659542e-14,-6.17224879274328e-15,-5.19449722022519e-14,1.92177185401272e-14,-2.11643118460107e-14,1.93671181645758e-15
"age_grp65-199",-1.34414185014053e-11,-1.40456836635021e-14,1.34493726282913e-11,1.34505003776318e-11,1.34560650450581e-11,1.34580045463374e-11,1.34604436913888e-11,1.34627137876991e-11,1.37802019583531e-11,-2.00811653750019e-14,-2.26151569815701e-14,1.1445865648947e-13,1.50341554782338e-13,-1.58794407793032e-14,6.34341157844541e-14,1.13359381071804e-13,-9.84975544048265e-15,1.58776812501794e-13,2.8528980640782e-14,5.77063917543013e-15,3.3780577054828e-15,-1.8683847335831e-15,-1.66844212333402e-14,-4.90761030178948e-14,-5.19889245230324e-14,-7.30484785525006e-14,-7.06762393350203e-14,-3.80837012671643e-14,-2.19044233111245e-14,-2.06840207399777e-14,7.1330081795418e-15,5.39379633639639e-15,1.32026245808336e-14,9.62838404851216e-15,8.07276197161214e-16,-6.74233647084411e-15,2.48215203714216e-14,5.19386964822962e-15,8.71618862249189e-15,-2.36357357160715e-14,1.48105782886937e-14,-1.14145053092159e-14,-5.35147581794802e-14,2.44881470245913e-14,-1.38279444388805e-14,8.03931424518591e-16
"curr_pts_reg1",-1.54438538683468e-13,1.55777823262149e-13,-1.27310991449564e-13,-3.18954318955014e-14,-3.81817364392966e-14,-4.68107795374695e-14,-4.29154728210984e-14,-3.59256447341796e-14,-2.00811653750029e-14,3.21530515230482e-11,1.55981884333939e-13,1.55924316667481e-13,1.61737739857112e-13,1.58363630179651e-13,1.56975571515827e-13,1.63005538474472e-13,1.60608024551024e-13,1.54830781533968e-13,1.60000843064551e-13,1.6007423999627e-14,1.01918134584224e-14,-7.71855307283223e-15,8.51942328759914e-15,3.77878181951935e-15,-5.29417649104449e-15,-2.48424062911181e-15,1.74865120227548e-14,1.58400053725785e-14,3.07192838052775e-14,-4.05208654504536e-14,3.74824184273118e-14,3.74192282868161e-14,4.71449605721099e-14,4.08437556100288e-14,3.45758383636612e-14,6.31279692562607e-15,-3.2153359526448e-11,-1.55246448305536e-13,-1.54860571349377e-13,-1.56255106554649e-13,-1.54766494057933e-13,-1.53975420220385e-13,-1.56019039686665e-13,-1.55281650732507e-13,-1.52496218532177e-13,-1.51486288696425e-13
