"","(Intercept)","policyTRUE","age_grp16-19","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp16-19","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",2.2309620763031e-11,-2.15236388518864e-11,-2.15496842564704e-11,-2.15392891101572e-11,-2.15406682804258e-11,-2.15420647527009e-11,-2.15361338938593e-11,-2.1531081635645e-11,-2.15264306199061e-11,-5.86422986819273e-14,-6.65577773139054e-14,-2.34944065725227e-13,-1.91839046349495e-13,-1.09624552933697e-13,-1.75122311901549e-13,-1.39850550255392e-13,-2.08547702912273e-13,-5.03399380625775e-13,-1.84113260395192e-13,-6.08765330071737e-13,-6.13648529537036e-13,-6.13648627019347e-13,-6.01623313317849e-13,-5.9737405142124e-13,-5.85606138748123e-13,-5.70834687348589e-13,-6.09584220695693e-13,-5.97218631442072e-13,-6.15916998041354e-13,-5.58898560529879e-13,-2.83890995647498e-13,-2.97096344599916e-13,-3.00602025230391e-13,-2.96032387791319e-13,-2.93692625139984e-13,-2.56682105480242e-13,2.14993688473271e-11,2.15086283897432e-11,2.15097159781504e-11,2.15115320133956e-11,2.15132856751349e-11,2.15150741473682e-11,2.15168998654076e-11,2.27343444511518e-15,3.38887109690792e-15,1.58584890843054e-13,5.97953263303793e-14,-2.72810962038693e-14,1.38835911855421e-14,-6.42753405377923e-14,5.20240862764721e-15,3.26335877309378e-13,-8.1244349054849e-14
"policyTRUE",-2.15236388519047e-11,4.03104147631151e-11,2.15162082821958e-11,2.15243763886631e-11,2.15242541156424e-11,2.15242432693853e-11,2.15248970584412e-11,2.15248681669889e-11,2.15251180335788e-11,2.757319371137e-14,1.42924187837997e-14,1.76003257872045e-13,8.44447396011368e-14,2.78636116265858e-15,3.94321881621983e-14,2.7486739749412e-15,2.52376737778867e-15,3.91305296867208e-13,2.28808553460388e-15,-2.34868980867825e-15,-4.75262470726924e-15,-6.32816362936362e-15,-6.99563260532242e-15,8.51450055573877e-15,-3.37459701711487e-15,-2.502274468339e-14,-1.81965664542525e-15,-1.08004388539567e-14,-6.04088216041881e-15,1.19040840582967e-15,-3.85685008738063e-15,-3.06760248366757e-16,9.10193599123192e-16,1.54596084339076e-15,8.01886416490863e-16,4.62711189847044e-15,-4.0285773382127e-11,-4.03030983011381e-11,-4.0302675231318e-11,-4.03026947802544e-11,-4.03039114447983e-11,-4.03040865956073e-11,-4.03042690396412e-11,-5.83326908496804e-14,-3.56200567454473e-14,-3.69160374709457e-13,-1.46963778055675e-13,-7.12947295681284e-15,-6.35932305455739e-14,-7.80298830620138e-14,-7.25317253635102e-15,-8.76383666986657e-13,-7.51362269969515e-15
"age_grp16-19",-2.1549684256557e-11,2.15162082822973e-11,2.92538885492634e-11,2.15026641474352e-11,2.15095566404607e-11,2.15115297732437e-11,2.15139550988193e-11,2.15178078251229e-11,2.15191550981445e-11,-2.53237886261006e-13,-2.81350689373066e-13,-2.14446577190079e-13,-4.38841148070647e-13,-3.13804486571686e-13,-2.59033261742006e-13,-6.30436061036096e-13,-2.63032143820482e-13,-3.48573361312479e-13,-7.57655873490536e-13,2.68079222220342e-15,7.65800879694362e-15,4.60031180440675e-15,9.55464428198072e-15,1.34341271235363e-14,2.23684111876937e-14,1.61134722745471e-14,4.69171078461167e-14,5.32002763471273e-14,6.21387169108736e-14,3.73769792779859e-15,1.32711628681629e-14,1.95028134782648e-14,1.86274640851572e-14,1.7511645549063e-14,1.92872146791463e-14,4.25455254768713e-15,-2.92538910966101e-11,-2.1502671998618e-11,-2.15095501059438e-11,-2.15115120379041e-11,-2.15139387886108e-11,-2.1517785773393e-11,-2.15191259693574e-11,2.53264812377949e-13,2.81272506033817e-13,2.14330662508167e-13,4.38707182847024e-13,3.13611597522171e-13,2.58788523708955e-13,6.30146079427046e-13,2.62703636951488e-13,3.48299694734416e-13,7.57151099946876e-13
"age_grp20-24",-2.1539289110218e-11,2.1524376388684e-11,2.15026641474094e-11,2.41755212693647e-11,2.14666135786518e-11,2.1473285915152e-11,2.14881226731817e-11,2.15019673546081e-11,2.15127867830658e-11,-7.76334071807722e-14,-9.82836961209982e-14,6.41056096356158e-14,-2.28848246086817e-14,-1.53372271698079e-13,-7.63634089747497e-14,-2.49327300213848e-13,-2.22908262805176e-13,3.48733531139606e-13,3.35960063239162e-14,4.75884740267882e-15,6.2481425824465e-15,-3.27624612002477e-15,-7.1716743016562e-15,-7.26134779673683e-15,-4.23161519706903e-15,-1.81688239358598e-14,4.57590327081849e-15,6.83886879854947e-15,1.5442042551929e-14,-2.77566079480799e-14,2.15654873086222e-14,2.60405267522047e-14,2.55880372124222e-14,2.35285511405859e-14,2.00175595619273e-14,4.72464010965937e-15,-2.15028577583059e-11,-2.41756251151806e-11,-2.14666187752424e-11,-2.14732312834817e-11,-2.14880883528286e-11,-2.15019463190319e-11,-2.15127672977197e-11,7.74357445167852e-14,9.81618180612381e-14,-6.42627625718379e-14,2.25872738507876e-14,1.53092758817526e-13,7.58741694398701e-14,2.48856040744009e-13,2.22320336481009e-13,-3.49463413396793e-13,-3.46669488649335e-14
"age_grp25-34",-2.15406682804052e-11,2.15242541155764e-11,2.15095566403539e-11,2.14666135785706e-11,2.23618491745486e-11,2.14854915401732e-11,2.14964029477992e-11,2.15070014267912e-11,2.1515178642391e-11,-1.09823202022874e-13,-1.09152849679979e-13,6.09500441460504e-14,-7.68774772743914e-14,-1.37085877825531e-13,-8.67038612430906e-14,-1.85673772783882e-13,-1.30579798809321e-13,3.29741858275414e-13,-1.60461356196379e-13,3.63971654589793e-15,3.85346405822005e-15,-4.27567526569612e-15,-8.01548559944324e-15,-1.23063005387954e-14,-1.60615613779069e-14,-2.97507404877478e-14,-1.8044158626242e-15,-2.95470705629515e-15,8.20711866019776e-15,-2.57067614031295e-14,2.40907521562589e-14,3.57059549287618e-14,3.55036187793592e-14,3.50553452319891e-14,2.57368248447345e-14,8.35311181107114e-15,-2.15097561262215e-11,-2.14667263655786e-11,-2.23618708817194e-11,-2.1485454338248e-11,-2.14963918331953e-11,-2.15070113467734e-11,-2.15151980316798e-11,1.09587946289035e-13,1.0905646476679e-13,-6.10423305433592e-14,7.66258049681506e-14,1.36901216180253e-13,8.6318901496112e-14,1.85324991514442e-13,1.3016084449617e-13,-3.30329514403252e-13,1.5959802091791e-13
"age_grp35-44",-2.15420647528125e-11,2.15242432695202e-11,2.15115297732686e-11,2.14732859152027e-11,2.14854915403051e-11,2.2175102417208e-11,2.14992225754465e-11,2.15087586139617e-11,2.15160498376464e-11,-1.0297690064364e-13,-1.16944625852529e-13,5.74076343500963e-14,-1.4921263504043e-14,-1.39982051753173e-13,-1.04982203939047e-13,-1.08461439027728e-13,-1.71060800794256e-13,3.23825799801802e-13,-1.53558512345025e-13,6.75872409212784e-15,5.0907333043921e-15,-5.66684970987268e-15,-9.83885080673874e-15,-1.30095869046173e-14,-2.05468444973438e-14,-3.14038808259811e-14,-6.8754166026083e-15,-7.65373762740348e-15,1.04828392987636e-14,-2.35020004359885e-14,2.55828995877208e-14,3.82376097100714e-14,4.12153496746245e-14,3.9066509576773e-14,2.84566305758571e-14,8.02245261279736e-15,-2.15117903486658e-11,-2.14734352192325e-11,-2.1485519113362e-11,-2.21750509469769e-11,-2.14992077768176e-11,-2.15087725084071e-11,-2.15160771027857e-11,1.02653914339957e-13,1.16809112973554e-13,-5.75319846037997e-14,1.45790028901278e-14,1.3972997524069e-13,1.04459230604929e-13,1.07979821207286e-13,1.70488764258292e-13,-3.24620977293978e-13,1.52394862572905e-13
"age_grp45-54",-2.15361338939641e-11,2.15248970586006e-11,2.15139550988381e-11,2.14881226732263e-11,2.1496402947925e-11,2.14992225754404e-11,2.1999416839579e-11,2.15128856050478e-11,2.1518204466226e-11,-8.00220234170351e-14,-9.06762371889733e-14,7.95259430698956e-14,-2.99351005244556e-14,-9.30006690845852e-14,-7.25272720085519e-14,-6.95819233423474e-14,-8.71457753519624e-14,3.3063415890139e-13,-1.21090556789396e-13,3.51666741004307e-15,2.58789649155788e-15,-3.789784218662e-15,-8.36995082183602e-15,-1.24040124792218e-14,-2.05564758349147e-14,-3.21278394209301e-14,-9.18905696160665e-15,-1.0339805507972e-14,2.00631253265276e-15,-2.087219930804e-14,1.88708869266785e-14,3.13524109013127e-14,3.196341270003e-14,3.13733995692016e-14,2.25691114780477e-14,6.49261400539887e-15,-2.15141369303642e-11,-2.14882334837615e-11,-2.14964339768145e-11,-2.14992003597555e-11,-2.19994214591806e-11,-2.15129131534227e-11,-2.15182442786267e-11,7.97821357832357e-14,9.05998008095059e-14,-7.95800182057848e-14,2.97266099118302e-14,9.28747908381192e-14,7.22222849216119e-14,6.93164641805545e-14,8.68424898238095e-14,-3.31113591969226e-13,1.20405643527148e-13
"age_grp55-64",-2.15310816356459e-11,2.15248681670075e-11,2.15178078250382e-11,2.15019673545492e-11,2.15070014268135e-11,2.1508758613852e-11,2.15128856049442e-11,2.20227750020948e-11,2.15204056491983e-11,-6.98357539565002e-14,-8.33547364572991e-14,7.56788686268214e-14,-7.09278622235142e-15,-8.99101282547379e-14,-4.2390970857196e-14,-5.53952012609544e-14,-6.969137968376e-14,2.75712406536343e-13,-5.58598022606205e-14,-1.94605851965622e-17,3.15851703288819e-16,-3.7594780295301e-15,-9.17297695536814e-15,-1.20993563798252e-14,-2.02884354510538e-14,-3.13664244099619e-14,-1.12592657443919e-14,-1.11882711792081e-14,-1.6912013989207e-15,-1.59460781809654e-14,1.49888068866724e-14,2.42763549754187e-14,2.63512988559183e-14,2.42429299528232e-14,1.71321405523632e-14,4.57368719924481e-15,-2.15179511075766e-11,-2.15020589986927e-11,-2.15070352016643e-11,-2.15087513839719e-11,-2.1512902026029e-11,-2.20228128507577e-11,-2.15204566156919e-11,6.96324318288536e-14,8.33051799320458e-14,-7.56931781196209e-14,6.94913103819864e-15,8.98515908288265e-14,4.21978329798136e-14,5.52374398313989e-14,6.95265080631409e-14,-2.76025378883066e-13,5.54162426426422e-14
"age_grp65-199",-2.15264306199679e-11,2.15251180336416e-11,2.15191550981196e-11,2.15127867830666e-11,2.15151786424731e-11,2.15160498375966e-11,2.15182044661823e-11,2.15204056492582e-11,2.19672702504473e-11,-3.11710545721035e-14,-4.86384950892137e-14,8.56027514471754e-14,3.45516126217433e-14,-4.58057734286362e-14,-2.95203693658689e-14,-4.05592595807422e-14,-3.44569842971757e-14,9.74576103179632e-14,-5.30757059592864e-14,-7.49875262806889e-16,-2.61910524284937e-15,-1.95563261703882e-15,-8.58509370433525e-15,-1.25478205642616e-14,-1.72112226519636e-14,-2.87793450274577e-14,-1.13101642814163e-14,-1.165123520243e-14,-2.43857520861789e-15,-9.98550970463047e-15,8.66645323481847e-15,1.74350152873839e-14,1.66881101433536e-14,1.650781386517e-14,1.02091968332121e-14,2.92252563984801e-15,-2.15192507619358e-11,-2.15128571535169e-11,-2.1515215865803e-11,-2.15160605622404e-11,-2.15182340883828e-11,-2.15204538079244e-11,-2.19673313369637e-11,3.10147194582594e-14,4.86183978975477e-14,-8.55775839596002e-14,-3.46232671096316e-14,4.58158013267281e-14,2.94467423322112e-14,4.05139471208485e-14,3.44378655445407e-14,-9.75908820200554e-14,5.28954654351688e-14
"curr_pts_reg1",-5.86422986816767e-14,2.75731937109866e-14,-2.53237886261242e-13,-7.76334071809658e-14,-1.09823202023047e-13,-1.02976900643855e-13,-8.00220234172159e-14,-6.98357539566816e-14,-3.11710545723092e-14,3.18905549245325e-11,1.1018171433262e-13,1.07961308265079e-13,1.12642136574631e-13,1.11063105824166e-13,1.0754726546297e-13,1.20870959995161e-13,1.12519878674191e-13,8.69831804515458e-14,1.08127176460993e-13,-4.54201539240734e-15,4.46307744051444e-15,-1.21499355365158e-15,1.15741136764255e-14,1.90958427984202e-15,-1.15497258454383e-15,2.04029107535579e-15,2.39081769857906e-14,2.09322654449789e-14,1.15183054939944e-14,-4.41626623306973e-14,3.49675196064797e-14,4.64528849959428e-14,4.89110485601361e-14,4.59093487579489e-14,2.88041490148472e-14,-1.43168899647346e-15,2.53411716124194e-13,7.77261960752887e-14,1.09813294881381e-13,1.02906906456013e-13,7.99800318169259e-14,6.98117686858156e-14,3.11548379556284e-14,-3.18902998248543e-11,-1.10050365746752e-13,-1.07838597567378e-13,-1.12368760435812e-13,-1.10826530367341e-13,-1.07092616789378e-13,-1.20407753294521e-13,-1.11960409323491e-13,-8.63042702955009e-14,-1.07108812868813e-13
