"","(Intercept)","policyTRUE","age_grp16-19","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp16-19","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"(Intercept)",2.74540809758671e-11,-2.61141706718646e-11,-2.60749189084347e-11,-2.60716240144845e-11,-2.60753320723084e-11,-2.60767553805637e-11,-2.6076479495057e-11,-2.60773053861203e-11,-2.60777455745192e-11,-1.22834501315384e-13,-1.31254270243934e-13,-4.06662727752825e-13,-4.54239462009591e-13,-1.28212097047063e-13,-3.17301045361018e-13,-3.94493159734226e-13,-1.5595745898482e-13,-5.62529110276051e-13,-2.70591624338209e-13,-1.0500687482005e-12,-1.04846169697193e-12,-1.03614766924746e-12,-1.02470100873858e-12,-9.95978437098325e-13,-9.88404268094269e-13,-9.57982371970475e-13,-9.87300820348712e-13,-9.97679367855837e-13,-1.02617608921807e-12,-9.71800712277719e-13,-5.32435496491372e-13,-5.36618572238306e-13,-5.48825198142044e-13,-5.42190143602584e-13,-5.47906659089773e-13,-5.04627811933542e-13,2.60325180630228e-11,2.60807399240206e-11,2.60880469995919e-11,2.60893195237816e-11,2.60920216164195e-11,2.6093083675491e-11,2.6097844429315e-11,7.2577254253966e-14,7.57100960951335e-14,3.48896275977813e-13,3.46246220363536e-13,2.22849459184592e-14,1.98161938665056e-13,2.44251628271538e-13,-8.05446364419023e-16,3.91014088597414e-13,4.90696517694393e-14
"policyTRUE",-2.61141706718662e-11,5.39666158759568e-11,2.60490723316554e-11,2.60977611403303e-11,2.61034550319521e-11,2.61030043545999e-11,2.61047127603985e-11,2.61047519161076e-11,2.6105518898034e-11,8.99217289052992e-14,8.84829058641651e-14,3.61831452228599e-13,3.69576670768317e-13,4.86670039377587e-14,2.20787294258278e-13,2.70664290725545e-13,3.10059870104343e-14,4.58655245115873e-13,1.08141482783926e-13,-5.04266202631074e-18,3.84832808603872e-16,-8.8969100040366e-15,4.36696184765777e-15,4.53135044406546e-15,-2.24022501005849e-15,-1.08005521227251e-14,-9.87835322346804e-16,-1.79672354249395e-15,-6.81459455216111e-15,4.63910097885102e-16,-4.3018017730079e-15,2.5023953960697e-16,1.6897049465939e-15,1.42894994099476e-15,-1.81824678848426e-15,-2.88969197982294e-15,-5.38303082035376e-11,-5.39262153612798e-11,-5.39371824692142e-11,-5.39376066786886e-11,-5.39403365163522e-11,-5.39413868590285e-11,-5.39429117008258e-11,-2.25830696021009e-13,-1.70683582815381e-13,-7.35001448873159e-13,-6.88916386061671e-13,-1.0321932418484e-13,-4.0070173984022e-13,-4.22484357476627e-13,-8.61844895103439e-14,-8.69342889605062e-13,-1.82437332527432e-13
"age_grp16-19",-2.60749189084471e-11,2.6049072331683e-11,4.29251266937417e-11,2.59983899515866e-11,2.60207258234175e-11,2.60379927742145e-11,2.60458838960658e-11,2.60528054748274e-11,2.60588117463336e-11,-2.74685953221334e-13,-3.95796450821981e-13,-3.3357516831494e-13,-8.88450525344378e-13,-6.72345122856387e-13,-4.59750604600209e-13,-1.04531701507158e-12,-8.9050938749115e-13,-6.35745861809962e-13,-1.1231103195881e-12,6.01516774775839e-15,1.83497949304735e-14,7.90271595973659e-15,2.70429408579917e-14,3.28758830386611e-14,4.96089619953419e-14,3.2289205827175e-14,5.77093769478337e-14,8.8936718331813e-14,9.25241196333828e-14,2.12871379004591e-14,-2.48915766149017e-14,-2.26828368431477e-14,-1.47894220958136e-14,-1.66639991962593e-14,-4.86069296883728e-17,6.58358186657348e-15,-4.29250146229788e-11,-2.59982823441839e-11,-2.60207044392123e-11,-2.60380212675041e-11,-2.60459028620771e-11,-2.60528117144463e-11,-2.60588266027588e-11,2.74809429310122e-13,3.95753497438684e-13,3.33521526554453e-13,8.88443935189743e-13,6.72320526939004e-13,4.59752974576433e-13,1.04527096684692e-12,8.90440032653791e-13,6.35730628465848e-13,1.12312644498847e-12
"age_grp20-24",-2.6071624014477e-11,2.60977611403187e-11,2.59983899515668e-11,3.12669538131977e-11,2.59345326132071e-11,2.59799885203426e-11,2.60084850907817e-11,2.60325485526082e-11,2.60633123190438e-11,-6.51777992827642e-14,-6.35803611204882e-14,1.33643088298582e-13,4.25499421549205e-14,-2.69762966481603e-13,-1.55527869376791e-13,-3.33836588679465e-13,-4.94110103505128e-13,-1.17079058488138e-14,-7.76472624675165e-13,5.73539262113697e-15,1.14381878039861e-14,-1.28857503072356e-14,-1.01877250137523e-14,-3.05571717224938e-14,-2.14942535225408e-14,-5.68874092613738e-14,-4.23404971329266e-14,-1.92566549026625e-14,-1.18620656579108e-14,-4.63764539979869e-14,-1.20581629433e-14,-1.6409257431917e-14,-7.98604379283539e-15,-6.57455808624694e-15,-2.64149579473986e-15,-1.02380629065127e-15,-2.59986986377757e-11,-3.12670324690083e-11,-2.59344805844387e-11,-2.59798211228138e-11,-2.60083630764354e-11,-2.6032469134257e-11,-2.60632546054381e-11,6.48956161786042e-14,6.35692788241798e-14,-1.33498320897077e-13,-4.26708183465755e-14,2.69928585527582e-13,1.55553362285617e-13,3.33965573195512e-13,4.94264634311272e-13,1.17717142096722e-14,7.7621385150415e-13
"age_grp25-34",-2.60753320723251e-11,2.61034550319739e-11,2.60207258234216e-11,2.59345326132309e-11,2.75021861884928e-11,2.60165213912322e-11,2.60355752696661e-11,2.60522354494038e-11,2.60746188760887e-11,-7.56244324838995e-14,-6.73877446655619e-14,1.93005369866303e-13,1.55089443563175e-13,-1.74398208069569e-13,-9.27430914804664e-15,1.60180933329504e-14,-2.62566060885438e-13,2.82978531610247e-13,-1.73207753799155e-13,9.56136250815451e-15,7.45267173673707e-15,-2.10948325802674e-14,-2.78440603731155e-14,-5.14200710788745e-14,-4.80279816264217e-14,-8.03857850514845e-14,-6.62515949421041e-14,-3.67462202617514e-14,-2.01949583963971e-14,-4.16486044563963e-14,6.15868687686868e-16,2.67508551765076e-15,1.18304087397843e-14,8.02708893975448e-15,4.8741319322893e-15,-4.14682081400535e-15,-2.60211349964951e-11,-2.5934801030217e-11,-2.75023435033433e-11,-2.60165445083371e-11,-2.60356905261788e-11,-2.60524319584999e-11,-2.60748553757282e-11,7.51889296987718e-14,6.74266302323638e-14,-1.92617575294638e-13,-1.55149883295942e-13,1.74925091968666e-13,9.61324107739057e-15,-1.5478543057684e-14,2.632558029734e-13,-2.82450667724156e-13,1.7356779046365e-13
"age_grp35-44",-2.60767553805581e-11,2.61030043545895e-11,2.60379927741964e-11,2.59799885203443e-11,2.60165213912099e-11,2.70920581889156e-11,2.60495190660679e-11,2.60619729830502e-11,2.60793611545205e-11,-9.12478104976463e-14,-8.10661824925811e-14,1.89961190963077e-13,1.97987021052973e-13,-1.39238557025027e-13,3.07806344133728e-14,9.40280729391779e-14,-1.46968758745509e-13,2.90346980445308e-13,-4.74301339008351e-14,9.65091092441439e-15,8.12502964357074e-15,-2.64826442310684e-14,-3.26030021794719e-14,-6.03862785776178e-14,-6.07043490158742e-14,-8.84580918220985e-14,-7.51936259431392e-14,-4.20341661043718e-14,-1.92063723605758e-14,-3.72454425512282e-14,6.99027025310778e-15,1.08490035307206e-14,2.22374338266439e-14,1.83522661159325e-14,1.00842561502991e-14,-3.86155049041677e-15,-2.60385218694649e-11,-2.59803407879492e-11,-2.60167102306996e-11,-2.7092065175334e-11,-2.60496417708575e-11,-2.60621968471875e-11,-2.60796367431591e-11,9.06920048983451e-14,8.10669516308035e-14,-1.89530325211286e-13,-1.98138034665737e-13,1.39805453786924e-13,-3.04682060777461e-14,-9.34702184223827e-14,1.4767946902875e-13,-2.89823499660126e-13,4.76387344012112e-14
"age_grp45-54",-2.60764794950745e-11,2.61047127604287e-11,2.60458838960707e-11,2.60084850908066e-11,2.6035575269667e-11,2.6049519066091e-11,2.68859166153148e-11,2.60699470515905e-11,2.60838850041352e-11,-8.40620114116603e-14,-8.43023822153334e-14,2.14421971588516e-13,2.22408817947273e-13,-1.08364643758439e-13,8.40013223281693e-14,1.62134671304399e-13,-1.00586502880915e-13,3.26297068982925e-13,4.86879927436452e-15,9.95638222174483e-15,3.53121437228501e-15,-2.27894514285497e-14,-3.11086225927098e-14,-6.13906584035286e-14,-6.28292669126212e-14,-9.04109123924122e-14,-7.71635312641884e-14,-4.54970207718936e-14,-2.52484814890191e-14,-3.75854762912584e-14,7.20367743247924e-15,9.83937268546012e-15,2.08289945815284e-14,1.81058940071536e-14,1.00770848735685e-14,-4.51948024157236e-15,-2.60462913600596e-11,-2.60088521028286e-11,-2.60358601455803e-11,-2.60496798071615e-11,-2.68861846254398e-11,-2.60703082790350e-11,-2.6084289774167e-11,8.35916827136384e-14,8.4380004084224e-14,-2.13927792517266e-13,-2.22403847001689e-13,1.09059447057666e-13,-8.34929675810686e-14,-1.6139238392127e-13,1.01544286114064e-13,-3.25527812863134e-13,-4.1155454054812e-15
"age_grp55-64",-2.60773053861149e-11,2.61047519161001e-11,2.60528054748095e-11,2.603254855261e-11,2.60522354493818e-11,2.60619729830504e-11,2.60699470515675e-11,2.69573153855432e-11,2.60875341375947e-11,-6.97062360632993e-14,-7.62089859048627e-14,2.14568796887164e-13,2.49400091394976e-13,-7.90585575693666e-14,1.04018017926265e-13,1.77493438483486e-13,-5.2230201423771e-14,3.61784093117558e-13,4.35047883438435e-14,7.73376033591554e-15,3.35392221257358e-15,-1.87553765781679e-14,-2.51285883658186e-14,-5.69175945635944e-14,-6.07125594975894e-14,-8.6079522086679e-14,-7.52145611529536e-14,-4.2706503224178e-14,-2.51068046356144e-14,-3.20121112194438e-14,7.92614290057303e-15,8.84256912249389e-15,1.96041727801227e-14,1.66351153252041e-14,5.67005145402569e-15,-8.03985864137532e-15,-2.60531198936308e-11,-2.60329062463786e-11,-2.6052562334252e-11,-2.6062216442316e-11,-2.60702866852595e-11,-2.69577382340191e-11,-2.60879931125292e-11,6.93086881892642e-14,7.63244983755373e-14,-2.14067925547052e-13,-2.49308387989326e-13,7.97857880521431e-14,-1.03428492688476e-13,-1.76691129864619e-13,5.327194917325e-14,-3.60920475729164e-13,-4.24841488309768e-14
"age_grp65-199",-2.60777455745237e-11,2.6105518898035e-11,2.60588117463255e-11,2.60633123190556e-11,2.60746188760767e-11,2.60793611545305e-11,2.60838850041222e-11,2.60875341376046e-11,2.67487954284998e-11,-3.72150214969984e-14,-4.18898284467643e-14,2.24324340662374e-13,3.00045130280271e-13,-2.42957500949495e-14,1.28457817449783e-13,2.30457118463857e-13,-9.94922774490384e-15,3.10121370064685e-13,6.48654816307326e-14,3.93136331947591e-15,1.76864141067489e-15,-1.16422872925027e-14,-1.90558587397129e-14,-5.1872462683832e-14,-5.59283023095854e-14,-8.06408778229311e-14,-7.5084061286317e-14,-4.14156862663215e-14,-2.78465006824911e-14,-2.22927756575798e-14,5.12286278069976e-15,6.65179742867021e-15,1.54329418845314e-14,1.14794025122112e-14,-3.06966620335233e-16,-7.88358494222213e-15,-2.60590070664295e-11,-2.60636562038812e-11,-2.60749906202054e-11,-2.60796997743093e-11,-2.60843029332188e-11,-2.60880204869042e-11,-2.67493069530311e-11,3.69135370473929e-14,4.20487840403725e-14,-2.23832033355898e-13,-2.99851151373189e-13,2.50360036594407e-14,-1.27791823580022e-13,-2.29610679663481e-13,1.10572535359503e-14,-3.09173499491007e-13,-6.35577512882065e-14
"curr_pts_reg1",-1.22834501315236e-13,8.99217289049869e-14,-2.74685953221477e-13,-6.51777992828349e-14,-7.56244324839783e-14,-9.12478104978133e-14,-8.40620114117453e-14,-6.97062360633679e-14,-3.72150214971055e-14,3.21534688045091e-11,1.57073736906422e-13,1.57235821471773e-13,1.69908287203605e-13,1.62497310866963e-13,1.59597032596911e-13,1.72770344711856e-13,1.67541369492651e-13,1.55842606751377e-13,1.6693178622116e-13,1.63250967468313e-14,1.06598604189019e-14,-6.85781575536766e-15,9.36573426167833e-15,4.05792907467996e-15,-5.13030120340747e-15,-2.37758011179564e-15,1.73198353697588e-14,1.59578846929037e-14,3.05367003744965e-14,-4.03421100570989e-14,3.76097609373289e-14,3.75274396076955e-14,4.72944433781794e-14,4.08873199554305e-14,3.457638248131e-14,6.32267268972883e-15,2.74750828627489e-13,6.50676231698506e-14,7.54379766919018e-14,9.10237540709727e-14,8.38239670955394e-14,6.94620326923164e-14,3.69699376693951e-14,-3.21534521108986e-11,-1.57022022169411e-13,-1.57124220773427e-13,-1.6980089358673e-13,-1.62295937396399e-13,-1.59368443608632e-13,-1.7252926216403e-13,-1.67214073159964e-13,-1.55527730157657e-13,-1.66353983543721e-13
